ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question
4;ja;"Es gibt viele Beispiele auf regionaler und lokaler Ebene (Bundesländer), siehe unten:
Berlin (Bundesland)
Open Data ist im §13 E Landesgesetz des Landes Berlin verankert (https://gesetze.berlin.de/bsbe/document/jlr-EGovGBEpP13); darüber hinaus haben wir ein Open-Data-Gesetz zur Konkretisierung des Open-Data-Gesetzes: https://www.berlin.de/moderne-verwaltung/e-gouvernement/open-data/rvo.pdf?ts=1673410120; Berlin verfügt über eine neue Open-Data-Strategie, die in breiter Beteiligungsform mit den Akteuren aus Wirtschaft, Verwaltung, Wissenschaft und Zivilgesellschaft entwickelt wurde: https://www.berlin.de/moderne-verwaltung/e-government/open-data/strategieprozess/eregbnisse-der-beteiligungsworkshops-des-open-data-strategieprozesses.pdf?ts=1682690426

Nordrhein-Westfalen (NRW)
Open-Data-Verordnung (Bereitstellung behördlicher Daten, §16a EGovG NRW): https://recht.nrw.de/lmi/owa/br_bes_detail?sg=0&menu=0&bes_id=34925&anw_nr=2&aufgehoben=N&det_id=552085
Open Data-Verordnung (schreibt vor, wie Daten veröffentlicht werden sollen): https://recht.nrw.de/lmi/owa/br_vbl_detail_text?anw_nr=6&vd_id=20121&ver=8&val=20121&sg=0&menu=0&vd_back=N
Open.NRW-Strategie: Teil 1: https://open.nrw/system/files/media/document/file/opennrwt1web.pdf / Teil 2: https://open.nrw/system/files/media/document/file/opennrwt2web.pdf
Open Government Pakt (Zusammenarbeit zwischen Kommunen und Bundesland): https://open.nrw/open-gouvernement/open-gouvernement-pakt

Rheinland-Pfalz
Ein Beispiel für eine Open-Data-Richtlinie finden Sie unter: https://www.landesrecht.rlp.de/bsrp/document/jlr-TranspGRPrahmen
Am 1. Januar 2016 ist das Landestransparenzgesetz Rheinland-Pfalz (LTranspG) in Kraft getreten. Es regelt den Zugang zu „Informationen“, also amtlichen Informationen und Umweltinformationen. Das Gesetz sieht ein Antragsverfahren vor, nach dem jeder bei jeder sog. zur Transparenz verpflichteten Stelle (dazu zählen alle rheinland-pfälzischen Behörden, soweit sie Verwaltungstätigkeiten ausüben) Einsicht in die vorliegenden Informationen beantragen kann. Darüber hinaus regelt das Gesetz, dass die in § 7 Abs. 1 und 2 LTranspG müssen von den zur Transparenz verpflichteten Stellen proaktiv (amtlich, ohne dass ein Antrag gestellt werden muss) veröffentlicht werden. Ort der Veröffentlichung ist eine elektronische Plattform, die sogenannte Transparenzplattform des Landes Rheinland-Pfalz. Ergänzend zum Transparenzgesetz plant die rheinland-pfälzische Landesregierung die Einführung einer Open-Data-Politik ähnlich wie auf Bundesebene, um sicherzustellen, dass noch mehr Regierungsdaten der Öffentlichkeit kostenlos und in einer einheitlichen maschinenlesbaren Form zur Verfügung stehen. In diesem Zusammenhang ist auch die Einführung einer Open-Data-Strategie vorgesehen.

Schleswig-Holstein
Offene-Daten-Gesetz (ODaG): https://www.gesetze-rechtsprechung.sh.juris.de/bssh/document/jlr-OpenDataGSHrahmen

Thüringen
Für die hochwertigen Datensätze auf regionaler Ebene plant Thüringen, im Jahr 2023 mit der Identifizierung dieser Datensätze zu beginnen.

auf lokaler Ebene:
Hansestadt Hamburg (HH)
Transparenzgesetz seit 2012. Auf dieser Grundlage ist das Hamburger Transparenzportal entstanden.
- Transparenzportal: https://transparenz.hamburg.de/13435532/reform-hmbtg/

Ein Verweis kann auch auf die Stadt Braunschweig erfolgen: https://www.braunschweig.de/digitalisierung-online-services/open-data.php#:~:text=The%20city%20of%20Braunschweig%20has%20measured%20values%20from%20sensors%20(Echtzeitdaten).";;;
5;ja;"Das Open-Data-Gesetz verpflichtet die Bundesregierung, dem Deutschen Bundestag regelmäßig alle zwei Jahre über die Fortschritte bei der Umsetzung von Open Data zu berichten (§ 12a Abs. 11 EGovG), siehe: http://www.gesetze- im-internet.de/egovg/__12a.html.
Ein neuer Fortschrittsbericht ist derzeit in Vorbereitung und wird im Herbst 2023 veröffentlicht.

Die Open-Data-Strategie sieht verschiedene Umsetzungsmaßnahmen vor, beispielsweise Initiativen, Projekte und digitale Lösungen. Parallel dazu wurde im Jahr 2022 ein Monitoring-Prozess gestartet, der die Umsetzung einzelner Maßnahmen unter anderem durch Meilensteine und regelmäßige Statusberichte dokumentiert.
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html;jsessionid=65E5C4C2408071FC3ABAB79141BF2AED.intranet251";;;
6a;ja;"Gemäß § 12a EGovG fallen alle Arten von Verwaltungsdaten, die keinen Personenbezug haben, unter die Pflicht zur Bereitstellung offener Daten der Bundesverwaltung (z. B. Geodaten, Statistiken, statische oder dynamische Daten).

Die Open-Data-Strategie der Regierung umfasst 68 Maßnahmen in den Dimensionen Datenbereitstellung und -infrastrukturen, Datennutzung und Datenkompetenzen, den Aufbau wettbewerbsfähiger und nachhaltiger Open-Data-Infrastrukturen und ein unterstützendes Ökosystem, um die Veröffentlichung und den Zugriff auf Echtzeit- und dynamische Daten zu ermöglichen. (Die komplette Maßnahmenübersicht finden Sie im Anhang).
https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/open-data-strategie-der-bundesregierung.pdf?__blob=publicationFile&v=5 (ab Seite 19)";;;
6b;ja;"Gemäß § 12a EGovG unterliegen alle Arten von Verwaltungsdaten, die keinen Personenbezug haben (z. B. Geodaten, Statistiken, statische oder dynamische Daten), der Pflicht zur Bereitstellung offener Daten der Bundesverwaltung.

Die Open-Data-Strategie der Regierung umfasst 68 Maßnahmen in den Dimensionen Datenbereitstellung und -infrastrukturen, Datennutzung und Datenkompetenzen, den Aufbau wettbewerbsfähiger und nachhaltiger Open-Data-Infrastrukturen und ein unterstützendes Ökosystem, um die Veröffentlichung und den Zugriff auf Echtzeit- und dynamische Daten zu ermöglichen. (Die komplette Maßnahmenübersicht finden Sie im Anhang).
https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/open-data-strategie-der-bundesregierung.pdf?__blob=publicationFile&v=5 (ab Seite 19).";;;
6c;nein;"Die Open-Data-Strategie enthält zumindest einige Maßnahmen, die zivilgesellschaftliche Akteure in die Debatte einbeziehen.
https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/open-data-strategie-der-bundesregierung.pdf?__blob=publicationFile&v=5

Einzelmaßnahmen als Beispiel:
- Digitale Stadt gemeinwohlorientiert gestalten durch Community Data Skills (BMSWB) (Seite 28)
„Wir unterstützen Forschungsprojekte, die darauf abzielen, die Datenkompetenz in der Kommunalverwaltung zu identifizieren und zu steigern. Ziel ist es unter anderem zu erheben, welche Strategien und Infrastrukturen das kommunale Datenmanagement steuern und in welchem Umfang Qualifizierungsmaßnahmen für Verwaltungsmitarbeiter umgesetzt werden. Außerdem wird die Bereitstellung von Daten für Bürger und Akteure der Zivilgesellschaft untersucht.“
- Jährlicher Round Table Open Data (BMI) (Seite 27)
„Wir fördern die Intensivierung und Fortführung des Austauschs zwischen Bund und Ländern unter Einbeziehung von Vertretern der Zivilgesellschaft relevanter Interessengruppen.“";;Dies sind gute Aktivitäten, die man in anderen Fragen erwähnen kann. Bei dieser Frage geht es jedoch darum, ob es Maßnahmen gibt, die Anreize für die Veröffentlichung von von Bürgern generierten Daten geben (d. h. wenn Bürger ihre eigenen Daten sammeln und beisteuern). Ihre Antwort lautet: Frage 52 könnte hier auch relevant sein.;
6d;ja;Mit der gesetzlichen Verpflichtung zur Einstellung der Metadaten im nationalen Metadatenportal GovData (vgl. § 12a Abs. 5 EGovG) werden diese Daten aufgrund der GovData-Schnittstelle zum Europäischen Datenportal dort automatisch verfügbar bzw. sichtbar gemacht.;;;
7;ja;"Die Wiederverwendung von Daten wird insbesondere dadurch unterstützt, dass die Qualität der Daten erhöht wird, was ihre Wiederverwendung erleichtert.

Darüber hinaus fördert der Bund die Weiterverwendung von Open Data im Rahmen des Copernicus-Projekts, wobei der Gesamtbetrag der Fördermittel im späteren Verlauf einzuzahlen ist.

Die Datenstrategie und auch die Open-Data-Strategie der Regierung sehen vor, dass der Staat Vorreiter/Führer im Bereich der Datennutzung und -bereitstellung werden soll. Dazu gehört die verstärkte Bereitstellung offener Daten; Datenkompetenz und Nutzung der Daten für die Politikgestaltung (datengesteuerte Regierung). Das Potenzial von Daten wird zunehmend für einen effizienteren und bürgerfreundlicheren Service genutzt. Darüber hinaus wird die Umsetzung und Evaluierung politischer Maßnahmen durch die Nutzung offener Daten erfolgen
verbessert. Die Stellungnahmen der Regierung zur Datenstrategie finden Sie hier: https://www.bundesregierung.de/resource/blob/975226/1693626/60b196d5861f71cdefb9e254f5382a62/2019-11-18-pdf-datenstrategie-data.pdf?download=1";;;
8;ja;"Es gibt eine europaweite Initiative zur Schaffung einer Cloud für den Datenaustausch zwischen dem öffentlichen Sektor und dem privaten Sektor. Das nationale Open Data Portal (GovData) ist Teil dieser Initiative, die offene Daten und „geschlossene“ Daten zusammenführt: https://www.bmwi.de/Redaktion/DE/Dossier/gaia-x.html

In diesem Zusammenhang wurde 2021 ein Förderwettbewerb zur Einreichung von Ideen zur Antragstellung ins Leben gerufen, siehe: https://www.bmwk.de/Redaktion/DE/Dossier/Dateninfrastruktur-GAIA-X/gaia-x-foerderwettbewerb.html

Darüber hinaus sieht die Open-Data-Strategie der Bundesregierung Anreize für die Nutzung staatlicher Daten durch den privaten Sektor vor (jedoch keine konkreten Maßnahmen).";Der zweite Link funktioniert nicht;;
9a;ja;"Zur nationalen Ebene:
Die Datenstrategie beinhaltet mehrere Maßnahmen zur Spezifizierung einer Dateninventur, z.B.:
- Verwaltungsdateninformationsplattform (VIP); herausgegeben vom Statistischen Bundesamt: https://www.destatis.de/DE/Themen/Staat/Buerokratiekosten/VIP/vip.html
- Datenatlas (dazu gehört eine Bestandsanalyse aller Daten der Verwaltung), siehe:
https://www.bundesregierung.de/resource/blob/992814/1845634/0bab2b7d06c82f45361620f0c22891a2/datenstrategie-der-bundesregierung-download-bpa-data.pdf?download=1 (Seite 50 und 88)

- Eine Maßnahme der Open-Data-Strategie: Das Kompetenzzentrum Open Data (CCOD) beim Bundesverwaltungsamt hat einen Prototypen eines „Themenkatalogs“ zu Open Data entwickelt. (https://opendatabund.github.io/themenkataloge/)

Zur regionalen/kommunalen Ebene:
Aufgrund verfassungsrechtlicher Beschränkungen in Deutschland aufgrund der föderalen Struktur Deutschlands (Bund auf Bundesebene und die 16 Länder) kann die Bundesregierung die Bundesländer bzw. Gemeinden/Städte und ihre jeweiligen öffentlichen Körperschaften nicht direkt mit der Führung eines Datenbestands beauftragen. Allerdings hat der Bund im Rahmen des Grundgesetzes ein Gesetz erlassen, das festlegt, welche Daten als Open Data veröffentlicht werden müssen (§12a).
Dies ist auf verfassungsrechtliche Hürden zurückzuführen, es wurden jedoch Anreize gesetzt, z.B. in Programmen zur Unterstützung lokaler und regionaler Initiativen (Modellkommunen/Modellkommunen BMI) sowie Dialogformaten mit allen Regionen und Kommunen. Link: https://www.bmi.bund.de/DE/themen/moderne-verwaltung/open-gouvernement/modellkommune/modellkommune-node.html
Basierend auf den Ergebnissen des Projekts „Modellkommune“ finden Sie hier auch die aktuelle Initiative der regionalen Open-Government-Labore:
https://open-gouvernement-kommunen.de/

Antwort zu r1: Hier eignet sich die übergeordnete Themenseite (Hauptseite) besser. Diese Seite fasst alle wesentlichen Erkenntnisse der regionalen Open-Government-Labor-Initiative zusammen, auf die wir uns in unserer Antwort beziehen.";Letzter Link: Seite nicht gefunden;;
9b;ja;"Ja, die Verwaltungsdateninformationsplattform (VIP, siehe oben) schreibt die Identifizierung (aber keine Veröffentlichung) aller Metadaten aus Registern vor, die aufgrund ihrer Beschaffenheit als personenbezogene Daten keine offenen Daten beinhalten.
Das deutsche Open-Data-Gesetz (§12a EGovG) legt derzeit fest, welche Daten nicht als Open Data veröffentlicht werden dürfen. Zu diesen Daten zählen beispielsweise personenbezogene Daten, Forschungsdaten sowie Daten, die die nationale Sicherheit Deutschlands gefährden können.

Darüber hinaus sieht das zweite Open-Data-Gesetz (in Kraft seit 07/2021) eine spezifische Regelung für Forschungsdaten vor, die in bestimmten Fällen veröffentlicht werden müssen";;;
10a;ja;Entfällt;Füllen Sie bitte die Spalte „Veröffentlichungen von HCD in maschinenlesbaren Formaten über APIs“ in der Tabelle unten aus. Diese Spalte war im ursprünglichen Fragebogen ausgeblendet. Entschuldigung.;;
10b;ja, andere Maßnahmen;"Ja, in mehreren Meetings, Konferenzen und Veranstaltungen sind verschiedene Stakeholder, insbesondere Datennutzer, an der Identifizierung und Priorisierung von Daten beteiligt:
- Zum Beispiel Datenkataloge des Kompetenzzentrums Open Data beim Bundesverwaltungsamt
https://www.bva.bund.de/SharedDocs/Kurzmeldungen/DE/Behoerden/Beratung/OpenData/Aktuelles/2021/210423_VoBi_FFMDK.html

- Zur Erstellung der 2020 vom BMWK (Bundesministerium für Wirtschaft und Klimaschutz) in Auftrag gegebenen Studie „Hochwertige Datensätze in Deutschland“ waren verschiedene Datenanbieter und Datennutzer durch Online-Befragung und Workshops an der Identifizierung geeigneter Datensätze beteiligt: https://www.bmwk.de/Redaktion/DE/Publikationen/Studien/studie-hochwertige-datensaetze-in-deutschland.pdf?__blob=publicationFile&v=16";;;
10c;ja;"Auf Bundesebene läuft das Abfrageverfahren. Das 2. Open-Data-Gesetz 2021 enthält zudem eine Ermächtigung zum Erlass von Rechtsverordnungen, in denen technische Standards (z. B. Metadaten) weiter konkretisiert werden können.

Auf regionaler Ebene:
Berlin: Mit der Implementierung des „Musterdatenkatalogs“ in unserem Open Data Portal ermöglichen wir die Kennzeichnung relevanter Datensätze als hochwertige Datensätze; Die „Hochwertigen“ Datensätze werden auch in Berlin berücksichtigt und als Liste der Datensätze veröffentlicht, die als die „Kerndatensätze“ gelten, die die öffentlichen Stellen in unserem Land veröffentlichen müssen: https://odis-berlin.de/projekte/kerndatensaetze/";;;
11a;ja;Entfällt;;;
11a.1;nein;;;;0
11a.2;Ja;"Ein Beweggrund für die Novellierung des § 12a EGovG (2. Open-Data-Gesetz) und des Datenverwendungsgesetzes im Jahr 2021 war die generelle Verbesserung der Bereitstellung offener Daten, auch zugunsten von Verwaltungsabläufen.

Sowohl die Datenstrategie als auch die Open-Data-Strategie der Bundesregierung formulieren Ziele zur Förderung offener Daten für Wirtschaft, Forschung, Zivilgesellschaft und Wissenschaft. Beide unterhalten entsprechende Maßnahmen zur Erreichung dieser Ziele, wie zum Beispiel:

- Entwicklung von Schulungen und Schulungen für die Bundesverwaltung
- Förderung und idealerweise Unterstützung zivilgesellschaftlicher Organisationen";;;0
11a.3;Ja;"Der Kerngedanke der Novellierung des § 12a EGovG (2. Open-Data-Gesetz) und des Datennutzungsgesetzes im Jahr 2021 bestand darin, die Bereitstellung offener Daten für ein breites Nutzerfeld zu verbessern, heißt es in der Begründung:
„Offene maschinenlesbare Daten, insbesondere in Echtzeit, bieten großes Potenzial für innovative Geschäftsmodelle für die Privatwirtschaft, insbesondere für kleine und mittlere Unternehmen (KMU) und Start-ups. Gleichzeitig bedeuten offene Daten, dass administrative Prozesse effektiver, transparenter und verständlicher werden. Offene Daten wirken sich positiv auf Bürgerbeteiligung und Zivilgesellschaft aus, stärken das Vertrauen in die Regierungsführung und bilden die Grundlage für Wertschöpfung und Innovation. Auch Wissenschaft und Forschung profitieren von der verbesserten Bereitstellung und Nutzung von Daten des öffentlichen Sektors.“";;;0
11a.4;nein;;;;0
11a.5;nein;;;;0
11a.6;Ja;"Ein Beweggrund für die Novellierung des § 12a EGovG (2. Open-Data-Gesetz) und des Datennutzungsgesetzes im Jahr 2021 bestand darin, die Bereitstellung offener Daten für alle Beteiligten generell zu verbessern.

Darüber hinaus beteiligt sich Deutschland über seinen 3. Nationalen Aktionsplan mit mehreren Maßnahmen an der Open Government Partnership (OGP). Eines der Ziele der OGP ist die Förderung von Transparenz und Teilhabe an demokratischen Prozessen (unterstützt beispielsweise durch offene Daten).

Darüber hinaus veröffentlicht der Deutsche Bundestag alle seine Plenarprotokolle (seit 1949) als offene Daten(sätze), siehe: https://www.bundestag.de/services/opendata";;;0
11b;ja;"Im Koalitionsvertrag der aktuellen Bundesregierung sind verschiedene gesetzgeberische und strategische Ziele festgelegt, darunter:
- Entwicklung eines Transparenzgesetzes „Bundestransparenzgesetz“ (derzeit in Bearbeitung)
https://www.cio.bund.de/Webs/CIO/DE/digitale-loesungen/datenpolitik/datenpolitik-node.html;jsessionid=AF4AAFE96D6083C3863C0D7864B09FFF.2_cid373#doc18094212bodyText3
- Aufbau eines Dateninstituts (derzeit in Arbeit), siehe:
https://www.bmi.bund.de/DE/themen/it-und-digitalpolitik/it-des-bundes/dateninstitut/dateninstitut-node.html
https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2022/12/dateninstitut.html

- Aufsetzen verschiedener digitaler Strategien
https://bmdv.bund.de/SharedDocs/DE/Pressemitteilungen/2022/094-wissing-innovation-durch-daten.html
https://bmdv.bund.de/SharedDocs/DE/Pressemitteilungen/2023/015-prozess-internationale-digitalstrategie.html

- Verbesserung der Datenkompetenz öffentlicher Behörden
https://www.bva.bund.de/SharedDocs/Kurzmeldungen/DE/Behoerden/Beratung/OpenData/Aktuelles/2021/241124_VoBi_FFTrainings.html";;;
D1.2;;;;;
12;ja;"Ja, auf Basis föderaler Strukturen gibt es in Deutschland mehrere Stellen, die Open Data koordinieren:

1) Das 2. Open-Data-Gesetz (in Kraft seit Juli 2021) schreibt in § 12a Abs. 9 EGovG vor, dass Bundesbehörden „Open-Data-Koordinatoren“ einrichten. Ein Netzwerk von Koordinatoren ist im Aufbau. Ein erstes Treffen hat bereits im Jahr 2022 stattgefunden und wird im Jahr 2023 fortgesetzt.

2) Im Rahmen der Anfang 2021 beschlossenen Datenstrategie werden derzeit in allen Bundesministerien Chief Data Scientists eingerichtet. Diese werden durch die Einrichtung von Datenlaboren in Ministerien oder nachgeordneten Behörden (z. B. dem Statistischen Bundesamt für BMI) unterstützt.
Eine Zusammenfassung finden Sie unter „Datenstrategie für ein Jahr“, Abschnitt „Wo steht die Datenstrategie nach einem Jahr?“: https://www.bundesregierung.de/breg-de/themen/digitaler-aufbruch/datenstrategie-2001284

3) Fachgruppe GovData, siehe beigefügte Verwaltungsvereinbarung von GovData mit den Aufgaben der Arbeitsgruppe, siehe Artikel 4 der Vereinbarung (Abschnitt Aufgaben): https://www.govdata.de/documents/10156/18448/Verwaltungsvereinbarung_GovData_finale+Fassung.pdf/

4) Alle Bundesländer nehmen am IT-Planungsrat teil; ein Projekt von mehreren des IT-Planungsrates ist die Implementierung des Metadatenstandards DCAT-AP
https://www.it-planungsrat.de/produkte-standards/standards

5) Das Kompetenzzentrum Open Data (CCOD), das direkt auf dem Open-Data-Gesetz (§ 12a Abs. 10 EGovG) basiert (Bundesverwaltungsamt)
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/_documents/artikel_zentrale_stelle_open_data.html";;;
13;Hybrid;Hybrid, aufgrund der föderalen Strukturen in Deutschland. Dieses Modell dient der Einbindung aller Bundesebenen und der Sicherstellung einer Abstimmung von Projekten und Initiativen auf lokaler und regionaler Ebene.;;;
14;Ja, einige Initiativen;"Das Kompetenzzentrum Open Data (CCOD) bietet allgemein Fachveranstaltungen und Informationsmaterial an, das die Beteiligung von Stakeholdern auf regionaler und/oder lokaler Ebene einschließt. GovData unterstützt dasselbe auf technischer Ebene (z. B. sind alle regionalen Portale mit govdata.de verbunden).

Links:
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Beratung/beratung_node.html
https://www.govdata.de/web/guest/faq";;;
15;die Mehrheit der öffentlichen Körperschaften;"Aufgrund der Regelungen sind alle Behörden auf Landesebene zur Bereitstellung offener Daten verpflichtet.
siehe § 12a Abs.1 EGovG, https://www.gesetze-im-internet.de/egovg/__12a.html

Einige Bundesländer haben zudem unterschiedliche Open-Data-Richtlinien eingeführt, die ihre öffentlichen Stellen zur Bereitstellung offener Daten verpflichten.
z.B. NRW, https://recht.nrw.de/lmi/owa/br_bes_detail?sg=0&menu=0&bes_id=34925&anw_nr=2&aufgehoben=N&det_id=552085

Darüber hinaus stellen viele Gemeinden und Städte offene (Regierungs-)Daten zur Verfügung.
- Stadt Berlin, https://daten.berlin.de/
- Landeshauptstadt München: https://opendata.muenchen.de/
- Stadt Bonn, https://opendata.bonn.de/";;;
16;ja;"Eine grafische Visualisierung liegt noch nicht vor. Die im Governance-Modell auf Bundesebene beschriebenen Strukturen und Rollen werden jedoch in verschiedenen Dokumenten/Websites öffentlich zugänglich gemacht:

- Chief Data Scientists (Rolle) und Data Labs (Organisation) in Ministerien und öffentlichen Einrichtungen:
Im Rahmen der Datenstrategie: https://www.bundesregierung.de/breg-de/suche/datenstrategie-der-bundesregierung-1845632; Eine kurze Zusammenfassung der Umsetzung finden Sie unter „Datenstrategie für ein Jahr“, Abschnitt „Wo steht die Datenstrategie nach einem Jahr?“:
https://www.bundesregierung.de/breg-de/themen/digitaler-aufbruch/datenstrategie-2001284

- GovData (nationales Open-Data-Portal):
Die Rolle des nationalen Open-Data-Portals (GovData) wird unter Abschnitt 7 im folgenden veröffentlichten Dokument beschrieben: https://www.govdata.de/documents/10156/18448/Verwaltungsvereinbarung_GovData_finale+Fassung.pdf/a12e7cfb-91fc-4570-9a07-ed420e524c93

- Open-Data-Koordination:
Siehe § 12a Abs. 9 EGovG, https://www.gesetze-im-internet.de/egovg/__12a.html; Zur Open-Data-Koordination wird derzeit ein Netzwerk von Behörden aufgebaut.

- Kompetenzzentrum Open Data (CCOD): https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Beratung/beratung_node.html
(siehe Ansprechpartner)";;;
17a;ja;"Nicht in einem einzigen Dokument zusammengefasst, sondern in verschiedenen Dokumenten beschrieben:

GovData (nationales Open Data Portal):
Die Rolle des nationalen Open-Data-Portals (GovData) wird unter Abschnitt 7 im folgenden veröffentlichten Dokument beschrieben: https://www.govdata.de/documents/10156/18448/Verwaltungsvereinbarung_GovData_finale+Fassung.pdf/a12e7cfb-91fc-4570-9a07-ed420e524c93

Open-Data-Koordination
- Einen guten Überblick über die Open-Data-Koordination und die damit verbundenen Aufgaben und Rollen finden Sie in einem CCOD-Leitfaden:
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/ODK_Leitfaden/1_OpenData_Einfuehrung/einfuehrung_node.html

Kompetenzzentrum Open Data (CCOD):
Die Rolle des CCOD wird im Einführungstext beschrieben, siehe: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Beratung/beratung_node.html
(siehe Ansprechpartner)";;;
17b;ja;Ja – nicht regelmäßig nach Kalender, sondern mindestens zwei Mal im Jahr und auf Ad-hoc-Basis über die Arbeitsgruppe GovData (vergleiche die Antwort auf Frage 12, Problem 3).;;;
18;ja;"Ja (vergleiche auch Antwort auf Frage 12 oben):
- Das 2. Open-Data-Gesetz (in Kraft seit Juli 2021) schreibt in § 12a Abs. 9 EGovG vor, dass Bundesbehörden „Open-Data-Koordinatoren“ einrichten müssen. Die Rolle ist obligatorisch
- Im Rahmen der Anfang 2021 beschlossenen Datenstrategie werden derzeit in allen Bundesministerien Chief Data Scientists eingerichtet. Unterstützt werden diese durch die Einrichtung von Datenlaboren in Ministerien oder nachgeordneten Behörden. Beide Rollen/Institutionen sind auch für die Bundesebene verpflichtend.";;;
