key;value
20;"Is there a regular exchange of knowledge or experiences between public sector bodies (i.e. the providers) and open data reusers (e.g. academia, citizens, businesses)?

Zur Einordnung:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items)."
21;"Do data publication plans exist at public body level?

Zur Einordnung:
* If yes, please provide the URL and briefly highlight the key aspects covered. "
28;"Do you have a definition of open data reuse in your country?
 
Zur Einordnung:
* If yes, please specify it."
29;"Is there interest at national level to observe the level of reuse of open data in your country?
 
Zur Einordnung:
* If yes, what activities/efforts have you observed within public bodies that support your observation?"
30;"Are there any processes in place to monitor the level of reuse of your country's open data, for example via the national open data portal?
 
Zur Einordnung:
* If yes, please briefly describe these processes and provide the URLs to support the answer."
31;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
Zur Einordnung:
* If yes, please briefly describe these activities/incentives and provide the URLs to support the answer. "
32;"Is your country progressing in preparing to monitor and measure the level of reuse of high-value datasets following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?
 
Zur Einordnung:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'."
33;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
Zur Einordnung:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it."
34;"Do you have a methodology in place to measure the impact of open data in your country?
 
Zur Einordnung:
* If yes, please briefly describe the key points of this methodology."
35;"Are there studies that have been conducted in the past year that focus on assessing the impact of open data in your country?

Zur Einordnung:
* If yes, please provide examples and the URLs to such studies to support your answer."
36;"Is there collaboration between government and civil society or academia to create open data impact in your country?

Zur Einordnung:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations."
37;"Have any public bodies in your country launched or performed any activities in the past year to map which and how (open) datasets are reused?

Zur Einordnung:
* If yes, which of the following activities?
* Multiple answers are possible."
38;"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers´needs?

Zur Einordnung:
* If yes, which of the following activities?
* Multiple answers are possible."
40;"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country? 

Zur Einordnung:
* If yes, please specify what kind of data proves this impact and provide the URLs to this data."
41;"Is the use of open data in your country having an impact on the efficiency and effectiveness of the government (at any level) in delivering public services? 

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
42;"Is the use of open data in your country having an impact on transparency and accountability of public administrations?

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
43;"Is the use of open data in your country having an impact on policy-making processes (i.e. are public administrations making use of the data as evidence for the problem identification and policy formulation)? 

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
44;"Is the use of open data in your country having an impact on decision-making processes (i.e. are public administrations making use of the data as evidence to be included in their daily operations)?

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
45;"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country? 

Zur Einordnung:
* If yes, please specify what kind of data proves this impact and provide the URLs to this data."
46;"Is the use of open data in your country having an impact on society´s ability to reduce inequality and better include minorities, migrants, and/or refugees (e.g. from the Ukrainian war)? 

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
47;"Is the use of open data in your country having an impact on the society´s level of awareness concerning housing in urban areas? 

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
48;"Is the use of open data in your country having an impact on the society´s level of awareness on health and wellbeing related issues (also but not only in light of the COVID-19 pandemic)? 

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
49;"Is the use of open data in your country having an impact on the society´s level of education and skills (e.g. data literacy)?

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
50;"Is any data on the impact created by open data on environmental challenges (e.g. climate change and environmental degradation, as highlighted in the Eurpean Green Deal) available in your country? 

Zur Einordnung:
* If yes, please (1) specify what kind of data proves this impact and (2) provide the URLs to this data."
51;"Is the use of open data in your country having an impact on the level of protection of biodiversity (e.g. maintaining a good air and water quality)? 

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
52;"Is the use of open data in your country having an impact on the achievement of more environment-friendly cities (e.g., environment-friendly transport systems, waste management etc.)? 

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
53;"Is the use of open data in your country having an impact on the fight against climate change, for example by undertaking predictive monitoring, preventive actions, or a differentiated response to connected disasters?

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
54;"Is the use of open data in your country having an impact on the consumption of energy based on fuel and the switch to renewables? 

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
55;"Is any data on the economic impact (e.g. population employed, innovation and new businesses created etc.) of open data available in your country? 

Zur Einordnung:
* If yes, please (1) specify what kind of data proves this impact and (2) provide the URLs to this data."
56;"Is the use of open data in your country having an impact on the level of employment? 

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
57;"Is the use of open data in your country having an impact on the level of innovation and the adoption of new technologies? 

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
58;"Is the use of open data in your country having an impact on the level of entrepreneurship (especially of women and minorities) and business creation (especially with Small- and Medium-sized Enterprises)? 

Zur Einordnung:
* If yes, please explain how and what kind of impact is created on the topic and provide examples of maximum 3 recent open data reuse cases in the form of research or application, whether developed by government or by civil society."
59;"Is there a national portal in your country for making open data discoverable? 

Zur Einordnung:
* If yes, please provide the URL of the national portal.
* If no, please describe how you ensure the discoverability of the open data available in your country."
60;Does the national portal offer an advanced data search function (multiple field search, filter options, etc.)?
61;Does the national portal offer the possibility for users to download datasets (e.g. via a link)? 
63;"Does the national portal offer to its users a way to programmatically query the metadata (e.g. via an API or a SPARQL access point)?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature. "
64;"Does the national portal offer documentation on the use of APIs and other tools that enable working with the aforementioned metadata? 

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
65;"Does the national portal enable users to provide content for the portal (e.g. to link documentation and supporting materials to a given dataset)?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
67;"Does the national portal enable users to find information and news on relevant open data topics in the country?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
68;"Does the national portal offer the possibility for users to receive notifications when new datasets are available on the national portal (RSS, ATOM feeds, email notifications etc.)?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
71;"Does the national portal include a discussion forum or any other exchange possibility for users (whether data providers or reusers)?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature. "
72;"Does the national portal have a designated area to showcase use cases?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature. "
73;"Does the national portal reference the datasets that the showcased use cases are based on?

Zur Einordnung:
* If yes, please provide the URL to this feature/to an example documenting this feature."
74;"Does the national portal provide the possibility for users to submit their own use cases?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature. "
75;"Does the national portal offer a preview function for tabular data?

Zur Einordnung:
* If yes, please provide the URL to an example documenting this feature."
76;"Does the national portal offer a preview function for geospatial data?

Zur Einordnung:
* If yes, please provide the URL to an example documenting this feature."
77;"Following the publication of the implementing regulation (EU) 2023/138 on high-value datasets,  are you progressing in the promotion of such datasets on your national portal (e.g. filtering features and/or editorial features were added, changes were made to navigation...)?

Zur Einordnung:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'."
78;Is the national portal mobile as responsive as the desktop version?
79;"Do you monitor the portal's traffic (e.g. in terms of number of unique visitors, visitor profiles, percentage of machine traffic, number of downloads according to the number of datasets etc.)? 

Zur Einordnung:
* If yes, which tool(s) do you use?"
82;"How many unique visitors visit the national portal on average per month?

Zur Einordnung:
* Please fill the average number per month in 2022 and select 'see answer box'. 
* Please note that if you are a federal/regional state you can indicate the sum of the visitors of all sub-national portals harvested in the national portal."
83;"What percentage of the unique visitors to the national portal is foreign?

Zur Einordnung:
* Please fill the percentage  and select 'see answer box'."
84;"Do you monitor what keywords are used to search for data and content on the portal?

Zur Einordnung:
* If yes, please briefly describe."
85;Do you monitor the most and least consulted pages?
86;"What data categories are the top 5 most frequently consulted on the portal, with 1 being the most popular one? 

Zur Einordnung:
* Please indicate 1 = category X, 2 = category Y etc. and select 'see answer box'."
87;"What datasets are the top 5 most frequently consulted on the portal, with 1 being the most popular one? 

Zur Einordnung:
* Please indicate 1 = name dateset X, 2 = name dataset Y etc. and select 'see answer box'."
88;"Do you take measures to optimise the search and discoverability of content (data and editorial)? 

Zur Einordnung:
*If yes, please briefly describe."
89;"Is the metadata on your portal available in clear plain language to enable both humans and machines to read and understand it? 

Zur Einordnung:
*If no, please briefly explain why."
91;"To what degree do public sector data providers contribute data to the portal? 

Zur Einordnung:
*Please describe what is the agreed approach.
* If less than the majority of data providers, please briefly explain why (e.g. technical incompatibilities, governance aspects, low awareness etc.)."
95;"Does the national portal provide a separate section where non-official data (not stemming from official sources, such as community-sourced/citizen-generated data) can be published? 

Zur Einordnung:
* If yes, please provide the URL to this section. "
96;"Do you have an overview of the data providers (official and non-official) on your national portal? 

Zur Einordnung:
* If yes, please list the most important."
97;"Does the national portal allow users to see what data exists but cannot be made available as open data?

Zur Einordnung:
* If yes, please (1) provide the URL to an example and (2) briefly describe the approach used to ensure this transparency."
98;"Does the national portal have a strategy to ensure its sustainability?

Zur Einordnung:
* If yes, please provide the URL to this document. "
99;Does this strategy include a description of the portal’s target audience and measures to reach this audience?
100;"Is your national portal active on social media? 

Zur Einordnung:
* If yes, please provide the URL(s) to your social media accounts. "
101;"Do you take actions to promote the national portal’s activities and the available open data (e.g. regular info sessions and/or events)? 

Zur Einordnung:
* If yes, please provide at least one example of such activities."
102;"Are the portal’s source code as well as relevant documentation and artefacts made available to the public (e.g. on platforms such as GitHub or GitLab)?

Zur Einordnung:
*If yes, please provide (1) platform name and (2) the URL to the portal’s account on this platform."
103;"Was there a user satisfaction survey concerning the national portal conducted in the past year?

Zur Einordnung:
*If yes, please briefly describe the key findings gained through this survey."
106;"Is there a pre-defined approach to ensure that metadata is kept up-to-date?

Zur Einordnung:
* If yes, please briefly describe your approach."
107;What percentage of the metadata is obtained from the source automatically, rather than edited manually? 
108;"What is the average delay from the moment the metadata describing a dataset is updated at your source, and the moment the change is visible on the portal (whether the process is automated or not)?

Zur Einordnung:
* What type of data does this mainly concern?"
109;Where applicable, to what degree does the published data cover the full period from when it was first published until today? (for example, complete time series whether available for download or through an API)
110;"Following the publication of the implementing regulation (EU) 2023/138 on high-value datasets, is your country progressing in ensuring interoperability of datasets, in particular high-value ones, alongside the datasets of another country?

Zur Einordnung:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'."
112;"Do you publish guidelines (e.g. written materials) and have tools in place, to assist publishers in choosing an appropriate licence for their data? 

Zur Einordnung:
* If yes, please provide the URLs to these materials and/or tools."
113;"Did you develop your own open licence/licencing suite to foster the publication of open data in your country?

Zur Einordnung:
* If yes, please provide the URL to the document in which this licence is described and briefly describe the main reasons for doing so and the main differences between your country's open licence and the CC licencing suite.
* If not applicable, please briefly explain why."
114;"Do your open data publication/licensing guidelines provide recommendations for the use of Creative Commons (CC) licences or of your own licensing suite?

Zur Einordnung:
* If yes, is this mandatory (e.g. prescribed by law) or recommended?
* If not applicable, please briefly explain why."
115;What percentage of the open data available on the national portal is accompanied by licensing information? 
116;How has the percentage of datasets accompanied by licencing information changed compared to the same period last year? 
117;Across all datasets you distribute, how many different licences are used on your portal?
118;"Are guidelines and tools provided for data providers to improve the quality of their data publication? 

Zur Einordnung:
* If yes, please provide the direct-URL to this feature. "
120;"Do you supply data providers with documentation on DCAT-AP (e.g. factsheets, materials published on the EC websites such as the JoinUp platform, or your own documentation)? 

Zur Einordnung:
* If yes, please provide examples of this documentation and the respective URLs."
121;"What is the percentage of metadata on your portal that is DCAT-AP compliant, in terms of mandatory classes? (agent, catalogue, dataset, literal, resource)

Zur Einordnung:
* If DCAT-AP is not a priority for the portal, please explain why."
123;"Is there a national extension of the DCAT-AP standard developed for your country? 

Zur Einordnung:
* If yes, please (1) briefly outline the reasons for this decision, and (2) what the main differences between the national variation and the EU standard are.
* If applicable, please provide the URL to the documentation of the national DCAT-AP extension."
126;"Do you use a model (such as the 5-Star Open Data or FAIR) to assess the quality of deployment of data in your country?

Zur Einordnung:
* If yes, please briefly describe."
127;"Do you conduct activities to promote and familiarise data providers with ways to ensure higher quality data (such as promoting the model referenced in the previous question)?

Zur Einordnung:
* If yes, please briefly describe."
129;"Do you monitor the improvements in terms of quality of open data deployment?

Zur Einordnung:
* If yes, please briefly describe how."
104a;"Is there a process by which the portal is reviewed and improved regularly? 

Zur Einordnung:
*If yes, please briefly describe this process."
104b;If yes [to Q104a], what is the frequency of these reviews?
104c;"If yes [to Q104a], is the users’ feedback considered in the review process?

Zur Einordnung:
*If yes, please briefly describe this process."
105a;"Do you monitor via a dashboard the characteristics of the data published on the portal, such as the distribution across categories, static vs. real-time data and how these change over time?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature. "
105b;"Does this monitoring enable the portal team and/or data providers to take action to improve their performance on the national portal?

Zur Einordnung:
* If yes, please (1) explain how and (2) if applicable provide the direct-URL to this feature."
10a;"Has your country started working towards the application of the implementing regulation (EU) 2023/138 on high-value datasets?

Zur Einordnung:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised."
10b;"Are there measures in place to assist other stakeholders’ involvement in this prioritisation process?

Zur Einordnung:
* If 'yes, other measures', please specify which measures. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'."
10c;"Are the public bodies in your country progressing in denoting relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

Zur Einordnung:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'."
111a;"Do you monitor the quality of the metadata available on your portal?

Zur Einordnung:
* If yes, please briefly explain how this monitoring takes place. 
* If applicable, please provide the URL to this monitoring mechanism."
111b;"Do you publish information on the quality of the metadata available on the portal?

Zur Einordnung:
* If yes, please provide the URL to this section. 
* If the information is published e.g. as .csv file, please provide the link to this source."
119a;"Are there regular activities conducted or mechanisms in place to incentivise and/or assist data providers in the publication of data in machine-readable formats? 

Zur Einordnung:
* If yes, please briefly describe."
119b;"Are there regular activities conducted or mechanisms in place to incentivise and/or assist data providers in the publication of high-quality metadata?

Zur Einordnung:
* If yes, please briefly describe."
11a;"Are the objectives/actions of the national open data policy/strategy in place in your country in line with one or more of the European Commission priorities for 2019-2024?

Zur Einordnung:
* If yes, which of the following six priorities and how?
* Multiple answers are possible. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'."
11a.1;"A European Green Deal
Transforming the EU into a modern, resource-efficient and competitive economy, while preserving Europe’s natural environment, tackling climate change and making Europe carbon-neutral and resource-efficient by 2050."
11a.2;"A Europe fit for the digital age
Embracing digital transformation by investing in businesses, research and innovation, reforming data protection, empowering people with the skills necessary for a new generation of technologies and designing rules to match."
11a.3;"An economy that works for people
Strengthening the EU economy while securing jobs and reducing inequalities, supporting businesses, deepening the Economic and Monetary Union and completing the banking and capital markets union."
11a.4;"A stronger Europe in the world
Strengthening the EU’s voice on the world stage by improving its standing as a champion of strong, open and fair trade, multilateralism and a rules-based global order. Boosting relations with neighbouring countries and partners as well as strengthening the EU’s ability to manage crises based on civilian and military capabilities."
11a.5;"Promoting our European way of life
Upholding fundamental rights and the rule of law as a bastion of equality, tolerance and social fairness. Addressing security risks, protecting and empowering consumers, as well as developing a system for legal and safe migration while effectively managing the EU’s external borders, modernising the EU’s asylum system and cooperating closely with partner countries."
11a.6;"A new push for European democracy
Strengthening Europe’s democratic processes by deepening relations with the European Parliament and national parliaments, protecting EU democracy from external interference, ensuring transparency and integrity throughout the legislative process, as well as engaging more widely with Europeans in shaping the EU’s future."
11b;"Are there any other overarching objectives or specific actions of your country´s open data policy/strategy that you would like to mention?

Zur Einordnung:
*  If yes, please specify. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'."
122a;"What is the percentage of metadata on your portal that uses DCAT-AP recommended classes? (category, category scheme, distribution, licence document)

Zur Einordnung:
* If the use of recommended classes is not a priority for the portal, please explain why."
122b;"What is the percentage of metadata on your portal that uses DCAT-AP optional classes? (catalogue record, checksum, document, frequency)

Zur Einordnung:
* If the use of optional classes is not a priority for the portal, please explain why."
124a;Do you investigate the most common causes for the lack of DCAT-AP compliance?
124b;"If yes [to Q124a], what are the main causes for the lack of DCAT-AP compliance?

Zur Einordnung:
* Please list the most common causes and select 'see answer box'."
125a;What is the percentage of datasets whose metadata provides a reference to where the data can be downloaded, or its API accessed (“download-URL” in the DCAT-AP specification)?
125b;What is the percentage of datasets whose metadata provides a reference to a web page from where the data can be accessed (“access-URL in the DCAT-AP specification)?
128a;What percentage of datasets is made available under a standard open licence or an explicit custom open licence, in any data format including text documents? 
128b;Of the percentage indicated in the previous question (Q128a), what percentage of datasets is made available under a standard open licence or an explicit custom open licence, in a structured data format?
128c;Of the percentage indicated in the previous question (Q128b), which part is also in an open and machine-readable format?
128d;Of the percentage indicated in the previous question (Q128c), what percentage of datasets also consistely use Uniform Resource Identifiers?
128e;Of the percentage indicated in the previous question (Q128d), what percentage of datasets also links to other renowned sources to provide additional context for the users, e.g. in a linked data fashion?
17a;"Is a document describing the responsibilities and governance structure of the national (and/or regional/local) open data team publicly available?

Zur Einordnung:
* If yes, please provide the URL where this information is published. "
17b;"Is there a regular exchange of knowledge or experiences between the national open data team and the team maintaining the national portal? 

Zur Einordnung:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items)."
22a;"Are there processes to ensure that the open data policies/strategy previously mentioned are implemented (e.g. monitoring)?

Zur Einordnung:
* If yes, please specify the process(es)."
22b;"If yes, would you describe the status of implementation as satisfactory/neutral/unsatisfactory? 

Zur Einordnung:
* Please motivate your answer."
23a;"Are there any processes in place to asses if public sector bodies are charging for data above marginal cost? (please see directive (EU) 2019/1024 on open data and the re-use of public sector information).

Zur Einordnung:
* If yes, please specify the process(es)."
23b;If yes [to Q23a], to what degree is data provided by public sector bodies free of charge?
23c;How has this degree changed compared to the previous year?
24a;"What are the top 3 challenges that your country is facing in the implementation of the mentioned open data policies/strategy?

Zur Einordnung:
* Please briefly describe."
24b;"Are there activities in place to address these challenges in your country (e.g. with specific national/regional/local plans or initiatives)?

Zur Einordnung:
* If yes, please briefly describe the measures that you have adopted or plan to adopt to cope with these challenges. 
* If no, please specifiy what is hampering finding a strategic approach to solve these challenges."
25a;"Are there any activities in place to assist data providers with their open data publication process?

Zur Einordnung:
* If yes, please describe/provide examples of these activities."
25b;"Are there activities to assist real-time and/or dynamic data holders in their publication process?

Zur Einordnung:
* If yes, please provide some examples of such activities."
25c;"Are there activities to assist geo-spatial data holders in their publication process?

Zur Einordnung:
* If yes, please provide some examples of such activities."
25d;"Are there activities to assist citizens or their working organisations in the publication of citizen-generated data?

Zur Einordnung:
* If yes, please provide some examples of such activities."
26a;"Is there a professional development or training plan for civil servants working with data in your country? 

Zur Einordnung:
* If yes, please briefly describe these training activities."
26b;"If yes [to Q26a], do these training activities offer a certification that is formally recognised? 
 
Zur Einordnung:
* If yes, please briefly describe."
27a;"Are there annually held national, regional or local events (e.g. hackathons, courses, conferences, users meet-ups, summer/winter schools) to promote open data and open data literacy in your country beyond public servants? 
 
Zur Einordnung:
* If yes, please provide a few examples (e.g. title, date, location of the event and URL)."
27b;"Who organises most open data related events?
 
Zur Einordnung:
* Please provide a few examples of typical organisers."
37.1;Analysis of log files
37.2;Automated feedback mechanisms tracking users´ access to datasets
37.3;Surveys
37.4;Interviews/workshops with reusers
37.5;Other
38.1;Regular feedback sessions with portal users 
38.2;Social media sentiment analysis 
38.3;Other
39a;"Have any public bodies in your country developed any systematic way of gathering reuse cases?

Zur Einordnung:
* If yes, please provide a brief explanation of the process: How does the gathering happen? "
39b;"Are there any public bodies in your country that have developed a systematic ways of classifying the gathered reuse cases?

Zur Einordnung:
* If yes, please provide a brief explanation of the process: According to which categories are reuse cases classified (e.g. by policy field)?"
62a;Does the national portal offer the possibility for users to search by file format? 
62b;Does the national portal offer the possibility for users to search by data domain? 
66a;"Does the national portal offer a general feedback mechanism for users (e.g. a 'Contact us' or 'Feedback' button that is placed in a visible spot on the portal and would allow users to send a general comment concerning the portal)?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
66b;"Does the national portal offer a feedback mechanism at dataset level? (e.g. a 'feedback button' or a comment/ discussion section under the dataset)?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
66c;"Does the national portal provide a mechanism for users to rate datasets?

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
69a;"Does the national portal offer the possibility for users to request datasets? 

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
69b;If yes [to Q69a], what is the frequency of these requests?
69c;"Are these requests and their progress status presented in a transparent manner on the national portal? 

Zur Einordnung:
* If yes, please provide the direct-URL to this feature.  "
6a;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

Zur Einordnung:
* If yes, please briefly describe the measures."
6b;"Does the national strategy/policy outline measures to incentivise the publication of and access to geo-spatial data (e.g. in relation to high-value datasets as specified in the implementing regulation (EU) 2023/138)?

Zur Einordnung:
* If yes, please briefly describe the measures."
6c;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

Zur Einordnung:
* If yes, please briefly describe the measures."
6d;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

Zur Einordnung:
* If yes, please briefly describe how."
70a;"Does the team monitor the extent to which requests (either via the portal or otherwise) result in the publication of the requested data?

Zur Einordnung:
* If yes, please describe how this monitoring is conducted."
70b;If yes [to Q70a], to what degree do these requests result in the publication of the requested data?
80a;"Are traffic and usage statistics used to better understand users´ behaviour and needs and to update the portal accordingly?

Zur Einordnung:
*  If yes, what insights did you gain last year from the reviews of these analytics? "
80b;"Do you perform further activities to better understand users´ behaviour and needs (e.g. web analytics, surveys, or analysis of social media feeds)?

Zur Einordnung:
* If yes, please specify which activities."
81a;What is the typical profile of the portal visitor, as learned from activities such as web analytics, surveys, or social media analyses?
