Tabelle 1
question_id;dimension;indicator;question;response_scoring;
P10-b;policy_dimension;policy_framework;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";{'yes': 20, 'no': 0};
P11;policy_dimension;policy_framework;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";{'yes': 40, 'no': 0, 'not applicable': 40};
P12;policy_dimension;policy_framework;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";{'yes': 20, 'no': 0, 'not applicable': 20};
P13;policy_dimension;policy_governance;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";{'yes': 40, 'no': 0};
P14;policy_dimension;policy_governance;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";{'top-down': 0, 'bottom-up': 0, 'hybrid': 0};
P15;policy_dimension;policy_governance;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";{'yes': 20, 'no': 0, 'not applicable': 20};
P16;policy_dimension;policy_governance;"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.";{'all public bodies': 20, 'the majority of public bodies': 15, 'approximately half of the public bodies': 10, 'few public bodies': 5, 'none of the public bodies': 0, 'not applicable': 20};
P17;policy_dimension;policy_governance;"Is a document describing the responsibilities and governance structure of the national (and/or regional/local) open data team publicly available?

For Explanation:
* If yes, please provide the URL where this information is published. ";{'yes': 20, 'no': 0};
P18;policy_dimension;policy_governance;"Is there a regular exchange of knowledge or experiences between the national open data team and the team maintaining the national portal? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";{'yes': 20, 'no': 0};
P19;policy_dimension;policy_governance;"Does the governance model include the appointment of official roles in civil services that are dedicated to open data (e.g. open data officers)?

For Explanation:
* If yes, please describe how this task is fulfilled at public body level.";{'yes': 20, 'no': 0};
P20;policy_dimension;policy_governance;"Is there a regular exchange of knowledge or experiences between the national open data team and the wider network of open data officers in your country? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";{'yes': 20, 'no': 0};
P21;policy_dimension;policy_governance;"Is there a regular exchange of knowledge or experiences between public sector bodies (i.e. the providers) and open data reusers (e.g. academia, citizens, businesses)?

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";{'yes': 20, 'no': 0};
P22;policy_dimension;policy_implementation;"Do data publication plans exist at public body level?

For Explanation:
* If yes, please provide the URL and briefly highlight the key aspects covered. ";{'yes': 20, 'no': 0};
P23;policy_dimension;policy_implementation;"Are there processes to ensure that the open data policies/strategy previously mentioned are implemented (e.g. monitoring)?

For Explanation:
* If yes, please specify the process(es).";"{'yes': 20, 'no': 0, ""i don't know"": 0}";
P24;policy_dimension;policy_implementation;"Are there processes to ensure that the open data policies/strategy previously mentioned are updated and revised as needed?

For explanation:
* If yes, please describe the process and any recent updates made to strategy/policy";{'yes': 20, 'no': 0};
P25;policy_dimension;policy_implementation;"Are there any processes in place to assess if public sector bodies are charging for data above marginal cost? (please see directive (EU) 2019/1024 on open data and the reuse of public sector information).

For Explanation:
* If yes, please specify the process(es).";"{'yes': 20, 'no': 0, ""i don't know"": 0}";
P26-a;policy_dimension;policy_implementation;"What are the top 3 challenges that your country is facing in the implementation of the mentioned open data policies/strategy?

For Explanation:
* Please briefly describe.";{None: 0};
P26-b;policy_dimension;policy_implementation;"Are there activities in place to address these challenges in your country (e.g. with specific national/regional/local plans or initiatives)?

For Explanation:
* If yes, please briefly describe the measures that you have adopted or plan to adopt to address these challenges. 
* If no, please specify what is hampering finding a strategic approach to solve these challenges.";{'yes': 0, 'no': 0};
P27;policy_dimension;policy_implementation;"Are there any activities in place to assist data holders with publishing their data as open data (i.e. to help them with the data opening process)?

For Explanation:
* If yes, please describe/provide examples of these activities.";{'yes': 20, 'no': 0};
P28;policy_dimension;policy_implementation;"Is there a professional development or training plan for civil servants working with data in your country? 

For Explanation:
* If yes, please briefly describe these training activities.";{'yes': 20, 'no': 0};
P29;policy_dimension;policy_implementation;"Are there annually held national, regional or local events (e.g. hackathons, courses, conferences, users meet-ups, summer/winter schools) to promote open data and open data literacy in your country beyond the target group of public servants? 
 
For Explanation:
* If yes, please provide examples (e.g. title, date, location of the event and URL).";{'yes, >9': 20, 'yes, 6-9': 15, 'yes, 3-5': 10, 'yes, 1-2': 5, 'no': 0};
PT1;portal_dimension;portal_features;"Is there a national portal in your country for that enables users to search for open datasets and find where to download open data? 

For Explanation:
* If yes, please provide the URL of the national portal.";{'yes': 20, 'no': 0};
PT2;portal_dimension;portal_features;"For Explanation:
* What is the technology stack of your portal (e.g. based on uData, CKAN, etc.)";{None: 0};
PT3;portal_dimension;portal_features;"Does the national portal offer to its users a way to programmatically query the metadata via an API?

For Explanation:
* If yes, please provide the direct-URL to this feature.";{'yes': 10, 'no': 0};
PT4;portal_dimension;portal_features;"Does the national portal offer to its users a way to programmatically query the metadata via a SPARQL access point?

For Explanation:
* If yes, please provide the direct-URL to this feature.";{'yes': 10, 'no': 0};
PT5;portal_dimension;portal_features;"Does the national portal offer/link to documentation on the use of APIs?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";{'yes': 10, 'no': 0};
PT6;portal_dimension;portal_features;"Does the national portal offer/link to documentation on the use of SPARQL? 

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";{'yes': 10, 'no': 0};
PT7;portal_dimension;portal_features;"Does the national portal provide functionality for users to contribute datasets they have produced or enriched? 

For explanation:
* If yes, please (1) explain how  the portal facilitate the linking of documentation and supporting materials to these user-contributed datasets and (2) provide the direct-URL to this feature.  ";{'yes': 10, 'no': 0};
PT8;portal_dimension;portal_features;"Does the national portal offer a mechanism for users to provide general feedback, such  a 'Contact us' or 'Feedback' button that is placed in a visible spot and would allows users to send a general comment concerning the portal?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";{'yes': 10, 'no': 0};
PT9;portal_dimension;portal_features;"Does the national portal offer a mechanism for users to provide feedback on specific datasets, such as a 'feedback button' or a comment/discussion section under the dataset?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";{'yes': 10, 'no': 0};
PT10;portal_dimension;portal_features;"Does the national portal provide a mechanism for users to rate datasets?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";{'yes': 10, 'no': 0};
PT11;portal_dimension;portal_features;"Does the national portal enable users to find information and news on relevant open data topics in the country?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";{'yes': 10, 'no': 0};
PT12;portal_dimension;portal_features;"Does the national portal offer the possibility for users to receive notifications when new datasets are available on the national portal (RSS, ATOM feeds, email notifications etc.)?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";{'yes': 10, 'no': 0};
PT13;portal_dimension;portal_features;"Does the national portal enable users to request datasets, such as through a ""request data"" button? 

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";{'yes': 10, 'no': 0};
PT14;portal_dimension;portal_features;"Are requests for datasets and their progress status presented in a transparent manner on the national portal? 

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";{'yes': 10, 'no': 0};
PT15;portal_dimension;portal_features;"Does the team monitor the extent to which requests (either via the portal or otherwise) result in the publication of the requested data?

For Explanation:
* If yes, please describe how this monitoring is conducted.";{'yes': 10, 'no': 0};
PT16;portal_dimension;portal_features;"Does the national portal offer a mechanism for users to exchange with others, such as a discussion forum?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";{'yes': 10, 'no': 0};
PT17;portal_dimension;portal_features;"Does the national portal showcase reuse cases, such as in a designated section of the portal?

For Explanation:
* If yes, please provide the direct-URL to this feature. ";{'yes': 10, 'no': 0};
PT18;portal_dimension;portal_features;"Does the national portal reference the datasets that the showcased reuse cases are based on (i.e. there is a link between the reuse case in the showcase and the underlying dataset on the portal)?

For Explanation:
* If yes, please provide the URL to this feature/to an example documenting this feature.";{'yes': 10, 'no': 0};
PT19;portal_dimension;portal_features;"Does the national portal provide the possibility for users to submit their own reuse cases?

For Explanation:
* If yes, please provide the direct-URL to this feature. ";{'yes': 10, 'no': 0};
PT20;portal_dimension;portal_features;"Does the national portal offer a preview function for tabular data?

For Explanation:
* If yes, please provide the URL to an example documenting this feature.";{'yes': 10, 'no': 0};
PT21;portal_dimension;portal_features;"Does the national portal offer a preview function for geospatial data?

For Explanation:
* If yes, please provide the URL to an example documenting this feature.";{'yes': 10, 'no': 0};
PT22;portal_dimension;portal_features;"Do you promote high-value datasets on your national portal (e.g. use filtering features for reusers to easily find such datasets, use editorial features to promote the datasets, etc.))?

For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";{'yes': 20, 'no': 0, 'not applicable': 20};
PT23;portal_dimension;portal_usage;"Do you monitor the portal's traffic (e.g. in terms of number of unique visitors, visitor profiles, percentage of machine traffic, number of downloads according to the number of datasets etc.)? 

For Explanation:
* If yes, which tool(s) do you use?";{'yes': 20, 'no': 0};
PT24;portal_dimension;portal_usage;"Do you run analytics on API usage?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal";{'yes': 20, 'no': 0};
PT25;portal_dimension;portal_usage;"Besides monitoring portal traffic, do you perform any further activities to better understand the behaviour and needs of users of your portal (e.g. web analytics, surveys, or analysis of social media feeds)?

For Explanation:
* If yes, please (1) specify the activities and explain (2) how they help you understand user needs";{'yes': 20, 'no': 0};
PT26;portal_dimension;portal_usage;"Do you use the insights about portal usage and about the behaviour and needs of portal users to improve the portal accordingly?

For Explanation:
* If yes, please explain your process for improving the portal based on user insights and feedback
* If relevant, kindly highlight some improvements made in the past year";{'yes': 20, 'no': 0};
PT27;portal_dimension;portal_usage;"Do you undertake any activities to promote the portal and attract new users or new audiences?

For explanation:
* If yes, please (1) explain what activities your perform, and (2) mention if these activities are directed at any specific target audience (e.g. business, public sector, academia, etc.)";{'yes': 20, 'no': 0};
PT28;portal_dimension;portal_usage;"Do you monitor what keywords are used to search for data and content on the portal?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal";{'yes': 20, 'no': 0};
PT29;portal_dimension;portal_usage;"Do you monitor the most and least consulted pages?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal
* For informational purposes, kindly provide the URLs to the five most popular datasets on the portal";{'yes': 20, 'no': 0};
PT30;portal_dimension;portal_usage;"Do you take measures to optimise the search and discoverability of content (data and editorial)? 

For Explanation:
*If yes, please briefly describe how your optimise the search";{'yes': 20, 'no': 0};
PT31;portal_dimension;portal_usage;"Is the metadata on your portal available in clear plain language to enable both humans and machines to read and understand it? 

For Explanation:
*If yes, please provide the URL to an example documenting this feature.";{'yes': 20, 'no': 0};
PT32;portal_dimension;portal_data_provision;"To what degree do public sector data providers contribute data to the portal? 

For Explanation:
*Please describe what is the agreed approach.
* If less than the majority of data providers, please briefly explain why (e.g. technical incompatibilities, governance aspects, low awareness etc.).";{'all public sector data providers': 20, 'the majority of public sector data providers': 15, 'approximately half of the public sector data providers': 10, 'few public sector data providers': 0};
PT33;portal_dimension;portal_data_provision;Do you identify the data providers that are not yet publishing data on the national portal?;{'yes, or all public sector data providers already publish data': 20, 'no': 0};
PT34;portal_dimension;portal_data_provision;"Were there concrete actions taken to assist these data providers with their publication process?

For Explanation:
* If yes, could you provide some examples of the actions taken in this regard.";{'yes, or all public sector data providers already publish data': 20, 'no': 0};
PT35;portal_dimension;portal_data_provision;"Besides the national open data portal, are there other regional and local portals? 

For Explanation:
* If yes, please provide a complete list and the links to these portals.";{'yes': 0, 'no': 0};
PT36;portal_dimension;portal_data_provision;"Are regional and local portals listed above and their data sources discoverable via the national portal? 

For Explanation:
* If not applicable, please briefly explain why. ";{'yes': 20, 'no': 0, 'not applicable': 20};
PT37;portal_dimension;portal_data_provision;"To what degree are  regional and local sources harvested automatically? 

For Explanation:
* If less than the majority of existing sources is harvested by the national portal, please briefly explain why.                        
* If not applicable, please briefly explain why. ";{'all datasets': 20, 'the majority of datasets': 15, 'approximately half of the datasets': 10, 'few datasets': 5, 'none of the datasets': 0, 'not applicable': 20};
PT38;portal_dimension;portal_data_provision;"Does the national portal include datasets that are real-time or dynamic?

For Explanation:
* If yes, please provide URLs to real-time and/or dynamic data featured via the national portal. ";{'yes': 10, 'no': 0};
PT39;portal_dimension;portal_data_provision;"Does the national portal provide a way for non-official data (i.e. not stemming from official sources, such as community-sourced/citizen-generated data) to be published? 

For Explanation:
* If yes, please explain how non-official data is distinguished for official data (e.g. using a different section of the portal or tags) 
* And please provide a URL to an example of a non-official dataset on the portal ";{'yes': 20, 'no': 0};
PT40;portal_dimension;portal_data_provision;"Does the national portal allow users to see what data exists but cannot be made available as open data?

For Explanation:
* If yes, please (1) provide the URL to an example and (2) briefly describe the approach used to ensure this transparency.";{'yes': 20, 'no': 0};
PT41;portal_dimension;portal_sustainability;"Does the national portal have a strategy to ensure its sustainability?

For Explanation:
* If yes, please (1) provide the URL to this document and (2) describe the main measures to keep the portal running in the long-term and continue to serve its audience";{'yes': 40, 'no': 0};
PT42;portal_dimension;portal_sustainability;"Is your national portal active on social media? 

For Explanation:
* If yes, please provide the URL(s) to your social media accounts. ";{'yes': 20, 'no': 0};
PT43;portal_dimension;portal_sustainability;"Are the portal’s source code and relevant documentation and artefacts made available to the public (e.g. on platforms such as GitHub or GitLab)?

For Explanation:
*If yes, please provide the (1) platform name and (2) the URL to the portal’s account on this platform.  ";{'yes': 10, 'no': 0};
PT44;portal_dimension;portal_sustainability;"Do you monitor the characteristics of the data published on the portal, such as the distribution across categories, static vs. real-time data and how these change over time?

For Explanation:
* If yes, please provide the direct-URL to this feature";{'yes': 20, 'no': 0};
PT45;portal_dimension;portal_sustainability;"Does this monitoring enable the portal team and/or data providers to take action to improve their performance on the national portal?

For Explanation:
* If yes, please (1) explain how and (2) if applicable provide the direct-URL to this feature. ";{'yes': 20, 'no': 0};
Q1;quality_dimension;quality_currency;"Is there a pre-defined approach to ensure that metadata is kept up-to-date?

For Explanation:
* If yes, please briefly describe your approach.";{'yes': 20, 'no': 0};
Q2;quality_dimension;quality_currency;"What percentage of the metadata on the national portal is obtained from the source automatically, rather than edited manually? 

For Explanation:
* Please describe (1) the workflows you have to automate the harvesting of metadata and (2) for which types of data these apply to";{'1': 20, 1: 20, '100%': 20, '90-99%': 18, '70-89%': 15, '50-69%': 10, '30-49%': 5, '<30%': 0};
Q3;quality_dimension;quality_currency;"What is the average delay from the moment the metadata describing a dataset is updated at the source, and the moment the change is visible on the portal?

For Explanation:
* Please explain the approach for updating metadata in a timely manner";"{'within one day': 40, 'within one week': 15, 'within one month': 5, ""longer than one month or i don't know"": 0}";
Q4;quality_dimension;quality_currency;"Do you undertake efforts to ensure that published data covers the full period from when it was first published until today, for example, the complete time series?

For Explanation:
* If yes, please explain the measures in place to ensure complete series of datasets";{'yes': 20, 'no': 0};
Q5;quality_dimension;quality_currency;"Have you implemented the DCAT-AP High Value Datasets tag to denote the High-Value Datasets in your (national) open data portal(s)?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";{'yes': 20, 'no': 0, 'not applicable': 20};
Q6;quality_dimension;quality_currency;"Besides the DCAT-AP tag mentioned above, have you implemented any other measures to ensure that high-value datasets ((EU) 2023/138) are interoperable with datasets of other country?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";{'yes': 20, 'no': 0, 'not applicable': 20};
Q7;quality_dimension;quality_monitoring;"Do you monitor the quality of the metadata available on your portal?

For Explanation:
* If yes, please briefly explain how this monitoring takes place. 
* If applicable, please provide the URL to this monitoring mechanism.";{'yes': 20, 'no': 0};
Q8;quality_dimension;quality_monitoring;"Do you publish information on the quality of the metadata available on the portal?

For Explanation:
* If yes, please provide the URL to this section. ";{'yes': 20, 'no': 0};
Q9;quality_dimension;quality_monitoring;"Do you publish guidelines (e.g. written materials) and have tools in place, to assist publishers in publishing high-quality metadata? 

For Explanation:
* If yes, please (1) briefly describe this material and (2) provide the URLs to these materials and/or tools.";{'yes': 20, 'no': 0};
Q10;quality_dimension;quality_monitoring;"Do you set any standards on metadata quality that data providers must abide by (e.g. on the use of licence, minimum metadata describes, use of certain DCAT-AP properties, etc)

For Explanation:
* If yes, please describe the standards you have in place, i.e. what is minimum information the metadata should describe ";{'yes': 20, 'no': 0};
Q11;quality_dimension;quality_monitoring;"Do your open data publication/licensing guidelines provide recommendations for the use of Creative Commons (CC) licences, specifically CC BY 4.0 and CC0?

For Explanation:
* If yes, is this mandatory (e.g. prescribed by law) or recommended?
* Please provide a URL link to the guidelines";{'yes': 20, 'no': 0};
Q12;quality_dimension;quality_monitoring;What percentage of the open data available on the national portal is accompanied by licensing information? ;{'>90%': 20, '71-90%': 15, '51-70%': 10, '31-50%': 5, '10-30%': 2, '<10%': 0};
Q13;quality_dimension;quality_monitoring;How many different licences are used on your portal?;"{'1-4': 20, '5-10': 5, '>10': 0, ""i don't know"": 0}";
Q14;quality_dimension;quality_monitoring;"Besides providing guidelines, are there regular activities conducted or mechanisms in place to  assist publishers in supplying high-quality datasets (metadata quality and data quality)?

For Explanation:
* If yes, please explain the support you provide?";{'yes': 20, 'no': 0};
Q15;quality_dimension;quality_dcat_compliance;"Does the national portal follow the DCAT-AP framework or, if not, are standards in place to ensure interoperability with DCAT-AP?

For explanation:
* If the  portal follow the DCAT-AP framework, please describe how compliance with DCAT-AP is ensured
* If the portal does not follow the DCAT-AP framework, please describe how interoperability with DCAT-AP is ensured";{'yes': 20, 'no': 0};
Q16;quality_dimension;quality_dcat_compliance;What is the percentage of metadata on your portal that is DCAT-AP compliant, in terms of mandatory classes?;{'>90%': 25, '71-90%': 20, '51-70%': 15, '31-50%': 10, '10-30%': 5, '<10%': 0};
Q17;quality_dimension;quality_dcat_compliance;What is the percentage of metadata on your portal that uses DCAT-AP recommended classes?;{'>90%': 25, '71-90%': 20, '51-70%': 15, '31-50%': 10, '10-30%': 5, '<10%': 0};
Q18;quality_dimension;quality_dcat_compliance;What is the percentage of metadata on your portal that uses DCAT-AP optional classes? ;{'>90%': 25, '71-90%': 20, '51-70%': 15, '31-50%': 10, '10-30%': 5, '<10%': 0};
Q19;quality_dimension;quality_dcat_compliance;"Is there a national extension of the DCAT-AP standard developed for your country? 

For Explanation:
* If yes, please (1) briefly outline the reasons for this decision, and (2) what the main differences between the national variation and the EU standard are.
* If applicable, please provide the URL to the documentation of the national DCAT-AP extension.";{'yes': 0, 'no': 0};
Q20;quality_dimension;quality_dcat_compliance;"Do you investigate the most common causes for the lack of DCAT-AP compliance?

For Explanation:
* If yes, what are the main causes for the lack of DCAT-AP compliance?";{'yes': 20, 'no': 0};
Q21;quality_dimension;quality_dcat_compliance;What is the percentage of datasets whose metadata provides a reference to where the data can be downloaded, or its API accessed (“download-URL” in the DCAT-AP specification)?;{'>90%': 25, '71-90%': 20, '51-70%': 15, '31-50%': 10, '10-30%': 5, '<10%': 0};
Q22;quality_dimension;quality_dcat_compliance;What is the percentage of datasets whose metadata provides a reference to a web page from where the data can be accessed (“access-URL in the DCAT-AP specification)?;{'>90%': 25, '71-90%': 20, '51-70%': 15, '31-50%': 10, '10-30%': 5, '<10%': 0};
Q23;quality_dimension;quality_deployment;"Do you use a model (such as the 5-Star Open Data or FAIR) to assess the quality of deployment of data in your country?

For Explanation:
* If yes, please briefly describe.";{'yes': 20, 'no': 0};
Q24;quality_dimension;quality_deployment;"Do you conduct activities to promote and familiarise data providers with ways to ensure higher quality data?

For Explanation:
* If yes, please briefly describe.";{'yes': 20, 'no': 0};
Q25;quality_dimension;quality_deployment;What percentage of datasets are made available under an open licence? ;{'>90%': 25, '71-90%': 20, '51-70%': 15, '31-50%': 10, '10-30%': 5, '<10%': 0};
Q26;quality_dimension;quality_deployment;What percentage of licences are provided in a structured data format?;{'>90%': 25, '71-90%': 20, '51-70%': 15, '31-50%': 10, '10-30%': 5, '<10%': 0};
Q27;quality_dimension;quality_deployment;What percentage of datasets are provided in an open and machine-readable format?;{'>90%': 25, '71-90%': 20, '51-70%': 15, '31-50%': 10, '10-30%': 5, '<10%': 0};
Q28;quality_dimension;quality_deployment;What percentage of datasets consistently use Uniform Resource Identifiers?;{'>90%': 25, '71-90%': 20, '51-70%': 15, '31-50%': 10, '10-30%': 5, '<10%': 0};
Q29;quality_dimension;quality_deployment;What percentage of datasets link to other renowned sources to provide additional context for the users, e.g. in a linked data fashion?;{'>90%': 25, '71-90%': 20, '51-70%': 15, '31-50%': 10, '10-30%': 5, '<10%': 0};
I1;impact_dimension;impact_awareness;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";{'yes': 20, 'no': 0};
I2;impact_dimension;impact_awareness;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";"{'yes': 20, 'no': 0, ""i don't know"": 0}";
I3;impact_dimension;impact_awareness;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";"{'yes': 20, 'no': 0, ""i don't know"": 0}";
I4;impact_dimension;impact_awareness;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";{'yes': 20, 'no': 0, 'not applicable': 20};
I5;impact_dimension;impact_awareness;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";{'yes': 20, 'no': 0};
I6;impact_dimension;impact_awareness;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";{'yes': 20, 'no': 0};
I7;impact_dimension;impact_awareness;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";"{'yes': 20, 'no': 0, ""i don't know"": 0}";
I8;impact_dimension;impact_measuring_reuse;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";"{'yes': 40, 'no': 0, ""i don't know"": 0}";
I8-a;impact_dimension;impact_measuring_reuse;Automated feedback mechanisms tracking users´ access to datasets;{'yes': 0, 'no': 0};
I8-b;impact_dimension;impact_measuring_reuse;Surveys;{'yes': 0, 'no': 0};
I8-c;impact_dimension;impact_measuring_reuse;Interviews/workshops with reusers;{'yes': 0, 'no': 0};
I8-d;impact_dimension;impact_measuring_reuse;Other;{'yes': 0, 'no': 0};
I9;impact_dimension;impact_measuring_reuse;"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.";"{'yes': 40, 'no': 0, ""i don't know"": 0}";
I9-a;impact_dimension;impact_measuring_reuse;Regular feedback sessions with portal users ;{'yes': 0, 'no': 0};
I9-b;impact_dimension;impact_measuring_reuse;Social media sentiment analysis ;{'yes': 0, 'no': 0};
I9-c;impact_dimension;impact_measuring_reuse;Other;{'yes': 0, 'no': 0};
I10;impact_dimension;impact_measuring_reuse;"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen? ";"{'yes': 20, 'no': 0, ""i don't know"": 0}";
I11;impact_dimension;impact_measuring_reuse;"Are there any public bodies in your country that have developed a systematic ways of classifying the gathered reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: According to which categories are reuse cases classified (e.g. by policy field)?";"{'yes': 20, 'no': 0, ""i don't know"": 0}";
I12;impact_dimension;impact_government;"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.

";"{'yes': 20, 'no': 0, ""i don't know"": 0}";
