ID;Answer from 2024;Explanation from 2024;Confirm, change or complement answer/explanation from 2024;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P10-a;Yes;"There is currently no obligation on federal level to create a data catalogue on a legal basis or on the basis of the various strategies in the field of data/open data.

In fact, such an obligation is currently being considered for a planned transparency law (on federal level). However, the discussion process itself has not yet started and therefore no decisions have been made yet.

In addition, there are datasets that require at least certain requirements (examples at federal level):
- Verwaltungsdateninformationsplattform (VIP); published by the Federal statistical office: https://www.verwaltungsdaten-informationsplattform.de/DE/Home/home_node.html
- Datenatlas (this includes an inventory analysis of all the administration’s data), see:
https://www.bundesregierung.de/resource/blob/992814/1845634/0bab2b7d06c82f45361620f0c22891a2/datenstrategie-der-bundesregierung-download-bpa-data.pdf?download=1 (page 50 and 88)

Due to consitutional restrictions in Germany owing to Germany's Federal structure (Bund on the national level and the 16 states/Länder), the national government CANNOT directly mandate the federal states (Länder) or communes/cities and their respective public bodies to maintain a data inventory.";Confirm;;
P10-b;Yes;"As noted above, there is no legal obligation to create data catalogues. Nevertheless, for example, the Administrative Data Information Platform (VIP, see above) specifies the identification (but not the publication) of all metadata from registers which, by their nature, do not contain open data as personal data.
The German Open Data Act (§12a EGovG) currently determines which data may not be published as Open Data. These data include, for example, personal data at an individual level, research data and data that may jeopardise the national security of Germany.

In addition, the second Open Data Act (in force since 07/2021) contains a specific regulation for research data that must be published in certain cases.";Confirm;;
P11;Yes;"FAQs are provided on the national metadata portal GovData for the implementation of the high-value datasets.
Link: https://www.govdata.de/web/guest/hochwertige-datensaetze

There is also a guideline and a process diagram in preparation.";Confirm;;
P12;Yes;Some data sets are already marked as a high-value dataset, for example in the geodata area.;Confirm;;
D1.2;;;;;
P13;Yes;"The Competence Centre Open Data (CCOD) organises an annual round table to find topics for future specialist forums with various stakeholders who provide open data. As a result, the CCOD organises regular expert forums on different topics in the field of Open Data with different stakeholders.
Example (expert forum for high-value-datasets): https://www.bva.bund.de/SharedDocs/Kurzmeldungen/DE/Behoerden/Beratung/OpenData/Aktuelles/2024/FF_HVD.html";Confirm;;
P14;hybrid;Hybrid, because of the federal structures in Germany. This model is used to incorporate all federal levels and ensure an alignment of projects and initiatives at local and regional level. ;Confirm;;
P15;No;Due to the federal structure of Germany, the possibilities of support at regional and local level are very limited.;Confirm;;
P16;the majority of public bodies;"Due to the regulations all authorities at the federal state level are obligated to provide open data.
see § 12a sec.1 EGovG, https://www.gesetze-im-internet.de/egovg/__12a.html

Some of the states (Länder) have also implemented different open data policies, that oblige their public bodies to provide open data.
e.g. NRW, https://recht.nrw.de/lmi/owa/br_bes_detail?sg=0&menu=0&bes_id=34925&anw_nr=2&aufgehoben=N&det_id=552085

Moreover a lot of minucipalities and cities provide open (government) data.
- City of Berlin, https://daten.berlin.de/
- City of Munich: https://opendata.muenchen.de/
- City of Bonn, https://opendata.bonn.de/";Confirm;;
P17;yes;"Not summarised in a single document, but described in different documents:

GovData (nitional Open Data Portal):
The role of the national open data portal (GovData) is described under section 7 in the following published document: https://www.govdata.de/documents/10156/18448/Verwaltungsvereinbarung_GovData_finale+Fassung.pdf/a12e7cfb-91fc-4570-9a07-ed420e524c93

Open Data Coordination
- a good overview of Open Data Coordination and related tasks and roles can be found in a CCOD guidance document:
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/ODK_Leitfaden/1_OpenData_Einfuehrung/einfuehrung_node.html

Competence center of Open Data (CCOD):
The role of the CCOD is described in the introductory text, see: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Beratung/beratung_node.html 
(see contact persons)";Confirm;;
P18;Yes;Yes - not regularly by calendar, but minimum two times a year and on ad hoc basis via the Workgroup GovData.;Confirm;;
P19;Yes;"Yes:
- The 2nd Open Data Act (in force since July 2021) requires in section 12a(9) EGovG federal authorities to establish ‘open data coordinators’. The role is mandatory
- As part of the data strategy adopted in early 2021, Chief Data Scientists are currently being established in all federal ministries. These are supported by the establishment of data laboratories in ministries or subordinate authorities. Both roles/institutions are also mandatory for the federal level.";Confirm;;
P20;yes;"Yes, there are existing different formats for regular exchange:
- A core task of the competence Center Open Data (CCOD) - as part of the national open data team in the broader sense - is to promote regular exchange between all open data stakeholders (minimum three times a year).
- There is also be regular exchange among the open data coordinators (federal level)";Confirm;;
P21;yes;"Yes, in case of the federal research institutes under the responsibility of the Federal Ministry of Food and Agriculture, they have the internal (within the public body) exchange between the unit responsible for data management service and the scientists in our research institutes. Furthermore, they organize regular exchange between the public body (federal research institutes and the administrative authority) from our area of responsibility and the highest authority (federal ministry). For this purpose, they have established the Think Tank Digitalization with working groups on data management, Open Data and AI. There are also other opportunities for exchange.

There is also an exchange of knowledge and experience at federal level with the National Research Data Infrastructure Germany (NFDI).

At federal level the Competence Center of Open Data (CCOD) conducts so called 'Fachforen' (expert forums), where experts from different user groups (e.g. data journalists, ngo's) are invited to share their experiences, point of views and demands with civil servants from all federal levels, e.g. on metadata quality or data structure

Some examples at regional level:
Berlin (state):
Berlin Open Data Day is the networking conference between the public bodies and the stakeholders from academia, citizens and businesses, where we have speeches from the mayor and best practice presentations for open data projects: https://projektzukunft.berlin.de/news/news-detail/rueckblick-berlin-open-data-day-2019  we do also have the ""Open Data Lunch"", where we give the saleholders from academia, citizens and business the opportunity to exchange with the public bodies:  https://www.berlin.de/moderne-verwaltung/e-government/open-data/veranstaltungen/artikel.1257989.php#berlin 

Lower Saxony:
Only at project level: In the context of our project ""Bürgerinformationsportal Umwelt / UmweltNAVI Niedersachsen."" the Ministry of Environment of Lower Saxony cooperates e.g. with observations.org.";Confirm;;
D1.3;;;;;
P22;Yes;"BMEL:
From 2023: Yes, all of the federal research institutes under the responsibility of the Federal Ministry of Food and Agriculture have established Data Policies for this purpose. See for example: https://www.thuenen.de/en/data-policy

BMJ:
Yes, the BMJ plans to expand the publication of data in the future:
- Once completed, the new Federal Legal Information Portal (""Rechtsinformationsportal des Bundes"") will make court decisions, laws, ordinances and administrative provisions of the Federal Government available as open data.
(https://www.bmj.de/DE/themen/digitales/digitaler_staat/rechtsinformationsportal/rechtsinformationsportal_node.html)
- In the future, federal laws and ordinances will also be promulgated in a machine-readable data standard on the Promulgation Platform (""Verkündungsplattform"").

Schleswig-Holstein:
- A funding guideline was issued to implement automatic and continuous delivery from municipal data sources to the open data portal. (Amtsblatt für Schleswig-Holstein, volume 21, 2024-05-21, page 825)
- The Schleswig-Holstein State Data Strategy contains a chapter on the publication of open data.  https://transparenz.schleswig-holstein.de/dataset/landesdatenstrategie 
- As part of the 4th German national action plan OGP open government data will be published as linked open data. https://www.open-government-deutschland.de/opengov-de/vierter-nationaler-aktionsplan-verabschiedet-2216298

Bavaria: 
- The new open data portal ""open.bydata"" was launched in 2023, the special feature ""open data presences"" allows data providers (e.g. cities) to have an individualized and free of charge ""mini portal"", like Augsburg.bydata.de 
- The new ""open bydata competence center"" has an extensive service portfolio with consulting and material for open data providers (https://oc.bydata.de)

Hamburg: 
Transparenzportal: https://transparenz.hamburg.de/
UrbanDataPlattform: https://www.urbandataplatform.hamburg/ 

Berlin (state):
""Kerndatensätze"" (Core datasets) should be published from the public body level. This is an action in our Open Data Strategy, and we do have workshops with the Open Data Coordinators, where we work a plan for publishing the data considered as high-value data set. ""Data Inventory"": We have implemented the measure to carry out data inventories in our open data strategy, so that every administration must carry out a data inventory with the aim of discovering and publishing Open Data relevant data

North Rhine-Westphalia: According to the regional E-Government Act  (E-Government-Gesetz NRW) all state authorities shall publish their data as open data via the regional open data-portal open.nrw. Local authorities can also provide this data. Moreover the regional open data regulation (Open Data Verordnung NRW) specifies how to provide the data. 
For geo-spatial data, in accordance to the EU INSPIRE regulation, a GEO portal.NRW was implemented: https://www.geoportal.nrw/?activetab=portal#

Baden-Württemberg: 
https://www.daten-bw.de/
The state government of Baden-Württemberg makes data of public interest centrally accessible online. Our goal is to make public administration data easier to find and use. We want to promo-te the use of open licenses and increase the availability of machine-readable raw data. This will ensure that data is made available in an innovative and responsible way in the future and can be combined and used by everyone. In the long term, the aim is to create an efficient, sustainable and interconnected data infrastructure for Baden-Württemberg.

Baden-Wurtemberg
The State Office for Geoinformation and Land Development (LGL) established the Open GeoData Portal https://opengeodata.lgl-bw.de on 6th June 2024. According to EU-Commission implementation regulation 2023/118 a list of specific high-value datasets and the arrangements for their publication and re-use have been determined. The public surveying sector of Baden-Württemberg identified geodata of cadastre, terrain, surface and landscape models, 3D building models, orthophotos (aerial photographs) and digital maps. These data are made available on the Open GeoData Portal according to PSI regulation. In addition, the presentation of geodata in the geodata viewer of the Geoportal Baden-Württemberg is permitted for commercial and non-commercial purposes. The terms of use of the geodata viewer: https://www.geoportal-bw.de/#/(sidenav:karten).";Confirm;;
P23;Yes;"Yes
- Every two years the Federal Government has to report the progress of open data implementation in Germany to the federal parliament (Bundestag). This includes a survey among the federal authorities on the state of implementation of open data.
- The open government national action plan comes with a tool to monitor the implementation of the plans obligations: https://www.open-government-deutschland.de/opengov-de/ogp/aktionsplaene-und-berichte/3-nap
- The data strategy of the Federal Government is monitored quarterly
- The open data strategy includes a regular monitoring process: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html";Confirm;;
P24;No;With the regular Open Data Progress Report to the German Bundestag, proposals are also made for a possible further development of the legal and strategic framework conditions.;Change;Yes;"In 2024, an incorrect value was used in the ODM report.

With the regular Open Data Progress Report to the German Bundestag, proposals are also made for a possible further development of the legal and strategic framework conditions.

The recommendations in the regular progress report are used for regulatory developments, among other things. At the same time, it provides strategic impetus as to which development priorities could be set for open data in the future. This is also reflected in individual strategy documents (e.g. data strategy, open data strategy). Last but not least, the current open data strategy will also be subject to a separate evaluation (there is no established process for this yet)."
P25;yes;"In principle, the open data Act provides for the publication of data as ""open data"" for the hole federal administration, unless exceptions apply (e.g. personal data, security-related data). Cost considerations therefore do not play a decisive role in the provision.";Confirm;;
P26-a;N/A;"In no particular order:
- legal restrictions (e.g. data protection, copyright), that includes the interpretation of european and national laws
- lack of technical infrastructure
- lack of data governance

The following statements are also mentioned:
- Inventory the data infrastructures and data with all the corresponding challenges are handled (e.g. data protection) 
- lack of experts in the public service and insufficient financial resources
- making existing data bases with open data FAIR so that they can provide the data machine readable
- an overview of data holdings across Federal Government
- lack of competences with open data
From a regional perspective, these would be: 
- Lack of human resources
- lack of financial resources and
- lack of political prioritization ";Confirm;;
P26-b;yes;"In general: The appointment of Open Data coordinators in all federal ministries. The merging of separate Open Data-related laws into one transparency law (Bundestransparenzgesetz) in the current legislative period.

In the case of the Federal Ministry of Food and Agriculture:
For this purpose, we have established the Think Tank Digitalization with working groups on data management, Open Data and AI. There, we organize regular exchange between the public body (federal research institutes and the administrative authority) from our area of responsibility and the highest authority (federal ministry).

From Federal Ministry of Justice (BMJ) perspective:
- Exchange and networking within the Federal Government
- Establishment of a network on open data in the BMJ sector

The Competence Center of Open Data (CCOD) is adressing change management for open data, e.g. in guidelines for open-data-coordinations and in public presentations at conferences and federal agencies, e.g. https://www.zukunftskongress.info/de/node/4292

At regional level:
Berlin: The ""AG Open Data"" has 21 members, each public body is obliged to send an Open Data coordinator. At this link everyone can see the contact person, who is responsible for supervising Open Data at the public body: https://www.berlin.de/moderne-verwaltung/e-government/open-data/ansprechpersonen/artikel.1258477.php";Confirm;;
P27;Yes;There is an active knowledge management through manuals, guides and much more through the CCOD: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html;Confirm;;
P28;Yes;"Together with the Federal Academy for Public Administration (BAköV), the Competence Center Open Data (CCOD) is developing a so-called ""learning path"" for structured training. In addition, there is already active knowledge management through manuals, guides and much more through the CCOD: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html";Confirm;;
P29;Yes, >9;"BMEL:
Yes, beyond what was reported last year, the institutes under responsibility of the Federal Ministry of Food and Agriculture participate for example in the LoveDataWeek (https://rdm4bs.tu-braunschweig.de/index.php/love-data-weel-2024); another important example is the FairAgro Community Summit (https://fairagro.net/fairagro-community-summit/), this event connects the community of agricultural data across users from public sector, research, civil society, and business. 

Schleswig-Holstein:
- Open Data Day Flensburg, 2024-03-02, Flensburg, https://opendataday-flensburg.de
- Open Data Hackathon at Lübeck University, https://jil.sh/2024/03/open-data-hackathon-wintersemester-2023-24/ 

Open Data Day 2024: 2. March 2024 to 8. March 2024:
https://open.nrw/open-data-day-2024
- Hackday Niederrhein 2024: 2. and 3. March 2024, city of Moers:
https://www.codeforniederrhein.de/hackday-2024/

Bavaria:
- A bavarian Open Data Day in Munich (04 May 2024) with > 100 participants was held (https://veranstaltungen.muenchen.de/rit/veranstaltungen/open-data-day-muenchen-2024/)
- A new bavarian ""Open Data Roundtable"" was established to connect providers and users of data and move forward together (https://oc.bydata.de/using)

Hamburg: 
There are currently no events planned for this year in Hamburg.

Baden-Württemberg: no
Berlin:
-Berlin has the conference Berlin Open Data Day which takes place every year : we have political speeches from the mayor of Berlin and the CDO and we do have best practice case studies from adminstration, the economy stakeholders or the civic tech community. we do also have ""AG Open Data"" as a working group for the Data Managers and Open Data Officers to talk about the newest challenges of the open data legislation or the open data strategy topics. we do have digital open data lunches as an exchange between the civic tech community to show their projects to the administration that should adopt theses projects in their workflow. The crashcourse Open Data takes place every year to teach the newest methods of data management and data publishing and visualisation. You can find all activities online: https://www.berlin.de/moderne-verwaltung/e-government/open-data/veranstaltungen/veranstaltungen-1257989.php";Confirm;;
D2;;;;;
D2.1;;;;;
PT1;Yes;"daten.berlin.de; https://www.govdata.de/";Confirm;;
PT2;N/A;"Berlin: CKAN

GovData: In 2024, we completely rebuilt the structure of the portal. We switched to the CMS Typo3 for our editorial content and to Piveau (instead of CKAN) for data storage. Some of the portal's service functions were shifted to microservices.";Confirm;;
PT3;Yes;"Berlin: =HYPERLINK(""#""; ""https://berlinonline.github.io/open-data-handbuch/#schnittstellen"")

GovData: The metadata catalog published on GovData can be queried and processed automatically. A CKAN API is available for this purpose - and a Piveau API will be available after the switch to Piveau.";Confirm;;
PT4;Yes;"GovData: The metadata catalog published on GovData can not only be searched via the function on the website, but of course also can be queryed and processed by machine. For this purpose, a SPARQL endpoint (https://www.govdata.de/sparql) is available.

See also: https://www.govdata.de/web/guest/sparql-assistent";Confirm;;
PT5;Yes;"Berlin: =HYPERLINK(""#""; ""https://berlinonline.github.io/open-data-handbuch/#schnittstellen"")

GovData: A link is provided to the documentation on the CKAN API. After the switch to Piveau, the API will of course also be documented here. An example of the expected OpenAPI can be seen on the Open Data Portal of Bavaria: https://open.bydata.de/api/hub/search/";Confirm;;
PT6;Yes;GovData: We have a special page on GovData that links to the SPARQL documentation, lets you run any SPARQL query, but also provides a dozen sample queries: https://www.govdata.de/web/guest/sparql-assistent;Confirm;;
PT7;Yes;"GovData: The national data portal GovData does not offer a function for contributing your own datasets. Local data portals offer local communities the opportunity to integrate their data. This data is harvested in the national data portal.

Berlin offers an example. The “Open Data Handbook” of the Open Data Portal Berlin describes the provision and that local communities may contribute: https://berlinonline.github.io/open-data-handbuch/#wer-darf-im-datenportal-verffentlichen . Examples include the Allgemeiner Deutscher Fahrrad-Club, but also the Civic Tech and Open Data Community in the OK Labs of Code for Germany, Freifunk and Open Street Map.";Confirm;;
PT8;No;;Confirm;;
PT9;No;;Confirm;;
PT10;No;For a short explanation: a corresponding function w a s previously available, but it has now been discontinued due to low demand/use.;Confirm;;
PT11;No;;Confirm;;
PT12;No;;Confirm;;
PT13;No;"No, but we are discussing on having a ""data request button"" on the portal, though we still need to figure out the political and adminstrative processes behind it so that every request also gets to the respective public body. ";Confirm;;
PT14;No;;Confirm;;
PT15;No;After a certain amount of time (about a month), we ask the data provider if such a data set could be published.;Confirm;;
PT16;No;GovData: The Open Data Competence Center is planning to set up a public discussion forum in the second half of 2024. The national data portal will provide the entry point to this forum.;Change;Yes;"In 2024, an incorrect value was used in the ODM report.

GovData: The Open Data Competence Center is planning to set up a public discussion forum in the second half of 2024. The national data portal will provide the entry point to this forum."
PT17;Yes;"Berlin: =HYPERLINK(""#""; ""https://daten.berlin.de/anwendungen"")";Confirm;;
PT18;No;;Confirm;;
PT19;No;;Confirm;;
PT20;No;;Confirm;;
PT21;No;;Confirm;;
PT22;Yes;"Berlin:we have the metadatum HVD to select for data publishers, but this did not get used, because the HVDs are getting published from the GENESis Database and the Geoportal

GovData: We offer a special filter function in our simple search and in the advanced search. In the results lists, the high-value data set is displayed in a high-value way (with a gold border and gold category award). Further measures to highlight high-value data sets are planned for the end of the year.";Confirm;;
D2.2;;;;;
PT23;Yes;"Berlin: =HYPERLINK(""#""; ""https://odis-berlin.de/projekte/2024-01-daten-neuheiten ""); GovData still use Matomo to monitor portal's traffic but there are additional more statistics. We harvest more portal' statistic, find some here https://www.govdata.de/web/guest/suchen/-/searchresult/q/Zugriffsstatistik/s/lastmodification_desc";Confirm;;
PT24;No;GovData: No;Confirm;;
PT25;Yes;Berlin: surveys, an mapp inztelligence to track which data is downloaded the most;Confirm;;
PT26;Yes;GovData:: We are in constant communication with users of the portal. The wishes of the communities are sometimes specifically requested in workshops and are incorporated into the planned roadmap for the portal. The functionalities are adapted based on the analysis (via Matomo) of the use of the portal.;Confirm;;
PT27;Yes;Berlin: we do schooling on publishing at the open data portal and using the portal at open data crashcourse;Confirm;;
PT28;Yes;GovData: We use Matomo on an irregular basis to analyze the search terms on our portal. Incoming links from search engines are also analyzed for their search terms. This has enabled us to determine that there is an increased need for information to provide high-value datasets. However, a targeted analysis of searches for datasets will lead to misinterpretations. There are too many sub-data portals in Germany where users also search, but whose data we do not analyze.;Confirm;;
PT29;Yes;GovData: We use the analysis of the number of hits to scrutinize the structure of our pages. A data portal has many different user groups, so it is all the more difficult for everyone to find the right content quickly.;Confirm;;
PT30;Yes;Berlin: we want to implement Large Langugae Models;Confirm;;
PT31;Yes;GovData: yes. Every dataset is displayed on it's own page, sample: https://www.govdata.de/web/guest/suchen/-/details/zugriffsstatistik-daten-berlin-dec9fb3 The metadata is human readable und we provide a link to machine readable RDF file;Confirm;;
D2.3;;;;;
PT32;All public sector data providers;The data of all open data portals of the public sector is available in GovData. The data is provided via specialized or federal state portals. Where this is not possible, the regional portals will provide it directly.;Confirm;;
PT33;Yes, or all public sector data providers already publish data;GovData: yes;Confirm;;
PT34;Yes, or all public sector data providers already publish data;Berlin:with the open data informationsstelle berlin we assist them;Confirm;;
PT35;Yes;Berlin Geoportal Wasserportal, Energieatlas, Gewerbedatenatlas, Urbane Datenplattform PRISMA, digitale Plattform Stadtverkehr, there ar many portals in Berlin;Confirm;;
PT36;Yes;A list of all data providers can be accessed as a filter list at the following link, which also includes all regional portals: https://www.govdata.de/web/guest/daten;Confirm;;
PT37;The majority of datasets;"Short noted: A few, mostly regional data providers, enter their data at GovData manually 

Follow up: Thanks for the hint. We updated the column H";Confirm;;
PT38;Yes;Berlin:but a very few, not many;Confirm;;
PT39;Yes;"Berlin:citizen based data such as the Radverkehrsdaten from the project ""Berlin zählt Mobilität""

GovData: See answer to question PT7. We can no longer determine which data is official and which is non-official. There is also data that is a product of the combination of official data (cadastral data) and non-official data (OSM).

Example: https://www.govdata.de/web/guest/suchen/-/details/osm-strassen-koln-bonn and https://www.govdata.de/web/guest/suchen/-/details/spw2-alkisosmb7bb8";Confirm;;
PT40;Yes;"Berlin: yes, we have monitored the ""Cora datasets of Berlin ""berliner Kerndatensätze: https://odis-berlin.de/projekte/2023-02-kerndatens%C3%A4tze";Confirm;;
D2.4;;;;;
PT41;Yes;GovData: After the project launch, the GovData portal became a product of the IT Planungsrat. Funding has been secured via an administrative agreement with all 16 federal states and the federal government. FITKO was founded as a new authority to ensure the long-term operation of all products of the German IT Planungsrats https://www.it-planungsrat.de/fileadmin/beschluesse/2021/Beschluss2021-21_FITKO_Gruendungsbeschluss.pdf When it was founded in 2020, GovData was explicitly mentioned as a product that would be taken over. Legislation stipulates the delivery of data to GovData.;Confirm;;
PT42;No;Berlin:-Not any more, since Twitter became X;Confirm;;
PT43;Yes;"Berlin: =HYPERLINK(""#""; ""https://github.com/berlinonline "")";Confirm;;
PT44;No;;Confirm;;
PT45;No;;Confirm;;
D3;;;;;
D3.1;;;;;
Q1;yes;The metadata is subject to a harvesting process continuously, with control of the metadata and automatic scan for duplicates.;Confirm;;
Q2;70-89%;"Berlin: harvesting over the Geoportal

90-99%. We have an open data portal for almost every federal state in Germany. The large (but also smaller) cities operate their own open data portal. In addition, there are various thematic data portals, such as for traffic data and geodata. All these data portals are linked together in a large network or tree and harvest each other. At the end is GovData, which harvests almost all of the metadata from sub-portals. Only a small amount of data is entered directly into GovData by hand.";Confirm;;
