key;value
P11;"Wendet Ihr Land die Durchführungsverordnung (EU) 2023/138 über Hochwertige Datensätze an?

Zur Einordnung:
* Falls ja, wie ist der Fortschritt?
* Wenn Sie ein EFTA- oder EU-Beitrittsland sind, wählen Sie bitte „nicht zutreffend“.
** Geben Sie in der folgenden Tabelle Ihren Fortschritt in Bezug auf a) Organisation, b) rechtliche Aspekte, c) technische Aspekte auf einer Skala von 1 bis 5 an. 1 = kein Fortschritt; 2 = geringer Fortschritt; 3 = gewisser Fortschritt; 4 = erheblicher Fortschritt; 5 = Arbeiten sind abgeschlossen."
P12;"Haben die öffentlichen Stellen in Ihrem Land nach Veröffentlichung der Durchführungsverordnung (EU) 2023/138 über Hochwertige Datensätze relevante Datensätze in ihren Metadaten als Hochwertige Datensätze gekennzeichnet?

Zur Einordnung:
* Falls ja, geben Sie bitte an, wie, und heben Sie etwaige Herausforderungen hervor.
* Falls Ihr Land ein EFTA-Staat oder ein Beitrittskandidat zur EU ist, wählen Sie bitte „nicht zutreffend“ aus."
D1.2;1.2 Governance offener Daten
P13;"Gibt es eine Governance-Struktur, die die Beteiligung und/oder Einbeziehung verschiedener Open-Data-Stakeholder ermöglicht?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz die Governance-Struktur und ihr Betriebsmodell"
P14;"Wie würden Sie das in Ihrem Land verwendete Modell zur Verwaltung offener Daten einstufen?

Zur Einordnung:
* Bitte erläutern Sie kurz, warum dieses Modell für Ihr Land gewählt wurde/am besten funktioniert"
P15;"Stellt die Governance-Struktur sicher, dass die lokalen und regionalen Open-Data-Initiativen auf nationaler Ebene erleichtert und unterstützt werden?

Zur Einordnung:
* Wenn ja, geben Sie bitte ein Beispiel für die Art der Unterstützung an.
* Falls nicht zutreffend, erläutern Sie bitte den Grund."
P16;"Inwieweit führen lokale/regionale öffentliche Stellen Open-Data-Initiativen durch?

Zur Einordnung:
* Falls nicht zutreffend, erläutern Sie bitte den Grund."
P17;"Ist ein Dokument, das die Verantwortlichkeiten und die Governance-Struktur des nationalen (und/oder regionalen/lokalen) Open-Data-Teams beschreibt, öffentlich verfügbar?

Zur Einordnung:
* Wenn ja, geben Sie bitte die URL an, unter der diese Informationen veröffentlicht werden."
P18;"Gibt es einen regelmäßigen Wissens- oder Erfahrungsaustausch zwischen dem nationalen Open-Data-Team und dem Team, das das nationale Portal betreut?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz, wie dieser Austausch stattfindet, und liefern Sie Belege zur Untermauerung Ihrer Antwort (z. B. Tagesordnungen von Sitzungen, URLs zu Nachrichtenartikeln)."
P19;"Umfasst das Governance-Modell die Ernennung offizieller Rollen in öffentlichen Diensten, die sich mit offenen Daten befassen (z. B. Open-Data-Beauftragte)?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte, wie diese Aufgabe auf der Ebene der öffentlichen Körperschaft erfüllt wird."
P20;"Gibt es einen regelmäßigen Wissens- oder Erfahrungsaustausch zwischen dem nationalen Open-Data-Team und dem größeren Netzwerk der Open-Data-Beauftragten in Ihrem Land?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz, wie dieser Austausch stattfindet, und liefern Sie Belege zur Untermauerung Ihrer Antwort (z. B. Tagesordnungen von Sitzungen, URLs zu Nachrichtenartikeln)."
P21;"Gibt es einen regelmäßigen Wissens- oder Erfahrungsaustausch zwischen öffentlichen Stellen (d. h. den Anbietern) und Wiederverwendern offener Daten (z. B. Wissenschaft, Bürger, Unternehmen)?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz, wie dieser Austausch stattfindet, und liefern Sie Belege zur Untermauerung Ihrer Antwort (z. B. Tagesordnungen von Sitzungen, URLs zu Nachrichtenartikeln)."
D1.3;1.3 Umsetzung offener Daten
P22;"Gibt es Pläne zur Datenveröffentlichung auf der Ebene öffentlicher Stellen?

Zur Einordnung:
* Wenn ja, geben Sie bitte die URL an und heben Sie kurz die behandelten Schlüsselaspekte hervor."
P23;"Gibt es Prozesse, die sicherstellen, dass die oben genannten Open-Data-Richtlinien/Strategien umgesetzt werden (z. B. Monitoring)?

Zur Einordnung:
* Wenn ja, geben Sie bitte den/die Prozess(e) an."
P24;"Aktualisieren Sie Ihre Richtlinie/Strategie gegebenenfalls, um deren Erfolg sicherzustellen, beispielsweise auf Grundlage der zum Monitoring erfassten Daten?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte den Prozess und alle kürzlich vorgenommenen Aktualisierungen der Strategie/Richtlinie"
P25;"Gibt es Verfahren zur Beurteilung, ob öffentliche Stellen für Daten Gebühren erheben, die über den Grenzkosten liegen? (siehe Richtlinie (EU) 2019/1024 über offene Daten und die Weiterverwendung von Informationen des öffentlichen Sektors).

Zur Einordnung:
* Wenn ja, geben Sie bitte den/die Prozess(e) an."
P26-a;"Was sind die drei größten Herausforderungen, mit denen Ihr Land bei der Umsetzung der genannten Richtlinien/Strategien für offene Daten konfrontiert ist?

Zur Einordnung:
* Bitte kurz beschreiben."
P26-b;"Gibt es in Ihrem Land Aktivitäten zur Bewältigung dieser Herausforderungen (z. B. mit spezifischen nationalen/regionalen/lokalen Plänen oder Initiativen)?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz die Maßnahmen, die Sie ergriffen haben oder ergreifen möchten, um diese Herausforderungen zu lösen.
* Wenn nein, geben Sie bitte an, was die Suche nach einem strategischen Ansatz zur Lösung dieser Herausforderungen behindert."
P27;"Gibt es Aktivitäten, die den Dateninhabern dabei helfen, ihre Daten als offene Daten zu veröffentlichen (d. h., die ihnen beim Prozess der Datenöffnung helfen)?

Zur Einordnung:
* Wenn ja, beschreiben/geben Sie bitte Beispiele für diese Aktivitäten."
P28;"Gibt es in Ihrem Land einen beruflichen Entwicklungs- oder Schulungsplan für öffentlich Bedienstete, die mit Daten arbeiten?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz diese Schulungsaktivitäten."
P29;"Gibt es in Ihrem Land jährlich stattfindende nationale, regionale oder lokale Veranstaltungen (z. B. Hackathons, Kurse, Konferenzen, Benutzertreffen, Sommer-/Winterschulen), um offene Daten und Open-Data-Kompetenz über die Zielgruppe der öffentlich Bediensteten hinaus zu fördern?
 
Zur Einordnung:
* Wenn ja, geben Sie bitte Beispiele an (z. B. Titel, Datum, Ort der Veranstaltung und URL)."
D2;Dimension 2: Open Data Portal
D2.1;2.1 Funktionen des Portals
PT1;"Gibt es in Ihrem Land ein nationales Portal, auf dem Benutzer nach offenen Datensätzen suchen und herausfinden können, wo offene Daten heruntergeladen werden können?

Zur Einordnung:
* Wenn ja, geben Sie bitte die URL des nationalen Portals an."
PT2;"Zur Einordnung:
* Wie sieht der Technologie-Stack Ihres Portals aus (z. B. basierend auf uData, CKAN usw.)"
PT3;"Bietet das nationale Portal seinen Benutzern eine Möglichkeit, die Metadaten programmgesteuert über eine API abzufragen?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an."
PT4;"Bietet das nationale Portal seinen Benutzern eine Möglichkeit, die Metadaten programmgesteuert über einen SPARQL-Zugangspunkt abzufragen?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an."
PT5;"Bietet das nationale Portal eine Dokumentation zur Verwendung von APIs bzw. enthält einen Link dazu?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an."
PT6;"Bietet das nationale Portal eine Dokumentation zur Verwendung von SPARQL an bzw. verlinkt diese?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an."
PT7;"Bietet das nationale Portal den Benutzern die Möglichkeit, von ihnen erstellte oder angereicherte Datensätze beizutragen?

Zur Einordnung:
* Wenn ja, (1) erläutern Sie bitte, wie das Portal die Verknüpfung von Dokumentationen und unterstützenden Materialien mit diesen von Benutzern beigesteuerten Datensätzen erleichtert, und (2) geben Sie die direkte URL zu dieser Funktion an."
PT8;"Bietet das nationale Portal einen Mechanismus, mit dem Benutzer allgemeines Feedback geben können, etwa eine an sichtbarer Stelle platzierte Schaltfläche „Kontakt“ oder „Feedback“, mit der Benutzer allgemeine Kommentare zum Portal senden können?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an oder beschreiben Sie, wie diese Funktionalität bereitgestellt wird."
PT9;"Bietet das nationale Portal einen Mechanismus, mit dem Benutzer Feedback zu bestimmten Datensätzen geben können, etwa eine „Feedback-Schaltfläche“ oder einen Kommentar-/Diskussionsbereich unter dem Datensatz?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an oder beschreiben Sie, wie diese Funktionalität bereitgestellt wird."
PT10;"Bietet das nationale Portal Benutzern einen Mechanismus zur Bewertung von Datensätzen?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an oder beschreiben Sie, wie diese Funktionalität bereitgestellt wird."
PT11;"Ermöglicht das nationale Portal den Nutzern, Informationen und Neuigkeiten zu relevanten Open-Data-Themen im Land zu finden?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an."
PT12;"Bietet das nationale Portal den Benutzern die Möglichkeit, Benachrichtigungen zu erhalten, wenn neue Datensätze auf dem nationalen Portal verfügbar sind (RSS, ATOM-Feeds, E-Mail-Benachrichtigungen usw.)?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an."
PT13;"Gibt das nationale Portal seinen Nutzern die Möglichkeit, Datensätze anzufordern, etwa über eine Schaltfläche „Daten anfordern“?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an oder beschreiben Sie, wie diese Funktionalität bereitgestellt wird."
PT14;"Werden die Anfragen nach Datensätzen und deren Bearbeitungsstand auf dem nationalen Portal transparent dargestellt?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an."
PT15;"Überwacht das Team, inwieweit Anfragen (entweder über das Portal oder auf andere Weise) zur Veröffentlichung der angeforderten Daten führen?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte, wie diese Überwachung durchgeführt wird."
PT16;"Bietet das nationale Portal einen Mechanismus zum Austausch mit anderen Nutzern, beispielsweise ein Diskussionsforum?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an oder beschreiben Sie, wie diese Funktionalität bereitgestellt wird."
PT17;"Stellt das nationale Portal Wiederverwendungsfälle dar, beispielsweise in einem dafür vorgesehenen Bereich des Portals?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an."
PT18;"Verweist das nationale Portal auf die Datensätze, auf denen die vorgestellten Wiederverwendungsfälle basieren (d. h. es besteht eine Verknüpfung zwischen dem Anwendungsfall im Schaukasten und dem zugrunde liegenden Datensatz auf dem Portal)?

Zur Einordnung:
* Wenn ja, geben Sie bitte die URL zu dieser Funktion bzw. zu einem Beispiel an, das diese Funktion dokumentiert."
PT19;"Bietet das nationale Portal den Nutzern die Möglichkeit, eigene Wiederverwendungsfälle einzureichen?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an."
PT20;"Bietet das nationale Portal eine Vorschaufunktion für tabellarische Daten?

Zur Einordnung:
* Wenn ja, geben Sie bitte die URL zu einem Beispiel an, das diese Funktion dokumentiert."
PT21;"Bietet das nationale Portal eine Vorschaufunktion für Geodaten an?

Zur Einordnung:
* Wenn ja, geben Sie bitte die URL zu einem Beispiel an, das diese Funktion dokumentiert."
PT22;"Machen Sie auf Ihrem nationalen Portal Werbung für hochwertige Datensätze (verwenden Sie beispielsweise Filterfunktionen, damit Weiterverwender solche Datensätze leicht finden können, nutzen Sie redaktionelle Funktionen, um die Datensätze zu bewerben usw.)?

Zur Einordnung:
* Wenn ja, geben Sie bitte an, wie und heben Sie etwaige Herausforderungen hervor.
* Wenn Sie ein EFTA- oder EU-Kandidatenland sind, wählen Sie bitte „nicht zutreffend“ aus."
D2.2;2.2 Nutzung des Portals
PT23;"Überwachen Sie den Verkehr des Portals (z. B. im Hinblick auf die Anzahl der einzelnen Besucher, Besucherprofile, Prozentsatz des Maschinenverkehrs, Anzahl der Downloads entsprechend der Anzahl der Datensätze usw.)?

Zur Einordnung:
* Wenn ja, welche(s) Werkzeug(e) verwenden Sie?"
PT24;"Führen Sie Analysen zur API-Nutzung durch?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz (1) Ihren Prozess und (2) wie Sie die Erkenntnisse nutzen, um das Portal zu verbessern"
PT25;"Führen Sie neben der Überwachung des Portalverkehrs weitere Aktivitäten durch, um das Verhalten und die Bedürfnisse der Benutzer Ihres Portals besser zu verstehen (z. B. Webanalyse, Umfragen oder Analyse von Social-Media-Feeds)?

Zur Einordnung:
* Wenn ja, (1) spezifizieren Sie bitte die Aktivitäten und erklären Sie (2), wie diese Ihnen helfen, die Benutzerbedürfnisse zu verstehen"
PT26;"Nutzen Sie die Erkenntnisse über die Portalnutzung sowie über das Verhalten und die Bedürfnisse der Portalbenutzer, um das Portal entsprechend zu verbessern?

Zur Einordnung:
* Wenn ja, erläutern Sie bitte Ihren Prozess zur Verbesserung des Portals auf der Grundlage von Benutzererkenntnissen und Feedback.
* Heben Sie, falls relevant, einige im letzten Jahr vorgenommene Verbesserungen hervor."
PT27;"Ergreifen Sie Maßnahmen, um für das Portal zu werben und neue Benutzer bzw. neue Zielgruppen zu gewinnen?

Zur Einordnung:
* Falls ja, (1) erläutern Sie bitte, welche Aktivitäten Sie durchführen und (2) erwähnen Sie, ob sich diese Aktivitäten an eine bestimmte Zielgruppe richten (z. B. Wirtschaft, öffentlicher Sektor, Wissenschaft usw.)."
PT28;"Überwachen Sie, mit welchen Schlüsselwörtern auf dem Portal nach Daten und Inhalten gesucht wird?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz (1) Ihren Prozess und (2) wie Sie die Erkenntnisse nutzen, um das Portal zu verbessern"
PT29;"Überwachen Sie die am häufigsten und am wenigsten aufgerufenen Seiten?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz (1) Ihren Prozess und (2) wie Sie die Erkenntnisse nutzen, um das Portal zu verbessern.
* Geben Sie zu Informationszwecken bitte die URLs zu den fünf beliebtesten Datensätzen auf dem Portal an."
PT30;"Ergreifen Sie Maßnahmen, um die Suche und Auffindbarkeit von Inhalten (Daten und Redaktion) zu optimieren?

Zur Einordnung:
*Wenn ja, beschreiben Sie bitte kurz, wie Sie die Suche optimieren"
PT31;"Sind die Metadaten auf Ihrem Portal in klarer, verständlicher Sprache verfügbar, damit sie sowohl von Menschen als auch von Maschinen gelesen und verstanden werden können?

Zur Einordnung:
*Wenn ja, geben Sie bitte die URL zu einem Beispiel an, das diese Funktion dokumentiert."
D2.3;2.3 Bereitstellung von Daten
PT32;"In welchem Umfang steuern Datenanbieter des öffentlichen Sektors Daten zum Portal bei?

Zur Einordnung:
* Bitte beschreiben Sie den vereinbarten Ansatz.
* Wenn weniger als bei der Mehrheit der Datenanbieter, erläutern Sie bitte kurz den Grund (z. B. technische Inkompatibilitäten, Governance-Aspekte, geringes Bewusstsein usw.)."
PT33;Identifizieren Sie die Datenanbieter, die noch keine Daten auf dem nationalen Portal veröffentlichen?
PT34;"Wurden konkrete Maßnahmen ergriffen, um diese Datenanbieter bei ihrem Veröffentlichungsprozess zu unterstützen?

Zur Einordnung:
* Wenn ja, könnten Sie einige Beispiele für die diesbezüglich ergriffenen Maßnahmen nennen?"
PT35;"Gibt es neben dem nationalen Open-Data-Portal noch andere regionale und lokale Portale?

Zur Einordnung:
* Wenn ja, geben Sie bitte eine vollständige Liste und die Links zu diesen Portalen an."
PT36;"Sind die oben aufgeführten regionalen und lokalen Portale und deren Datenquellen über das nationale Portal auffindbar?

Zur Einordnung:
* Falls nicht zutreffend, erläutern Sie bitte kurz den Grund."
PT37;"In welchem Umfang werden regionale und lokale Quellen automatisch genutzt?

Zur Einordnung:
* Wenn das nationale Portal weniger als die Mehrheit der vorhandenen Quellen erfasst, erläutern Sie bitte kurz den Grund dafür.
* Falls nicht zutreffend, erläutern Sie bitte kurz den Grund."
PT38;"Enthält das nationale Portal Datensätze, die in Echtzeit oder dynamisch sind?

Zur Einordnung:
* Wenn ja, geben Sie bitte URLs zu Echtzeit- und/oder dynamischen Daten an, die über das nationale Portal bereitgestellt werden."
PT39;"Bietet das nationale Portal eine Möglichkeit, nicht offizielle Daten (z.B. die nicht aus offiziellen Quellen stammen, wie von der Community stammende/von Bürgern generierte Daten) veröffentlicht werden können?

Zur Einordnung:
* Wenn ja, erläutern Sie bitte, wie nicht offizielle Daten von offiziellen Daten unterschieden werden (z. B. durch Verwendung eines anderen Abschnitts des Portals oder von Tags)
* Und geben Sie bitte eine URL zu einem Beispiel eines nicht offiziellen Datensatzes auf dem Portal an."
PT40;"Ermöglicht das nationale Portal Benutzern, zu sehen, welche Daten vorhanden sind, aber nicht als offene Daten verfügbar gemacht werden können?

Zur Einordnung:
* Wenn ja, geben Sie bitte (1) die URL zu einem Beispiel an und (2) beschreiben Sie kurz den Ansatz, der zur Gewährleistung dieser Transparenz verwendet wird."
D2.4;2.4 Nachhaltigkeit des Portals
PT41;"Verfügt das nationale Portal über eine Strategie, um seine Nachhaltigkeit sicherzustellen?

Zur Einordnung:
* Wenn ja, geben Sie bitte (1) die URL zu diesem Dokument an und (2) beschreiben Sie die wichtigsten Maßnahmen, um das Portal langfristig am Laufen zu halten und weiterhin für sein Publikum verfügbar zu machen."
PT42;"Ist Ihr nationales Portal in den sozialen Medien aktiv?

Zur Einordnung:
* Wenn ja, geben Sie bitte die URL(s) zu Ihren Social-Media-Konten an."
PT43;"Werden der Quellcode des Portals, relevante Dokumentationen und Artefakte der Öffentlichkeit zugänglich gemacht (z. B. auf Plattformen wie GitHub oder GitLab)?

Zur Einordnung:
* Wenn ja, geben Sie bitte den (1) Plattformnamen und (2) die URL zum Portalkonto auf dieser Plattform an."
PT44;"Überwachen Sie die Merkmale der auf dem Portal veröffentlichten Daten, z. B. die Verteilung über Kategorien, statische vs. Echtzeitdaten und wie sich diese im Laufe der Zeit ändern?

Zur Einordnung:
* Wenn ja, geben Sie bitte die direkte URL zu dieser Funktion an"
PT45;"Ermöglicht diese Überwachung dem Portalteam und/oder den Datenanbietern, Maßnahmen zur Verbesserung ihrer Leistung auf dem nationalen Portal zu ergreifen?

Zur Einordnung:
* Wenn ja, (1) erklären Sie bitte, wie und (2) geben Sie gegebenenfalls die direkte URL zu dieser Funktion an."
D3;Dimension 3: Qualität offener Daten
D3.1;3.1 Aktualität und Vollständigkeit
Q1;"Gibt es einen vordefinierten Ansatz, um sicherzustellen, dass Metadaten auf dem neuesten Stand gehalten werden?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz Ihr Vorgehen."
Q2;"Wie viel Prozent der Metadaten auf dem nationalen Portal werden automatisch aus der Quelle bezogen und nicht manuell bearbeitet?

Zur Einordnung:
* Bitte beschreiben Sie (1) die Workflows, die Sie zur Automatisierung der Metadatenerfassung nutzen, und (2) für welche Datentypen diese gelten."
Q3;"Wie groß ist die durchschnittliche Verzögerung zwischen der Aktualisierung der Metadaten, die einen Datensatz beschreiben, an der Quelle und dem Zeitpunkt, an dem die Änderung im Portal sichtbar ist?

Zur Einordnung:
* Bitte erläutern Sie den Ansatz zur zeitnahen Aktualisierung der Metadaten"
Q4;"Unternehmen Sie Anstrengungen, um sicherzustellen, dass die veröffentlichten Daten den gesamten Zeitraum seit ihrer Erstveröffentlichung bis heute abdecken, beispielsweise die komplette Zeitreihe?

Zur Einordnung:
* Falls ja, erläutern Sie bitte die getroffenen Maßnahmen zur Sicherstellung der Vollständigkeit der Datensatzreihen"
Q5;"Haben Sie den Tag „DCAT-AP High Value Datasets“ (semiceu.github.io) implementiert, um die High-Value Datasets in Ihrem (nationalen) Open-Data-Portal(en) zu kennzeichnen?

Zur Einordnung:
* Falls ja, geben Sie bitte an, wie, und heben Sie etwaige Herausforderungen hervor.
* Falls Ihr Land ein EFTA-Staat oder ein Beitrittskandidat zur EU ist, wählen Sie bitte „nicht zutreffend“ aus."
Q6;"Haben Sie neben dem oben erwähnten DCAT-AP-Tag noch weitere Maßnahmen umgesetzt, um sicherzustellen, dass hochwertige Datensätze ((EU) 2023/138) mit Datensätzen anderer Länder kompatibel sind?

Zur Einordnung:
* Falls ja, geben Sie bitte an, wie, und heben Sie etwaige Herausforderungen hervor.
* Falls Ihr Land ein EFTA-Staat oder ein Beitrittskandidat zur EU ist, wählen Sie bitte „nicht zutreffend“ aus."
D3.2;3.2 Überwachung und Maßnahmen
Q7;"Überwachen Sie die Qualität der auf Ihrem Portal verfügbaren Metadaten?

Zur Einordnung:
* Wenn ja, erläutern Sie bitte kurz, wie diese Überwachung erfolgt.
* Falls zutreffend, geben Sie bitte die URL zu diesem Überwachungsmechanismus an."
Q8;"Veröffentlichen Sie Informationen zur Qualität der auf dem Portal verfügbaren Metadaten?

Zur Einordnung:
* Wenn ja, geben Sie bitte die URL zu diesem Abschnitt an."
Q9;"Veröffentlichen Sie Richtlinien (z. B. schriftliche Materialien) und verfügen Sie über Tools, die Herausgeber bei der Veröffentlichung hochwertiger Metadaten unterstützen?

Zur Einordnung:
* Wenn ja, (1) beschreiben Sie dieses Material bitte kurz und (2) geben Sie die URLs zu diesen Materialien und/oder Tools an."
Q10;"Legen Sie Standards für die Metadatenqualität fest, an die sich Datenanbieter halten müssen (z. B. hinsichtlich der Verwendung von Lizenzen, Mindestbeschreibungen von Metadaten, Verwendung bestimmter DCAT-AP-Eigenschaften usw.)?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte die von Ihnen festgelegten Standards, d. h. welche Informationen die Metadaten mindestens enthalten müssen"
Q11;"Geben Ihre Open-Data-Publikations-/Lizenzierungsrichtlinien Empfehlungen für die Nutzung von Creative Commons (CC)-Lizenzen, insbesondere CC BY 4.0 und CC0?

Zur Einordnung:
* Wenn ja, ist dies obligatorisch (z. B. gesetzlich vorgeschrieben) oder empfohlen?
* Bitte geben Sie einen URL-Link zu den Richtlinien an"
Q12;Wie viel Prozent der auf dem nationalen Portal verfügbaren offenen Daten sind mit Lizenzinformationen versehen?
Q13;Wie viele verschiedene Lizenzen werden auf Ihrem Portal verwendet?
Q14;"Gibt es neben der Bereitstellung von Leitlinien regelmäßige Aktivitäten oder Mechanismen, um Herausgeber bei der Bereitstellung qualitativ hochwertiger Datensätze (Metadatenqualität und Datenqualität) zu unterstützen?

Zur Einordnung:
* Wenn ja, erläutern Sie bitte die Unterstützung, die Sie leisten."
D3.3;3.3 DCAT-AP-Konformität
Q15;"Folgt das nationale Portal dem DCAT-AP-Framework oder gibt es, falls nicht, Standards, die die Interoperabilität mit DCAT-AP gewährleisten?

Zur Einordnung:
* Wenn das Portal dem DCAT-AP-Framework folgt, beschreiben Sie bitte, wie die Konformität mit DCAT-AP sichergestellt wird.
* Wenn das Portal nicht dem DCAT-AP-Framework folgt, beschreiben Sie bitte, wie die Interoperabilität mit DCAT-AP sichergestellt wird."
Q16;Wie hoch ist der Prozentsatz der Metadaten auf Ihrem Portal, die DCAT-AP-kompatibel sind, gemessen an den obligatorischen Klassen? (Agent, Katalog, Datensatz, Literal, Ressource)
Q17;Wie hoch ist der Prozentsatz der Metadaten in Ihrem Portal, die von DCAT-AP empfohlene Klassen verwenden? (Kategorie, Kategorienschema, Distribution, Lizenzdokument)
Q18;Wie hoch ist der Prozentsatz der Metadaten in Ihrem Portal, die optionale DCAT-AP-Klassen verwenden? (Katalogdatensatz, Prüfsumme, Dokument, Häufigkeit)
Q19;"Gibt es für Ihr Land eine nationale Erweiterung des DCAT-AP-Standards?

Zur Einordnung:
* Wenn ja, erläutern Sie bitte (1) kurz die Gründe für diese Entscheidung und (2) was die wesentlichen Unterschiede zwischen der nationalen Variante und dem EU-Standard sind.
* Gegebenenfalls geben Sie bitte die URL zur Dokumentation der nationalen DCAT-AP-Erweiterung an."
Q20;"Untersuchen Sie die häufigsten Ursachen für die mangelnde DCAT-AP-Konformität?

Zur Einordnung:
* Wenn ja, was sind die Hauptursachen für die mangelnde DCAT-AP-Konformität?"
Q21;Wie hoch ist der Prozentsatz der Datensätze, deren Metadaten einen Hinweis darauf bieten, wo die Daten heruntergeladen werden können oder auf deren API zugegriffen werden kann („Download-URL“ in der DCAT-AP-Spezifikation)?
