ID;Answer from 2024;Explanation from 2024;Confirm, change or complement answer/explanation from 2024;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P10-a;ja;"Derzeit besteht auf Bundesebene weder auf gesetzlicher Grundlage noch aufgrund der verschiedenen Strategien im Bereich Daten/Open Data eine Verpflichtung zur Erstellung eines Datenkatalogs.

Tatsächlich wird eine solche Verpflichtung derzeit für ein geplantes Transparenzgesetz (auf Bundesebene) geprüft. Der Diskussionsprozess selbst hat jedoch noch nicht begonnen, sodass noch keine Entscheidungen getroffen wurden.

Darüber hinaus gibt es Datensätze, die mindestens bestimmte Anforderungen erfordern (Beispiele auf Bundesebene):
- Verwaltungsdateninformationsplattform (VIP); Veröffentlicht vom Statistischen Bundesamt: https://www.verwaltungsdaten-informationsplattform.de/DE/Home/home_node.html
– Datenatlas (dieser enthält eine Inventaranalyse aller Daten der Verwaltung), siehe:
https://www.bundesregierung.de/resource/blob/992814/1845634/0bab2b7d06c82f45361620f0c22891a2/datenstrategie-der-bundesregierung-download-bpa-data.pdf?download=1 (Seite 50 und 88)

Aufgrund der verfassungsrechtlichen Beschränkungen in Deutschland, die sich aus der föderalen Struktur Deutschlands (Bund und 16 Länder) ergeben, kann der Bund die Länder, Gemeinden und Städte sowie deren jeweilige öffentliche Stellen nicht direkt mit der Führung eines Dateninventars beauftragen.";Confirm;;
P10-b;ja;"Wie bereits erwähnt, besteht keine gesetzliche Verpflichtung zur Erstellung von Datenkatalogen. Dennoch schreibt beispielsweise die Verwaltungsdaten-Informationsplattform (VIP, siehe oben) die Identifizierung (aber nicht die Veröffentlichung) aller Metadaten aus Registern vor, die naturgemäß keine offenen Daten als personenbezogene Daten enthalten.

Das deutsche Open-Data-Gesetz (§ 12a EGovG) regelt derzeit, welche Daten nicht als offene Daten veröffentlicht werden dürfen. Dazu gehören beispielsweise personenbezogene Daten auf individueller Ebene, Forschungsdaten und Daten, die die nationale Sicherheit Deutschlands gefährden können.

Darüber hinaus enthält das zweite Open-Data-Gesetz (in Kraft seit 07/2021) eine spezifische Regelung für Forschungsdaten, die in bestimmten Fällen veröffentlicht werden müssen.";Confirm;;
P11;ja;"Auf dem nationalen Metadatenportal GovData finden Sie FAQs zur Implementierung hochwertiger Datensätze.
Link: https://www.govdata.de/web/guest/hochwertige-datensaetze

Ein Leitfaden und ein Prozessdiagramm sind ebenfalls in Vorbereitung.";Confirm;;
P12;ja;Manche Datensätze sind bereits als hochwertiger Datensatz gekennzeichnet, beispielsweise im Bereich Geodaten.;Confirm;;
D1.2;;;;;
P13;ja;"Das Kompetenzzentrum Offene Daten (CCOD) organisiert jährlich einen Runden Tisch, um Themen für zukünftige Fachforen mit verschiedenen Akteuren, die offene Daten bereitstellen, zu finden. Daher organisiert das CCOD regelmäßig Fachforen zu verschiedenen Themen im Bereich Offene Daten mit verschiedenen Akteuren.
Beispiel (Fachforum für hochwertige Datensätze): https://www.bva.bund.de/SharedDocs/Kurzmeldungen/DE/Behoerden/Beratung/OpenData/Aktuelles/2024/FF_HVD.html";Confirm;;
P14;Hybrid;Hybrid, aufgrund der föderalen Strukturen in Deutschland. Dieses Modell dient der Einbindung aller Bundesebenen und der Sicherstellung einer Abstimmung von Projekten und Initiativen auf lokaler und regionaler Ebene.;Confirm;;
P15;nein;Aufgrund der föderalen Struktur Deutschlands sind die Fördermöglichkeiten auf regionaler und lokaler Ebene sehr eingeschränkt.;Change;Ja;"{Vergleich mit den anderen Ländern}

Belgien gab als Begründung „nicht zutreffend“ an und erhielt die volle Punktzahl.

Österreich argumentiert mit der Organisation eines föderalen Austauschs: Bei FITKO haben wir mit PM GovData einen interföderalen Austausch implementiert. Dabei tauscht die Bundesebene Informationen mit den Ländern aus. Geodaten sind ebenfalls ein integraler Bestandteil, wodurch ein Austausch bis auf die kommunale Ebene etabliert wurde."
P16;die Mehrheit der öffentlichen Körperschaften;"Aufgrund der Regelungen sind alle Behörden auf Landesebene zur Bereitstellung offener Daten verpflichtet.
siehe § 12a Abs.1 EGovG, https://www.gesetze-im-internet.de/egovg/__12a.html

Einige Bundesländer haben zudem unterschiedliche Open-Data-Richtlinien eingeführt, die ihre öffentlichen Stellen zur Bereitstellung offener Daten verpflichten.
z.B. NRW, https://recht.nrw.de/lmi/owa/br_bes_detail?sg=0&menu=0&bes_id=34925&anw_nr=2&aufgehoben=N&det_id=552085

Darüber hinaus stellen viele Gemeinden und Städte offene (Regierungs-)Daten zur Verfügung.
- Stadt Berlin, https://daten.berlin.de/
- Landeshauptstadt München: https://opendata.muenchen.de/
- Stadt Bonn, https://opendata.bonn.de/";Confirm;;
P17;ja;"Nicht in einem einzigen Dokument zusammengefasst, sondern in verschiedenen Dokumenten beschrieben:

GovData (nationales Open Data Portal):
Die Rolle des nationalen Open-Data-Portals (GovData) wird unter Abschnitt 7 im folgenden veröffentlichten Dokument beschrieben: https://www.govdata.de/documents/10156/18448/Verwaltungsvereinbarung_GovData_finale+Fassung.pdf/a12e7cfb-91fc-4570-9a07-ed420e524c93

Open-Data-Koordination
- Einen guten Überblick über die Open-Data-Koordination und die damit verbundenen Aufgaben und Rollen finden Sie in einem CCOD-Leitfaden:
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/ODK_Leitfaden/1_OpenData_Einfuehrung/einfuehrung_node.html

Kompetenzzentrum Open Data (CCOD):
Die Rolle des CCOD wird im Einführungstext beschrieben, siehe: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Beratung/beratung_node.html
(siehe Ansprechpartner)";Confirm;;
P18;ja;Ja – nicht regelmäßig laut Kalender, aber mindestens zweimal im Jahr und auf Ad-hoc-Basis über die Arbeitsgruppe GovData.;Confirm;;
P19;ja;"Ja:
– Das 2. Open-Data-Gesetz (in Kraft seit Juli 2021) verpflichtet Bundesbehörden in § 12a Absatz 9 EGovG zur Einrichtung von Open-Data-Koordinatoren. Diese Funktion ist verpflichtend.
– Im Rahmen der Anfang 2021 verabschiedeten Datenstrategie werden derzeit in allen Bundesministerien Chief Data Scientists eingerichtet. Diese werden durch die Einrichtung von Datenlaboren in Ministerien oder nachgeordneten Behörden unterstützt. Beide Funktionen/Einrichtungen sind auch für die Bundesebene verpflichtend.";Confirm;;
P20;ja;"Ja, es gibt verschiedene Formate für den regelmäßigen Austausch:
- Eine Kernaufgabe des Kompetenzzentrums Open Data (CCOD) – als Teil des nationalen Open-Data-Teams im weiteren Sinne – ist die Förderung des regelmäßigen Austauschs zwischen allen Open-Data-Akteuren (mindestens dreimal im Jahr).
- Auch unter den Open-Data-Koordinatoren (Bundesebene) findet ein regelmäßiger Austausch statt.";Confirm;;
P21;ja;"Ja, im Falle der Bundesforschungsinstitute, die dem Bundesministerium für Ernährung und Landwirtschaft unterstehen, erfolgt der interne Austausch (innerhalb der öffentlichen Körperschaft) zwischen der für den Datenmanagementdienst zuständigen Einheit und den Wissenschaftlern unserer Forschungsinstitute. Darüber hinaus organisieren sie den regelmäßigen Austausch zwischen der öffentlichen Stelle (Bundesforschungsinstitute und die Verwaltungsbehörde) aus unserem Zuständigkeitsbereich und der obersten Behörde (Bundesministerium). Zu diesem Zweck haben sie den Think Tank Digitalisierung mit Arbeitsgruppen zu Datenmanagement, Open Data und KI gegründet. Es gibt auch andere Möglichkeiten zum Austausch.

Darüber hinaus findet auf Bundesebene ein Wissens- und Erfahrungsaustausch mit der Nationalen Forschungsdateninfrastruktur Deutschland (NFDI) statt.

Auf Bundesebene führt das Kompetenzzentrum Open Data (CCOD) sogenannte Fachforen durch, bei denen Experten aus verschiedenen Nutzergruppen (z. B. Datenjournalisten, NGOs) eingeladen werden, ihre Erfahrungen, Standpunkte und Forderungen mit öffentlich Bediensteten aller Bundesebenen zu teilen, z.B. zu Metadatenqualität oder Datenstruktur

Einige Beispiele auf regionaler Ebene:
Berlin (Bundesland):
Der Berlin Open Data Day ist die Netzwerkkonferenz zwischen den öffentlichen Einrichtungen und den Stakeholdern aus Wissenschaft, Bürgern und Wirtschaft, auf der wir Reden des Bürgermeisters und Best-Practice-Präsentationen für Open-Data-Projekte haben: https://projektzukunft.berlin.de/news/news-detail/rueckblick-berlin-open-data-day-2019 Außerdem gibt es bei uns den „Open Data Lunch“, bei dem wir den Stakeholdern aus Wissenschaft, Bürgern und Wirtschaft die Möglichkeit geben, sich mit den öffentlichen Stellen auszutauschen: https://www.berlin.de/moderne-verwaltung/e-gouvernement/open-data/veranstaltungeentfälltrtikel.1257989.php#berlin

Niedersachsen:
Nur auf Projektebene: Im Rahmen unseres Projektes „Bürgerinformationsportal Umwelt / UmweltNAVI Niedersachsen“. Das Niedersächsische Umweltministerium kooperiert z.B. mit observations.org.";Confirm;;
D1.3;;;;;
P22;ja;"BMEL:
Ab 2023: Ja, alle Bundesforschungsinstitute im Zuständigkeitsbereich des Bundesministeriums für Ernährung und Landwirtschaft haben entsprechende Datenrichtlinien erstellt. Siehe beispielsweise: https://www.thuenen.de/en/data-policy

BMJ:
Ja, das BMJ plant, die Veröffentlichung von Daten künftig auszuweiten:
– Nach Fertigstellung wird das neue Rechtsinformationsportal des Bundes Gerichtsentscheidungen, Gesetze, Verordnungen und Verwaltungsvorschriften der Bundesregierung als offene Daten verfügbar machen.
(https://www.bmj.de/DE/themen/digitales/digitaler_staat/rechtsinformationsportal/rechtsinformationsportal_node.html)
- Bundesgesetze und -verordnungen werden künftig auch in einem maschinenlesbaren Datenstandard auf der Verkündungsplattform verkündet.

Schleswig-Holstein:
- Eine Förderrichtlinie wurde herausgegeben, um die automatische und kontinuierliche Bereitstellung kommunaler Datenquellen für das Open-Data-Portal zu gewährleisten. (Amtsblatt für Schleswig-Holstein, Heft 21, 21.05.2024, S. 825)
- Die Landesdatenstrategie Schleswig-Holstein enthält ein Kapitel zur Veröffentlichung offener Daten. https://transparenz.schleswig-holstein.de/dataset/landesdatenstrategie
- Im Rahmen des 4. Nationalen Aktionsplans OGP werden Open-Government-Daten als Linked Open Data veröffentlicht. https://www.open-government-deutschland.de/opengov-de/vierter-nationaler-aktionsplan-verabschiedet-2216298

Bayern:
- Das neue Open-Data-Portal „open.bydata“ startete 2023. Die Besonderheit „Open-Data-Präsenzen“ ermöglicht Datenanbietern (z. B. Städten) ein individualisiertes und kostenloses „Mini-Portal“, ähnlich wie augsburg.bydata.de.
- Das neue „open bydata Kompetenzzentrum“ bietet ein umfangreiches Serviceportfolio mit Beratung und Materialien für Open-Data-Anbieter (https://oc.bydata.de).

Hamburg: 
Transparenzportal: https://transparenz.hamburg.de/
UrbanDataPlattform: https://www.urbandataplatform.hamburg/ 

Berlin (Bundesland):
Kerndatensätze sollten von öffentlichen Stellen veröffentlicht werden. Dies ist eine Maßnahme unserer Open-Data-Strategie. Wir führen Workshops mit den Open-Data-Koordinatoren durch, in denen wir einen Plan für die Veröffentlichung der als hochwertige Datensätze eingestuften Daten erarbeiten. „Dateninventur“: Wir haben die Maßnahme zur Durchführung von Dateninventuren in unserer Open-Data-Strategie implementiert. Jede Verwaltung muss daher eine Dateninventur durchführen, um Open-Data-relevante Daten zu ermitteln und zu veröffentlichen.

Nordrhein-Westfalen: Gemäß dem E-Government-Gesetz NRW müssen alle Landesbehörden ihre Daten als offene Daten über das regionale Open-Data-Portal open.nrw veröffentlichen. Auch lokale Behörden können diese Daten bereitstellen. Die Open-Data-Verordnung NRW regelt zudem die Bereitstellung der Daten.
Für Geodaten wurde gemäß der EU-INSPIRE-Verordnung ein GEO-Portal.NRW eingerichtet: https://www.geoportal.nrw/?activetab=portal#

Baden-Württemberg: 
https://www.daten-bw.de/
Die Landesregierung Baden-Württemberg macht Daten von öffentlichem Interesse zentral online zugänglich. Unser Ziel ist es, die Auffindbarkeit und Nutzung von Daten der öffentlichen Verwaltung zu verbessern. Wir wollen die Nutzung offener Lizenzen fördern und die Verfügbarkeit maschinenlesbarer Rohdaten erhöhen. So stellen wir sicher, dass Daten zukünftig innovativ und verantwortungsvoll bereitgestellt und von allen kombiniert und genutzt werden können. Langfristig soll eine effiziente, nachhaltige und vernetzte Dateninfrastruktur für Baden-Württemberg entstehen.

Baden-Württemberg
Das Landesamt für Geoinformation und Landesentwicklung (LGL) hat am 6. Juni 2024 das Offene Geodatenportal https://opengeodata.lgl-bw.de eingerichtet. Gemäß der Durchführungsverordnung 2023/118 der EU-Kommission wurden eine Liste bestimmter hochwertiger Datensätze sowie die Regelungen für deren Veröffentlichung und Weiterverwendung festgelegt. Das Landesvermessungswesen Baden-Württembergs identifizierte Geodaten aus Kataster-, Gelände-, Oberflächen- und Landschaftsmodellen, 3D-Gebäudemodellen, Orthofotos (Luftbilder) und digitalen Karten. Diese Daten werden gemäß der PSI-Verordnung im Offenen Geodatenportal bereitgestellt. Darüber hinaus ist die Darstellung von Geodaten im Geodatenviewer des Geoportals Baden-Württemberg für kommerzielle und nichtkommerzielle Zwecke gestattet. Die Nutzungsbedingungen des Geodatenviewers finden Sie unter: https://www.geoportal-bw.de/#/(sidenav:karten).";Confirm;;
P23;ja;"Ja
– Die Bundesregierung muss dem Bundestag alle zwei Jahre über den Stand der Umsetzung von Open Data in Deutschland berichten. Dies beinhaltet eine Umfrage unter den Bundesbehörden zum Stand der Umsetzung von Open Data.
– Der Nationale Aktionsplan für Open Government enthält ein Instrument zur Überwachung der Umsetzung der Planverpflichtungen: https://www.open-government-deutschland.de/opengov-de/ogp/aktionsplaene-und-berichte/3-nap
– Die Datenstrategie der Bundesregierung wird vierteljährlich überwacht.
– Die Open-Data-Strategie beinhaltet einen regelmäßigen Monitoringprozess: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html";Confirm;;
P24;nein;Mit dem regelmäßigen Open Data-Fortschrittsbericht an den Deutschen Bundestag werden zudem Vorschläge für eine mögliche Weiterentwicklung der rechtlichen und strategischen Rahmenbedingungen gemacht.;Change;Ja;"{Im Jahr 2024 wurde im Reifegradbericht ein falscher Wert verwendet}

Mit dem regelmäßigen Open-Data-Fortschrittsbericht an den Deutschen Bundestag werden zudem Vorschläge für eine mögliche Weiterentwicklung der rechtlichen und strategischen Rahmenbedingungen unterbreitet.

Die Empfehlungen des regelmäßigen Fortschrittsberichts dienen unter anderem der regulatorischen Weiterentwicklung. Gleichzeitig liefert er strategische Impulse, welche Entwicklungsschwerpunkte für Open Data künftig gesetzt werden könnten. Dies spiegelt sich auch in einzelnen Strategiedokumenten (z. B. Datenstrategie, Open-Data-Strategie) wider. Nicht zuletzt wird auch die aktuelle Open-Data-Strategie einer gesonderten Evaluierung unterzogen (hierfür gibt es noch keinen etablierten Prozess)."
P25;ja;Das Open-Data-Gesetz sieht grundsätzlich die Veröffentlichung von Daten als „offene Daten“ für die gesamte Bundesverwaltung vor, sofern keine Ausnahmen gelten (z. B. personenbezogene Daten, sicherheitsrelevante Daten). Kostenerwägungen spielen daher bei der Regelung keine entscheidende Rolle.;Confirm;;
P26-a;Entfällt;"Ohne besondere Reihenfolge:
- rechtliche Beschränkungen (z. B. Datenschutz, Urheberrecht), einschließlich der Auslegung europäischer und nationaler Gesetze
- Mangel an technischer Infrastruktur
- Mangel an Datenverwaltung

Folgende Aussagen werden ebenfalls erwähnt:
- Inventarisierung der Dateninfrastrukturen und Daten mit allen damit verbundenen Herausforderungen (z.B. Datenschutz)
- Mangel an Fachkräften im öffentlichen Dienst und unzureichende finanzielle Mittel
- Bestehende Datenbanken mit offenen Daten FAIR machen, damit sie die Daten maschinenlesbar bereitstellen können
- eine Übersicht über die Datenbestände in der gesamten Bundesregierung
- Mangel an Kompetenzen mit offenen Daten
Aus regionaler Perspektive wären das:
- Mangel an Personal
- Mangel an finanziellen Mitteln und
- Mangelnde politische Priorisierung";Confirm;;
P26-b;ja;"Generell: Die Benennung von Open-Data-Koordinatoren in allen Bundesministerien. Die Zusammenführung einzelner Open-Data-Gesetze zu einem Bundestransparenzgesetz in der laufenden Legislaturperiode.

Beim Bundesministerium für Ernährung und Landwirtschaft:
Zu diesem Zweck haben wir den Think Tank Digitalisierung mit Arbeitsgruppen zu Datenmanagement, Open Data und KI gegründet. Dort organisieren wir den regelmäßigen Austausch zwischen der öffentlichen Hand (Bundesforschungsinstitute und die Verwaltungsbehörde) aus unserem Zuständigkeitsbereich und der obersten Behörde (Bundesministerium).

Aus Sicht des Bundesministeriums der Justiz (BMJ):
- Austausch und Vernetzung innerhalb der Bundesregierung
- Aufbau eines Netzwerks zu offenen Daten im BMJ-Bereich

Das Kompetenzzentrum Open Data (CCOD) befasst sich mit dem Change Management für Open Data, z.B. in Leitlinien für Open-Data-Koordinationen und in öffentlichen Vorträgen auf Konferenzen und Bundesbehörden, z.B. https://www.zukunftskongress.info/de/node/4292

Auf regionaler Ebene:
Berlin: Die „AG Open Data“ hat 21 Mitglieder, jede Körperschaft ist verpflichtet, einen Open-Data-Koordinator zu entsenden. Unter diesem Link kann jeder den Ansprechpartner sehen, der für die Betreuung von Open Data bei der Behörde zuständig ist: https://www.berlin.de/moderne-verwaltung/e-gouvernement/open-data/ansprechpersoneentfälltrtikel.1258477.php";Confirm;;
P27;ja;Es erfolgt ein aktives Wissensmanagement durch Handbücher, Leitfäden und vieles mehr über das CCOD: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html;Confirm;;
P28;ja;Gemeinsam mit der Bundesakademie für öffentliche Verwaltung (BAköV) entwickelt das Kompetenzzentrum Offene Daten (CCOD) einen sogenannten „Lernpfad“ zur strukturierten Weiterbildung. Darüber hinaus erfolgt bereits aktives Wissensmanagement durch Handbücher, Leitfäden und vieles mehr über das CCOD: https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Vorlagen-Hilfsmittel/vorlagen-hilfsmittel_node.html;Confirm;;
