;4.2 Measuring reuse;;;;;;;;
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";yes;N/A;Change;Yes;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I8-a;Automated feedback mechanisms tracking users´ access to datasets;new question;new question;Change;Yes;Monitoring dashboard in dados.gov and Access control to each data set;;;
I8-b;Surveys;new question;new question;Change;Yes;DGPJ carries out surveys. Also, you can consult this civil society entity in collaboration with PA bodies survey - URL: https://dados.gov.pt/pt/datasets/observatorio-dspa-o-setor-de-data-science-em-portugal/;;;
I8-c;Interviews/workshops with reusers;new question;new question;Change;Yes;"IPMA (Weather Agency) carries them out together with civil protection authorities and water management agency. Also, in the context of the project ""Dados Abertos - Definição de modelo de avaliação de impacto"" (URL https://www.base.gov.pt/Base4/pt/detalhe/?type=contratos&id=9601046), interviews are conducted with the reusers of the open data initiatives being studied to assess the governmental, economic, social and environmental impact of open data reuse. ";;;
I8-d;Other;new question;new question;Change;Yes;Analytic tools (PIWIK) applied to the dados.gov;;;
I9;"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.";yes;N/A;Confirm;;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I9-a;Regular feedback sessions with portal users ;new question;new question;Change;Yes;"The portal allows users to ask questions, make suggestions for data sets, and interact with supplier entities through the ""contact"" functionality (URL: https://dados.gov.pt/pt/contact/).";;;
I9-b;Social media sentiment analysis ;new question;new question;Change;Yes;A yearly session for media journalists  is organized by AGIF and IPMA makes use of the session to explain meteorological fire risk data use. DGPJ also gathers news and information on data related matters.;;;
I9-c;Other;new question;new question;Change;Yes;DGPJ carries out user satisfaction questionnaires. Also, several activities namely, webinars, (https://dados.gov.pt/pt/posts/webinar-dados-abertos-importancia-para-as-empresas-2/), workshops (https://dados.gov.pt/pt/posts/a-ama-e-o-ctic-promoveram-o-workshop-conjuntos-de-dados-de-elevado-valor-dados-abertos-na-administracao-publica-1/) public presentations (https://dados.gov.pt/pt/posts/ogp-internacional/), and other events destined to the entire community that uses the open data portal (https://dados.gov.pt/pt/posts/open-data-day-2023/).;;;
I10;"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen? ";yes;"[Response to reviewer] 
The ongoing project entitled ""Open Data - Impact Assessment Model Definition"" (URL: https://www.base.gov.pt/Base4/pt/detalhe/?type=contratos&id=9601046) has implemented systematic methods for collecting (re)use cases, incorporating best practices (while also accounting for the cautionary lessons) from reports such as ""Rethinking the Impact of Open Data,"" ""The Economic Impact of Open Data,"" and ""The Use Case Observatory Volume I"" available on data.europa.eu.
The systematic methods for gathering eligible entities for building use cases about the impact they create when (re)using open data are the following prioritization rules:
a) having ongoing or scheduled data platforms, explicit data policies, data quality control procedures, and/or a general knowledge of its platform users
b) the data platform is in the form of a website, data portal, or web application
c) entities can be classified as private, public (government) or academic institutions
d) entities can maintain regular and effective communication with the Administrative Modernization Agency, I.P. (AMA)
e) entities can underpin if their operational influence is in at least one of the following sectors: social, governmental, environmental or economic
f) entities can be classified into at least one of the following positions of the open data value chain: data reuser, data portal, data intermediary
Upon their acceptance of the collaboration, they were provided with an impact assessment questionnaire.";Complement;;"The ongoing project entitled ""Open Data - Impact Assessment Model Definition"" (URL: https://www.base.gov.pt/Base4/pt/detalhe/?type=contratos&id=9601046) has implemented systematic methods for collecting (re)use cases, incorporating best practices (while also accounting for the cautionary lessons) from reports such as ""Rethinking the Impact of Open Data,"" ""The Economic Impact of Open Data,"" and ""The Use Case Observatory Volume I"" available on data.europa.eu. The first reports of the project can be consulted here for more information [Please check the file attached to this survey_Relatório Casos de Estudo.pdf]
The systematic methods for gathering eligible entities for building use cases about the impact they create when (re)using open data are the following prioritization rules:
a) having ongoing or scheduled data platforms, explicit data policies, data quality control procedures, and/or general knowledge of its platform users
b) the data platform is in the form of a website, data portal, or web application
c) entities can be classified as private, public (government) or academic institutions
d) entities can maintain regular and effective communication with the Administrative Modernization Agency, I.P. (AMA)
e) entities can underpin if their operational influence is in at least one of the following sectors: social, governmental, environmental or economic
f) entities can be classified into at least one of the following positions of the open data value chain: data reuser, data portal, data intermediary
Upon their acceptance of the collaboration, they were provided with an impact assessment questionnaire.";;;
I11;"Are there any public bodies in your country that have developed a systematic ways of classifying the gathered reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: According to which categories are reuse cases classified (e.g. by policy field)?";No;;Change;Yes;"The study from AMA, ""Projeto Impacto dos Dados Abertos. Casos de Estudo"", categorizes the information of the use cases in different topic areas. 
The reuse cases and their impacts are assessed and classified by data providers and reusers under four possible areas or dimensions: governmental, economic, social, and environmental. The project is implementing surveys to the entities to assess different metrics related to the knowledge and evidence of the impacts of the reuse cases in each of the four dimensions. This allows the measure of the impact of the open data in each dimension and to perform a global analysis, from which the cases can be classified considering their impacts. This was already applied in a set of reuse cases, and future plans include applying it to a larger set. [Please check the file attached to this survey Relatório Casos de Estudo.pdf]
The metrics that are being produced in the context of this project were inspired on “Rethinking the impact of open data” (Ooijen et al., 2023), “The Use Case Observatory” (Carsaniga, Dogger e Regeczi, 2022), “European DATA Market Study 2021–2023” (European Commission, 2023a), “Creating Value through Open Data” (Capgemini Consulting et al., 2015) e “The economic impact of open data” (Huyer e Knippenberg, 2020). ";;;
;4.3 Created impact;;;;;;;;
;4.3a Governmental impact;;;;;;;;
I12;"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.

";yes;"[Response to reviewer] 
1 - The study ""Smart & open cities: Portuguese municipalities open data policies evaluation"" (URL: https://ieeexplore.ieee.org/abstract/document/7975912) provides a quantitative overview of the open data landscape in Portuguese cities based on the use of the Local Open Data Census platform (provided by Open Knowledge International - OKI) to evaluate the capacity to implement policies and frames its progress in terms of economic development and innovation, government transparency and citizen engagement impact.
2 - The study ""The Open Data policies in Portugal: analysis of its implementation and impact"" makes an assessment based on homologous data sources - OKI - and expands its framework to the national level, and applied to the implementation of scientific data and public sector data, including data portals (URL: https://www.researchgate.net/profile/Paulo-Silva-119/publication/322011884_As_Politicas_de_Open_Data_em_Portugal_analise_da_sua_implementacao_e_impacto/links/5a3d6ced0f7e9ba8688e8fbf/As-Politicas-de-Open-Data-em-Portugal-analise-da-sua-implementacao-e-impacto.pdf)";Complement;;"1 - The study ""Smart & open cities: Portuguese municipalities open data policies evaluation"" (URL: https://ieeexplore.ieee.org/abstract/document/7975912) provides a quantitative overview of the open data landscape in Portuguese cities based on the use of the Local Open Data Census platform (provided by Open Knowledge International - OKI) to evaluate the capacity to implement policies and frames its progress in terms of economic development and innovation, government transparency and citizen engagement impact.
2 - The study ""The Open Data policies in Portugal: analysis of its implementation and impact"" makes an assessment based on homologous data sources - OKI - and expands its framework to the national level, and applied to the implementation of scientific data and public sector data, including data portals (URL: https://www.researchgate.net/profile/Paulo-Silva-119/publication/322011884_As_Politicas_de_Open_Data_em_Portugal_analise_da_sua_implementacao_e_impacto/links/5a3d6ced0f7e9ba8688e8fbf/As-Politicas-de-Open-Data-em-Portugal-analise-da-sua-implementacao-e-impacto.pdf)
3- The ""Dados Abertos - Definição de modelo de avaliação de impacto"" project is assessing the impact of different reuse cases in a systematic way in different areas, including the governmental area, based on surveys to data providers and reusers.[Please check the file attached to this survey_Relatório Casos de Estudo.pdf]";;;
I13;"Is the use of open data in your country having an impact on the efficiency and effectiveness of the government (at any level) in delivering public services? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"1- Publishing data on the dematerialization of medical paper prescriptions by electronic means exemplifies how open data has a substantial impact on the efficiency and effectiveness of a government in delivering public services by reducing administrative burdens, eliminating paper-based processes, enhancing accuracy, facilitating faster access to prescriptions, and enabling seamless coordination among healthcare providers, ultimately resulting in improved healthcare delivery and patient care outcomes (URL: https://transparencia.sns.gov.pt/explore/dataset/desmaterializacao-eletronica-da-receita/table/?sort=periodo).
2- The use of open data on illegal parking (URL: https://urbandatalab.pt/index.php/component/sppagebuilder/?view=page&id=118pen) allows for the identification of patterns and prediction of parking in the city of Lisbon, thus improving surveillance efficiency. 
3- The Primary Health Care Identity Card allows for the proper management and efficiency in the use of health resources (URL: https://www.spms.min-saude.pt/2020/07/bi-csp-bilhete-de-identidade-dos-cuidados-de-saude-primarios/)";;;
I14;"Is the use of open data in your country having an impact on transparency and accountability of public administrations?

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"Mais Transparência portal (URL: https://transparencia.gov.pt/pt/) is a digital information platform on various management topics and public resources under the responsibility of AMA - Agency for Administrative Modernization. The information is permanently updated with data available on the national open data portal under the responsibility of the entities.
Mais Transparência Portal allows citizens to access information provided by the Government in a more accessible way, reinforcing their relationship of trust with the Public Administration. The Mais Transparencia Portal , a barometer of the NextGenerationEU fund application at the national and municipal levels, allowing citizens to have access to information through a data visualization tool (URL: https://transparencia.gov.pt/pt/fundos-europeus/prr/barometro/ complemented with straightforward channels for downloading the source open data (URL: https://transparencia.gov.pt/pt/fundos-europeus/prr/barometro/ and technical documentation URL: https://transparencia.gov.pt/pt/fundos-europeus/prr/dimensao/resiliencia/). It also allows evaluating how Portugal compares in the NextGenerationEU fund application to other member states, e.g., URL: https://www.portugal.gov.pt/pt/gc23/comunicacao/noticia?i=portugal-e-dos-paises-mais-avancados-na-execucao-do-prr.
Also, the data on public contracts and procurement provided at base.gov (URL: https://www.base.gov.pt/base4) has been used in academia as a source to study topics related to accountability and transparency in the public sector. Some examples are the following: ""Public sector corruption and accountability in cost deviation and overruns of public projects"" by  Catalão et al. (2023) (URL: https://link.springer.com/article/10.1007/s11115-022-00616-x); ""The entanglement of time and cost deviations in public projects"" by Catalao et al. (2023)  (URL: https://onlinelibrary.wiley.com/doi/full/10.1111/apce.12364); ""Essays on the Socioeconomic Impacts of Digital Government - Chapter 5"", by Martins J. (2024) (URL: https://repositorium.sdum.uminho.pt/handle/1822/88833?mode=full)
Futhermore, The Complementary tool to the Electronic national official journal (https://incm-tst.outsystemsenterprise.com/INOV_DRE/Home) offers open access to legal information and fosters a deeper comprehension of laws and regulations, thereby ensuring transparency in decision-making processes and facilitating accountability by empowering citizens to hold public administrations responsible through enhanced accessibility to legal content; 
Finally, the Open data and statistics regarding criminality indicators https://partilha.justica.gov.pt/Transparencia/Cadernos-Tematicos/Criminalidade is a tool that allows research journalists to delve deeper into, for example, corruption crimes, allowing long-term assessments of the state of anti-corruption efforts with detailed accounts of the number of investigations, convictions and sentences and, thus, substanciate trends in levels of criminality, severity of penalties, rates of case dismissals, duration of investigation and appropriateness of investigative resource allocation. ";;;
I15;"Is the use of open data in your country having an impact on policy-making processes (i.e. are public administrations making use of the data as evidence for the problem identification and policy formulation)? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"Examples are:
1- The platform to support the participatory processes of the public administration (URL: https://participa.gov.pt/base/about). This platform presents current and past participation initiatives and enables citizens and stakeholders to engage in policy discussions actively and thus, by providing a means for collaboration, gathering input, and incorporating diverse perspectives, the platform promotes policy-making processes, including problem identification and policy formulation. 
2- The Competition Authority has implemented an internal procedure for assessing the competitive impact of public policies by analyzing existing legislation and regulation data in selected sectors and proposed pro-competitive changes URL: https://www.compete2020.gov.pt/noticias/detalhe/Proj12272IMPACT2020. The resulting Competition Assessment Project can be accessed in URL: https://www.oecd.org/daf/competition/portugal-competition-assessment-project.htm
3- The More Transparency Portal (URL: https://transparencia.gov.pt/pt/), a barometer of the NextGenerationEU fund application at the national and municipal levels, allowing:
3.1 - citizens to have access to information through a data visualization tool (URL: https://transparencia.gov.pt/pt/fundos-europeus/prr/barometro/ complemented with straightforward channels for downloading the source open data (URL: https://transparencia.gov.pt/pt/fundos-europeus/prr/barometro/ and technical documentation URL: https://transparencia.gov.pt/pt/fundos-europeus/prr/dimensao/resiliencia/) 
3.2 - evaluating how does Portugal compare in the NextGenerationEU fund application to other member states, e.g., URL: https://www.portugal.gov.pt/pt/gc23/comunicacao/noticia?i=portugal-e-dos-paises-mais-avancados-na-execucao-do-prr";;;
I16;"Is the use of open data in your country having an impact on decision-making processes (i.e. are public administrations making use of the data as evidence to be included in their daily operations)?

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"1- The Strategic Global Plan for Rationalization and Cost Reduction in Public Administration (PGETIC) aims at, through Information and Communication Technologies, improving the efficiency of the internal processes of the Public Administration and improve the quality of services provided to Citizens and Companies (URL: https://pgetic.tic.gov.pt/ticgov/pgetic);
2- In the EU project UCD Lab (Grant Agreement - INES / CEF / ICT / A2018 / 1837945, Action 2018 - EU - IA – 0099), in which AMA is a partner, several applications with open data were developed for the efficiency and effectiveness improvement of public services at the municipality level. Predictive model of micro mobility. Besides the predicted commute pattern, the model results will be also useful for micro mobility vehicles operation, improving effectiveness. URL:https://urbandatalab.pt/index.php/component/sppagebuilder/?view=page&id=116";;;
;4.3b Social impact;;;;;;;;
I17;"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.

";yes;"[Response to reviewer]
The following study used a focus group to test what is the impact digital tools, operating with various data sources, including open data, are having on societal chalenges, especially smart cities, and concluded that portuguese parishes will become smarter by the implementation of ongoing innovation accelerators URL: https://run.unl.pt/bitstream/10362/110862/1/Innovation_accelerator_to_make_Portuguese_smarter.pdf";Complement;Yes;"A study on the impact assessment of Open Data,""Projeto Impacto dos Dados Abertos. Casos de Estudo"", was developed by Agência para a Modernização Administrativa (AMA) and DGT participated in this study as coordinator of SNIG, which was one of the study case studies. The study used an approach based on the use of a questionnaire which included the followinga areas; governmental, social, environmental, economical.";;;
I18;"Is the use of open data in your country having an impact on society´s ability to reduce inequality and better include minorities, migrants, and/or refugees? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"The ""Migra Play"" is a platform that dynamically shows the evolution of statistical data on immigrants in Portugal URL: https://www.om.acm.gov.pt/migra-play. It displays in an animated and interactive way data of annual reports on: migrants and their political rights including woman, asilum seekers and religious minorities; the reports and the source data can be downloaded from the main website. ";;;
I19;"Is the use of open data in your country having an impact on issues about housing in urban areas? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"Examples of iniciatives having an impact on the society's level of awareness concerning housing in urban areas:
1- The ""Arrendamento Acessível"" platform uses government's datasets on social housing and house rent support (e.g., https://dados.gov.pt/pt/datasets/edificios-de-habitacao-social-n-o/ https://dados.gov.pt/pt/datasets/candidaturas-a-programas-municipais-de-acesso-a-habitacao-e-de-apoio-ao-arrendamento/) to improve market offer gaps of affordable houses for families with different levels of household income https://www.portaldahabitacao.pt/web/guest/arrendamento-acessivel 
2 - Space for knowledge and information sharing on urban policies and analytical tools for urban development - https://www.forumdascidades.pt/forum; 
3 - Scientific publications on the topic of open address data (https://www.tandfonline.com/doi/full/10.1080/17445647.2022.2114862) facilitate the comparison of census-based estimates of population distribution with more direct evidence. This expedites the reuse of variables, such as the number of buildings and accommodations per person or age group, for conducting comprehensive analyses on housing conditions in the Portuguese territory. There are also scientific publications on the topic of urban infrastructure using open data from Direção Geral do território https://www.sciencedirect.com/science/article/pii/S2352340923006844
4- https://dados.gov.pt/pt/ also has datasets available. These data require some improvement in terms of quantity and quality, an effort which is currently being deployed.";;;
