;4.2 Measuring reuse;;;;;;;;
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";yes;N/A;Change;Yes;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I8-a;Automated feedback mechanisms tracking users´ access to datasets;new question;new question;Change;Yes;The Open Data Unit has a ticketing system that tracks a users request for access to datasets or requests for new datasets to be released. ;;;
I8-b;Surveys;new question;new question;Change;Yes;The Open Data Unit conducted a survey with public bodies in Ireland in relation to complience with the Open Data Directive. In turn, public bodies have completed the survey. ;;;
I8-c;Interviews/workshops with reusers;new question;new question;Change;Yes;Public sector bodies have completed at least the following six workshops in the following areas which is commissioned by the Open Data Unit in Ireland: General Introduction to Open Data, Introduction to the Open Data Directive, Open Data Audits & Data Publication, Introduction to Data Analytics & Visualisation, Data Anonymisation Techniques, and Introduction to Linked Data.;;;
I8-d;Other;new question;new question;Change;Yes;The Courts Service launched its Open Data Portal at data.courts.ie, making court data readily available in a user-friendly format with clear visuals and downloadable datasets. This open access empowers citizens, legal professionals, and researchers to download, analyse, and leverage the data for various purposes, promoting transparency and fostering a deeper understanding of the court system.;;;
I9;"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.";yes;N/A;Change;Yes;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I9-a;Regular feedback sessions with portal users ;new question;new question;Change;Yes;Feedback sessions during our conference and through surveys provide direct communication with our reusers. Through our conferences and webinars, public bodies can learn which datasets are most used and for what purposes, they can also do this through their own portals. This helps them prioritise resources. User feedback through our tracker can reveal issues with search functionalities and can help with improving discoverability or data organisation on the portal. ;;;
I9-b;Social media sentiment analysis ;new question;new question;Change;Yes;Generally, social media sentiment analysis is less likely to be used directly by public bodies for understanding reusers' needs. While it does and can be used to provide a general sense of public perception towards open data, it might not offer specific insights from actual data users.;;;
I9-c;Other;new question;new question;Change;Yes;Some Public sector bodies would monitor which datasets are downloaded, which can indicate a user preferences and areas requiring further promotion. Public sector bodies such as Smart Dublin or Galway County Council are participating in forums and workshops with data scientists, developers, and researchers which are providing valuable insights into emerging needs.;;;
I10;"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen? ";yes;"The open data unit regularly canvasses for open data re-use examples.  This is done through the portal with a call for showcases of open data on the homepage; https://data.gov.ie/showcase
A significant part of the open data research on what would be relevant for the next strategy was an examination of reuse cases and an analysis of what these could tell us about the priorities and needs of our users.";Complement;;"In addition to the answer from 2023, Our engagement fund is also a specific systematic way of gathering reuse cases through the specific categories applied for, application requirements, reporting, and publishing the outcomes:
Category (b): Re-use of Government Open Data: This category directly encourages projects that demonstrate innovative ways to reuse data. Funded projects could involve:
1.	Building apps, dashboards, or new products/services using open data.
2.	Developing visualizations showcasing data usage.
3.	Organizing hackathons to promote open data use in solving real-world problems.

Category (c): Special Category Project: This category supports projects using open data to achieve specific goals, potentially generating valuable reuse cases:
1.	Increasing public service efficiency.
2.	Assisting in government decision-making.
3.	Demonstrating trends in social topics for addressing current issues.

Application Requirements:
The application process helps identify reuse cases by requiring details about the project:
•	(b) and (c) Categories: Applicants must demonstrate how they'll use datasets from the national open data portal (data.gov.ie). This ensures the project focuses on reusing available data.
•	All Categories: Applications need to show ""clear audience benefits/impacts."" This encourages projects with tangible results and potential for wider adoption.
Reporting:
Successful applicants must submit reports:
•	Progress Report: This report might include details on data used and initial findings, potentially revealing early signs of reuse.
•	Final Report: This report should showcase the project's completion and its impact on data reuse. This could involve presenting developed applications, visualisations, or insights gained from data analysis.
Publishing Outcomes:
The Open Data Unit may publish the final reports via the Open Data portal. This allows for wider dissemination of successful reuse cases.
Details of successful applicants and funded projects are published on the Open Data portal, further promoting reuse examples.
By funding projects that directly utilise open data and requiring reporting on their impact, the fund not only encourages reuse but also captures valuable data on how open data is being leveraged for various purposes.
";;;
I11;"Are there any public bodies in your country that have developed a systematic ways of classifying the gathered reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: According to which categories are reuse cases classified (e.g. by policy field)?";yes;"The open data research referenced above classified re use in the following ways;
Whether a respondent was a user, creator, both or facilitator of open data.
The sector in which the data was to be utilised, i.e. Economic, Social, Academic, Political or Civic.
The activities for which open data could be used; to make new data products and services; for organizational optimization; to improve knowledge and capacity building; for research, reports, and presentation; for new business opportunity; for transparency; advocacy.
The type of data of interest; real time, statistical, spatial, historic, relatin to government services";Confirm;;;;;
;4.3 Created impact;;;;;;;;
;4.3a Governmental impact;;;;;;;;
I12;"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.

";No;"The impact on governmental challenges of open data can be seen in the way in which government policy has shifted to take the requirements of open data into account.  In the past 9 months there have been FoI and AIE data requests on governmental compliance with the implementation  the Open Data Directive , derogations sought and work done on the recognition of high value datasets.  This has driven increased transparency in government and provided the impetus for public bodies to improve their data management and publication processes.RESPONSE TO REVIEWER: 
Governmet efficiency is also assessed with open data featured on; https://whereyourmoneygoes.gov.ie/en/ As it compares government spending in different areas and gives a trend for spending on services. 
https://data.gov.ie/impact/health/ This link gives information on hospital waiting times to improve transparency for patients. ";Change;Yes;"Yes, there is data available on the impact of open data on governmental challenges in Ireland.
The impact on governmental challenges of open data can be seen in the way in which government policy has shifted to take the requirements of open data into account.  In the past 9 months there have been FoI and AIE data requests on governmental compliance with the implementation of the Open Data Directive, derogations sought and work done on the recognition of high value datasets.  This has driven increased transparency in government and provided the impetus for public bodies to improve their data management and publication processes. 
Government efficiency is also assessed with open data featured on; https://whereyourmoneygoes.gov.ie/en/ As it compares government spending in different areas and gives a trend for spending on services. 
https://data.gov.ie/impact/health/ This link gives information on hospital waiting times to improve transparency for patients. ""
The Open Data Strategy aims to improve transparency and efficiency of government, potential for business innovation, and a vast array of social and personal benefits: 
https://www.gov.ie/en/policy-information/8587b0-open-data/
The Open Data Initiative addresses issues such as legal and technology constraints that prevent efficient information sharing among public bodies:
https://oecd-opsi.org/innovations/irelands-open-data-initiative/
The Open Data Strategy document mentions potential cost savings and job creation associated with open data initiatives, suggesting economic modelling: 
https://assets.gov.ie/277517/45722fb7-1e1c-414a-830b-fa831388aecf.pdf
Our Open Data showcases also lists a variety of examples that provide data on the impact of Open Data on Government challenges in Ireland:
https://data.gov.ie/showcase
";;;
I13;"Is the use of open data in your country having an impact on the efficiency and effectiveness of the government (at any level) in delivering public services? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"URL to the reuse case: https://whereyourmoneygoes.gov.ie/en/_x000D_
URL to the open dataset used by the reuse case: https://data.gov.ie/dataset/voted-public-expenditure_x000D_
Description of the reuse case and its impact in this sub-domain: _x000D_
This user-friendly platform provides an easy-to-understand interface for exploring government spending. Interactive charts, graphs, and summaries break down complex financial data into accessible formats. Users can delve into various spending sectors and even analyse trends._x000D_
By making spending data accessible, the website empowers citizens to hold the government accountable for resource allocation. They can actively participate in budget discussions and policy decisions based on readily available information. This fosters public trust and allows for informed public discourse on government spending priorities._x000D_
Increased transparency and citizen engagement can lead to identifying inefficiencies in spending. Data-driven insights can inform policy decisions, potentially leading to a more efficient allocation of resources. Ultimately, this can contribute to a more effective delivery of public services across Ireland. _x000D_
A brief explanatory video is available at https://youtu.be/I0K7MY0Pixw_x000D_
";;;
I14;"Is the use of open data in your country having an impact on transparency and accountability of public administrations?

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"""URL to the reuse case: https://www.oceanenergyireland.com/_x000D_
URL to the open dataset used by the reuse case: https://data.gov.ie/showcase/ocean-energy-ireland-portal_x000D_
Description of the reuse case and its impact:_x000D_
Ocean Energy Ireland webpage acts as a central hub for information and resources related to developing Ireland's Marine Renewable Energy (MRE) sector. By centralising information and resources, the webpage makes it easier for the public to understand government efforts in promoting renewable energy. This fosters transparency. It allows the public to potentially scrutinise the information and hold the government accountable for data accuracy and transparency in its renewable energy strategies._x000D_
In addition to the above,_x000D_
The use of open data in Ireland is recognised as playing a significant role in enhancing transparency and accountability of public administrations. The Irish government’s Open Data Strategy highlights open data as central to delivering better public services, providing a rich evidence base for decision-making, and creating inherently transparent systems that contribute to accountable public bodies: _x000D_
https://www.gov.ie/en/press-release/429e1-minister-donohoe-launches-new-open-data-strategy/_x000D_
Additionally, open data supports openness and accountability as part of Ireland’s Open Government Partnership National Action Plan: _x000D_
https://www.gov.ie/en/publication/163db-irelands-fourth-open-government-national-action-plan-2023-2025/_x000D_
""";;;
I15;"Is the use of open data in your country having an impact on policy-making processes (i.e. are public administrations making use of the data as evidence for the problem identification and policy formulation)? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"URL to the reuse case:_x000D_
https://www.gov.ie/pdf/?file=https://assets.gov.ie/255872/e6feb71e-0199-4061-894e-6f8e80bafad1.pdf#page=null_x000D_
URL to the open dataset used by the reuse case:_x000D_
https://data.gov.ie/dataset/public-service-numbers_x000D_
Description of the reuse case and its impact:_x000D_
Open Data falls under pillar 3 of the Better Public Services Strategy: Evidence-Informed Policies and Services Designed for and with our Public. This theme emphasises using data and user feedback to inform policy decisions and service design. Initiatives could involve citizen engagement programs, data-driven analysis to identify service gaps, and co-creation of services with the public. Public administrations are making use of the data as evidence for the problem identification and policy formulation. Open data is having a significant impact on policy-making processes in Ireland. The government has recognised its importance in driving better public services and providing a rich evidence base for decisions. It’s also seen as key to creating transparent and accountable public bodies._x000D_
";;;
I16;"Is the use of open data in your country having an impact on decision-making processes (i.e. are public administrations making use of the data as evidence to be included in their daily operations)?

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"Yes, open data is having an impact on decision-making processes in Ireland, supported by the Open Data Portal. The Irish government has emphasised that open data is central to driving better public services, providing a rich evidence base to inform decisions, and ensuring the creation of effective and inclusive services. It also promotes transparency and accountability in public bodies._x000D_
https://www.gov.ie/en/press-release/429e1-minister-donohoe-launches-new-open-data-strategy/_x000D_
https://data.gov.ie/pages/open-data-strategy-2023-2027_x000D_
https://www.siliconrepublic.com/enterprise/open-data-strategy-ireland-policy_x000D_
This suggests a government-level push for utilising data, potentially including open data, in decision-making. Both the Open Data Strategy 2023-2027 and the Better Public Services Strategy 2030 emphasise data-driven decision making._x000D_
URL to the reuse case: https://marineplan.ie/_x000D_
URL to the open dataset used by the reuse case: https://data.gov.ie/showcase/marine-spatial-planning_x000D_
Description of the reuse case and its impact:_x000D_
This web map portal is a pioneering initiative by the Irish government, acting as a one-stop shop for information on marine spatial planning (MSP) in Ireland.  With key functionalities such as Activities Map, Policies Map, and MSP Hub. It also includes Information on government departments and agencies involved in maritime affairs. The Irish Marine Spatial Planning (MSP) portal can significantly impact public administration decision-making processes related to maritime activities by: Informing Policy and Regulation Development, such as Spatial Activity Overlays. This can inform the development of targeted policies and regulations that consider potential conflicts and ensure balanced use of maritime resources. Policy-Activity Linkages: The Activities and Policies Map allows decision-makers to analyse the effectiveness of existing regulations for specific maritime activities. This can help identify areas where policies need to be adjusted or strengthened. Clear Spatial Information: The portal provides a clear spatial picture of permitted activities within specific areas. This can expedite permit processing by minimising the need for extensive data collection and verification. Identifying Potential Conflicts: By visualising proposed activities alongside existing ones, the portal can help decision-makers identify potential conflicts between different uses of maritime space. This allows for proactive conflict resolution during the permitting stage, saving time and resources. Baseline Data on Existing Activities: The portal serves as a readily accessible source of baseline data on existing maritime activities within a specific area. This data can be crucial for environmental impact assessments (EIAs) associated with proposed projects. Enhanced Transparency: The portal empowers the public to access information on marine activities, policies, and responsible agencies. This fosters transparency and allows for informed public participation in decision-making processes related to maritime spatial planning._x000D_
";;;
;4.3b Social impact;;;;;;;;
I17;"Is any data on the impact created by open data on social challenges (e.g. inequality, healthcare, education) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.

";No;"There is significant data on social challenges in Ireland.  In particular, organisations like Airo in Maynooth University RESPONSE TO REVIEWER: https://www.maynoothuniversity.ie/airo/partnerships-and-services use open data to assess social challenges, represent the groups affected and advocate for better data-driven government decisions.
Organisations like Tusla, the Child and Family Agency has a comprehensive Open Data Portal to allow access to its data on child services, child protection and welfare, family support and domestic violence.  They now have 822 datasets on the open data portal and are one of the most viewed publishers.  https://data.gov.ie/organization/tusla  
Data is increasing recognised as a force for positive social change, a figures on deprivation or lack of social services are more accessible and both journalists and the public become more competant in finding and interpreting source data.
Frequently organisations like Pobal feed directly into both the media and government policy; Frequently organisations like Pobal
";Change;No;"There is significant data on social challenges in Ireland.  In particular, organisations like Airo in Maynooth University RESPONSE TO REVIEWER: https://www.maynoothuniversity.ie/airo/partnerships-and-services use open data to assess social challenges, represent the groups affected and advocate for better data-driven government decisions.
Organisations like Tusla, the Child and Family Agency has a comprehensive Open Data Portal to allow access to its data on child services, child protection and welfare, family support and domestic violence.  They now have 822 datasets on the open data portal and are one of the most viewed publishers.  https://data.gov.ie/organization/tusla  
Data is increasing recognised as a force for positive social change, a figures on deprivation or lack of social services are more accessible and both journalists and the public become more competant in finding and interpreting source data.
Frequently organisations like Pobal feed directly into both the media and government policy;  Organisations like Pobal also publish Deprivation Indices (https://data.gov.ie/dataset/pobal-hp-deprivation-index-scores-2022) which are used by a wide range of organisations to add contect to their own studies.

In addition to this, 
The Open Data on Irish Travellers allow for targeted social services and resource allocation. 
The Open Data on housing can address housing shortages and affordability issues.
The Open Data on health and wellbeing can be used to identify areas with high disease burdens and target preventative healthcare initiatives. 
The Open Data on education can inform policies to improve educational equity and outcomes.";;;
I18;"Is the use of open data in your country having an impact on society´s ability to reduce inequality and better include minorities, migrants, and/or refugees? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;There are examples of the beneficial effect of the use of open data on minorities, migrants, and/or refugees and reducing inequality, for example, Irish Travellers. Multiple data sources are drawn on from the CSO that provides this impact and please see following link to a research report prepared by the Department of Integration: https://www.universityofgalway.ie/media/healthpromotionresearchcentre/hbscdocs/nationalreports/2020---NR---Young-Trevellers-in-Ireland.pdf .;;;
I19;"Is the use of open data in your country having an impact on issues about housing in urban areas? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;There are examples of the beneficial effect of the use of open data on Alleviating housing issues such as the Housing Agency Data Hub. It provides key indicators and insights into the housing market: https://www.housingagency.ie/data-hub/welcome-housing-agencys-data-hub . Also, The Department of Housing, Local Government and Heritage is responsible for overseeing the Local Infrastructure Housing Activation Fund (LIHAF) initiative. LIHAF Story Maps is an interactive web mapping platform that visualises the progress of infrastructure projects funded by LIHAF. This increases public awareness and engagement, transparency and accountability, and improved communication: https://storymaps.arcgis.com/stories/87cc342bff20462bb896087b0ce16215;;;
I20;"Is the use of open data in your country having an impact on the issues of health and wellbeing? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"There are examples of the beneficial effect of the use of open data on Fostering health and wellbeing:_x000D_
The Healthy Ireland Survey 2021 provides insights into the health and wellbeing of people in Ireland during COVID-19 restrictions: https://www.gov.ie/en/publication/9ef45-the-healthy-ireland-survey-2021/._x000D_
The Central Statistics Office has a Social and Wellbeing COVID-19 Information Hub that includes surveys on the social impact of COVID-19: https://www.cso.ie/en/releasesandpublications/ep/p-covid19/covid-19informationhub/socialandwellbeing/ ._x000D_
Understanding Life in Ireland: The Well-being Dashboard 2022 offers a broad overview of life in Ireland, including health and wellbeing indicators: https://assets.gov.ie/226077/8b4c5045-c259-498d-8d03-7feadd128726.pdf._x000D_
The Well-being Information Hub by the Central Statistics Office covers a range of life aspects in Ireland, including health, based on an international framework developed by the OECD: https://www.cso.ie/en/releasesandpublications/hubs/p-wbhub/well-beinginformationhub/._x000D_
The Second Report on Ireland’s Well-being Framework analyses well-being indicators across economic, environmental, social, and democratic areas: https://www.gov.ie/en/press-release/6db7f-publication-of-the-second-report-on-irelands-well-being-framework-and-analysis-of-the-well-being-dashboard/._x000D_
";;;
I21;"Is the use of open data in your country having an impact on the society´s level of education and skills (e.g. data literacy)?

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;There are examples of the beneficial effect of the use of open data on Improving education: The Department of Education and the Central Statistics Office (CSO) in Ireland have statistics demonstrating significant improvements in educational participation, retention, and progression over the last 55 years: https://www.erc.ie/wp-content/uploads/2022/04/Carroll-2022-IJE.pdf;;;
;4.3c Environmental impact;;;;;;;;
