P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Providing free data analysis and visualization tools, on the national open data portal (dados.gov). Through awareness, public events, webinars, workshops, etc. 
The following national policy/strategy foresees these mentioned actions to support the re-use of open data by the public sector:
""Plano de Ação Transversal para a Transformação Digital da AP 2021-2023""  (https://tic.gov.pt/documentos/plano-de-acao-para-a-transformacao-digital-da-ap-2021-2023), which corresponds to the Action Plan for ""Estratégia de Transformação Digital da AP 2021-2023"" (https://tic.gov.pt/estrategias/estrategia-2021-2026), Action 2, Measure 2.1 (in page 6) several measures are presented to support the re-use of open data by the public sector.";Complement;;Also, the National Data Strategy sets out a path to maximize the creation of value in the use of data, including open, personal, non-personal and industrial data, promoting their sharing, accessibility and reuse;;;;;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";no;;Change;Yes;"The National Data Strategy foresees a reinforced collaboration and cooperation between the public, private, third sector, academia and research centers
research, through the creation of collaborative networks to share resources, knowledge and experiences. This cooperation should also promote the development of data-based solutions that consider data quality, privacy and security, integrity and transparency
Also, the national open government partnerships include 1) government entities, 2) academia, and 3) business associations and civil society. One of the 4 pillars of its first Open Administration National Action Plan (URL: https://ogp.eportugal.gov.pt/monitorizacao) is precisely open data. OGP Portugal aims to guarantee concrete commitments from governments to promote transparency, encourage public participation, fight corruption, and use new technologies to strengthen participatory democracy - https://ogp.eportugal.gov.pt/inicio. 
In December of 2022, following the pillars of the second Open Administration National Action Plan 2022 (URL: https://ogp.eportugal.gov.pt/ii-panaa), AMA launched the Mosaico platform (URL: https://mosaico.gov.pt/), which promotes universal access to information between the state and the citizen. The third Open Administration National Action Plan (2024-27) is now underway (URL: https://ogp.eportugal.gov.pt/iii-panna)
Besides OGP, other examples are: 
1) Arquivo.pt, which promotes an annual contest for innovative works based on open data (preserved by Arquivo.pt). Arquivo.pt is developed by the Scientific Computing Unit of FCT - Foundation for Science and Technology - https://sobre.arquivo.pt/pt/colabore/premios-arquivo-pt/premio-arquivo-pt-2024/. 
2) The Urban Co-Creation Data Lab project aims to support decision-making at the city level regarding high-quality services for citizens. The project is a collaboration between the Portuguese government (AMA) and NOVA IMS University. The project supports new planning and management approaches with new tools to evaluate the impact and predict various service demands (URL: https://www.urbandatalab.pt/). 
3) The DSPA represents the Data Science sector and promotes data science in Portugal and internationally. The association also promotes regulation, ethics, and security in the field of data science. It shares experiences, innovations, case-studies, and success stories and promotes innovation and entrepreneurship of Portuguese companies (URL: https://dspa.pt/)";;;;;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"[Response to reviewer]
Correction: The provided answer was a mistake, we keep last year's reply.
By the Law No. 68/2021, entities must make available, on their website, updated lists of documents and data available for reuse; inventories must be made available, with accessible related metadata, and a multilingual search of documents and data must be possible.

";Complement;Yes;"By the Law No. 68/2021, entities must make available, on their website, updated lists of documents and data available for reuse; inventories must be made available, with accessible related metadata, and a multilingual search of documents and data must be possible.";;;;;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;"In their inventories, entities must describe which datasets cannot be opened and for what reason. Example: Referred to in the catalogs as ""Com Restrições"" (i.e. Not Open Data). URL: https://snig.dgterritorio.gov.pt/rndg/srv/eng/catalog.search#/search?fast=index";Confirm;;;;;;;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Yes;"AMA, the entity that manages the national open data portal, dados.gov, in line with law No. 68/2021, has an ongoing project in which one of its main objectives is to implement a framework to monitor the level of re-use of high-value datasets, in coordination with measures to catalogue and promote the re-use of high-value datasets. A monitoring dashboard on the open data portal is being finalized and is expected to be operational soon.  A special group/contact point was created within the scope of CTIC 2021-2023-2026 governance, responsible for the high-value datasets/re-use in the respective governance area. An example of such collaboration was the following workshop for all the public administration centred on HVD's publication requisites and socioeconomic impacts (URL: https://dados.gov.pt/pt/posts/a-ama-e-o-ctic-promoveram-o-workshop-conjuntos-de-dados-de-elevado-valor-dados-abertos-na-administracao-publica-1/). 

#Reply following the questions from the research team:
We have previously classified 'N/A' in 'adressing legal barriers' as in our interpretation, there are no legal barriers in disclosing the statistical or geospatial HVD datasets, since they consist of information that is already publicly disclosed by INE (statistics office).
However, in view of the interpretation sent by the research team, with the respective score assignment, and since this item does not currently constitute a barrier, we change our answer to 5. 

The Portuguese Institute of the Sea and Atmosphere (IPMA), is in the process of reviewing data policy, including what are considered high-data values. However, currently IPMA provides through its API (api.ipma.com) a very high amount of data entering into this category, such as data from our network of surface stations, climate data or forecast data. For this reason, the assignment of value 4 in some of the cells would be the most correct classification. Corrections have been made as well.";;;;;;
;Categories of high-value datasets;Answers  2024;;Degree of progress (from 1 to 5);;;;;;;;
;;Organisational progress;Legal progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Publication of high-value datasets as bulk download, where relevant;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;;;;
P11-a;Geospatial;4;5;4;5;4;5;5;;;;
P11-b;Earth observation and environment;4;3;4;3;2;3;4;;;;
P11-c;Meteorological;3;2;3;4;4;4;4;In 2024, IPMA is making a review of data policy, including what are considered high-data values. However, many open data are available through IPMA's API (api.ipma.pt);;;x
P11-d;Statistics;5;5;4;5;5;5;5;;;;x
P11-e;Companies and company ownership;1;1;2;1;1;1;1;;;;
P11-f;Mobility;4;3;4;3;2;3;3;;;;
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;AMA, the entity that manages the national open data portal, dados.gov, in line with law No. 68/2021, has an ongoing project in which one of its main objectives is to implement a framework to monitor the level of re-use of high-value datasets, in coordination with measures to catalogue and promote the re-use of high-value datasets. A monitoring dashboard on the open data portal is being finalized and is expected to be operational in soon.  A special group/contact point was created within the scope of CTIC 2021-2023-2026 governance, responsible for the high-value datasets/re-use in the respective governance area. An example of such collaboration was the following workshop for all the public administration centred on HVD's publication requisites and socioeconomic impacts (URL: https://dados.gov.pt/pt/posts/a-ama-e-o-ctic-promoveram-o-workshop-conjuntos-de-dados-de-elevado-valor-dados-abertos-na-administracao-publica-1/). ;;;;;;
;1.2 Governance of open data;;;;;;;;;;;
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;Yes;"The National Data Strategy has a strategic pillar for “Governance” which is materialized in a set of three strategic actions 1) the establishment of solid guidelines for the ethical and efficient management of data, promoting their reliability and security throughout their life cycle; 2)effective collaboration between stakeholders, encouraging the exchange of data and resources in a mutually beneficial way to drive innovation and value creation; 3)continuous monitoring and monitoring of the progress of data-related actions, using models to assess the impact that the initiatives proposed in the strategy have on society and the economy.
Also, the Agency for Administrative Modernization (AMA) is mandated to establish and maintain the national open data portal dados.pt. This also include conducting broader consultations with various stakeholders from the government, private sector, civil society, academia and other experts in designing and implementing national policies and strategies related to  open data.";;;;;;
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";hybrid;A national top-down strategy has not yet been formalized by the central government. Regarding local government, initiatives are developed in a bottom-up logic. Other central entities are free to pursue their own initiatives but generally coordinate voluntarily with AMA, through dados.gov;Complement;;Refering question P2, with the adoption of the National Data Strategy a governance model will be adopted for the PA.;;;;;;
P15;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";new question;new question;Change;Yes;"dados.gov.pt is the Portuguese Public Administration’s open data portal. Its function is to aggregate, reference and host open data from different bodies and sectors of Public Administration, constituting the central catalog of open data in Portugal. In addition to functioning as a shared data hosting and publishing service, which can be used by any public body, it also functions as an indexing portal for content hosted on other open data portals/catalogs, whether sectoral (e.g. Health, Justice, Environment ) or local (e.g. Lisbon City Council, Águeda City Council). It also promotes cases of reuse that use public shared data, and provides varied information on the movement of open data, publication and reuse of data, among others.
Example 1: Lisbon City Council (Lisboa Aberta, URL: https://lisboaaberta.cm-lisboa.pt/index.php/pt/dados/estrategia-de-dados-abertos). Example 2: Porto City Council (URL:https://www.portodigital.pt/wp-content/uploads/2021/03/Plano-de-Gestão-e-Valorização-de-Dados-do-Município-do-Porto-_VFinal.pdf); etc.";;;;;;
P16;"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.";few public bodies;;Confirm;Few public bodies;"Under the scope of the new Smart Territories National Strategy, in May a notice was launched for municipalities and inter-municipal entities to access financing for the acquisition of vertical platforms (for the intelligent management of activities such as public lighting, solid waste, irrigation, traffic, etc.); https://www.ama.gov.pt/documents/24077/320185/ENTI_RCM_V2_atualizado.pdf/634a2167-0e64-48e5-9ddc-ef1fd3fc0ca8";;;;;;
P17;"Is a document describing the responsibilities and governance structure of the national (and/or regional/local) open data team publicly available?

For Explanation:
* If yes, please provide the URL where this information is published. ";no;;Change;Yes;Under the scope of the new Smart Territories National Strategy, governance model that is based on four levels of coordination – general, strategic, territorial, and technical support and monitoring – and an advisory body, called an advisory council.https://www.ama.gov.pt/documents/24077/320185/ENTI_RCM_V2_atualizado.pdf/634a2167-0e64-48e5-9ddc-ef1fd3fc0ca8;;;;;;
P18;"Is there a regular exchange of knowledge or experiences between the national open data team and the team maintaining the national portal? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;"The National open data team manages the national open data portal, dados.gov.pt. This teams works at AMA - Administrative Modernization Agency (https://www.ama.gov.pt/web/english/competences), now under the department ""Centro de Competências Digitais da Administração Pública (TicAPP) "". You can consult the organization's organogram in the link https://www.ama.gov.pt/documents/24077/27653/Organograma_AMA_Site_20230201.pdf/2fce90b5-c7a3-4f00-a1d7-e860f8c95ec8 . That organogram is high level and shows the data and interoperability team, in which the open data team is parf of.
In document ""Plano de Ação Transversal para a Transformação Digital da AP 2021-2023""  (https://tic.gov.pt/documentos/plano-de-acao-para-a-transformacao-digital-da-ap-2021-2023), page 6, Action 2, is patent the AMA's role as the main responsble for the Action coordination. In the national open data portal, dados.gov (https://dados.gov.pt/pt/contact/), you can check in the footnote that AMA is the site's manager.";Confirm;;;;;;;;
