P21;"Is there a regular exchange of knowledge or experiences between public sector bodies (i.e. the providers) and open data reusers (e.g. academia, citizens, businesses)?

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;Open Data Beer, for example last november organized by OGD Office and Liip AG: https://opendatabeer.ch/impressionen/open-data-beer-nr-20-29-11-2022/;Complement;Yes;"Opendata.ch/Forum: https://opendata.ch/de/events/opendata-ch-2024-forum/
Open Data Beer: https://opendatabeer.ch/
Linked Data Meetup: https://www.bfh.ch/de/aktuell/fachveranstaltungen/linked-data-meetup-1-24/
Hackathons: https://www.bk.admin.ch/bk/en/home/digitale-transformation-ikt-lenkung/bundesarchitektur/api-architektur-bund/govtech-hackathon24.html
";;;;;;
;1.3 Open data implementation;;;;;;;;;;;
P22;"Do data publication plans exist at public body level?

For Explanation:
* If yes, please provide the URL and briefly highlight the key aspects covered. ";yes;"There are overarching initiatives and handbooks and many organizations are better defining their internal process. Geodata is particularly well managed. https://www.geo.admin.ch/en/base-geodata and for geometadata: https://www.geocat.admin.ch/en/documentation/application.html
On cantonal level: guidelines from canton zurich: https://www.zh.ch/de/politik-staat/opendata/leitlinien.html";Confirm;;;;;;;;
P23;"Are there processes to ensure that the open data policies/strategy previously mentioned are implemented (e.g. monitoring)?

For Explanation:
* If yes, please specify the process(es).";yes;"Monitoring and ""Controlling"" are generally an important task of the open government data office. The OGD office is obligated to deliver a yearly progress report to the government.";Complement;Yes;"OGD-Masterplan 2024 - 2027 p. 13 chapter 5: In cooperation with the various stakeholders, the OGD office coordinates the evaluation of the implementation of operational informal consultations to evaluate the implementation of the operational objectives (section 5). It monitors the status of implementation of the action plan and prepares information for the management level in order to facilitate decision-making 
with a view to updating this master plan. The evaluation takes the following dimensions into account into account:
- Evaluation of the implementation of the operational objectives: Overview of the status of implementation of the measures using the indicators proposed in Chapter 6;
- Evaluation of the OGD offering: status of the OGD offering in comparison with the objectives set (including FSO performance indicators);
- Monitoring the implementation of OGD at cantonal level;
- International comparison: Switzerland in international comparison in the OGD area";;;;;;
P24;"Do you update your policy/strategy as appropriate to ensure its success, such as based on data collected for monitoring?

For explanation:
* If yes, please describe the process and any recent updates made to strategy/policy";new question;new question;Change;Yes;"Yes, the master plan OGD (2024-2027) is based on the results of a user survey. At the same time, workshops were held with participants from the federal government, cantons and municipalities, academia and civil society. In order to define the master plan according to the different needs of the participants, within the framework of the EMBAG regulations. The previous strategy (2019-2023) was also evaluated and its results taken into account: https://www.efk.admin.ch/en/audit/implementation-of-key-recommendations-general-secretariat-of-the-federal-department-of-home-affairs-and-federal-statistical-office/. 

The master plan is updated every 4 years, corresponding to the duration of the legislature. The new proposal is submitted to the Federal Council, which decides the measures to be taken in the OGD field.";;;;;;
P25;"Are there any processes in place to assess if public sector bodies are charging for data above marginal cost? (please see directive (EU) 2019/1024 on open data and the reuse of public sector information).

For Explanation:
* If yes, please specify the process(es).";I don't know;;Change;No;;;;;;;
P26-a;"What are the top 3 challenges that your country is facing in the implementation of the mentioned open data policies/strategy?

For Explanation:
* Please briefly describe.";N/A;"1) Missing clear legal base for OGD publications
2) Lack of understanding from the federal offices (both at the management level and the base, even if there are of course many good exceptions) about the importance of OGD
3) somewhat a lack of gouvernance in data management";Change;N/A;"1) Lack of understanding of the importance of OGD by some federal agencies (both at the management level and at the grassroots level, although there are many good exceptions).
2) A certain lack of governance in data management also because of federalism. Should be resolved with EMBAG and the NaDB program.
3) Lack of financial and human resources
";;;;;;
P26-b;"Are there activities in place to address these challenges in your country (e.g. with specific national/regional/local plans or initiatives)?

For Explanation:
* If yes, please briefly describe the measures that you have adopted or plan to adopt to address these challenges. 
* If no, please specifiy what is hampering finding a strategic approach to solve these challenges.";yes;"OGD will be anchored in a federal law as of 01.01.2024: https://www.parlament.ch/en/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20220022; Awareness is growing thanks to multiple initiatives both internal (more and better publications) and from the user side (interesting and innovative use of OGD awakens the interest of federal bodies to publish). Implementation (fourth realisation in August 2023) of the Data Management and Open Government Data training module: https://www.bfh.ch/de/aktuell/fachveranstaltungen/weiterbildung-data-management-und-open-government-data-2023/
The national data management programme puts in place a governance model for data management at national level: https://www.bfs.admin.ch/bfs/en/home/nadb/nadb.html";Complement;Yes;"""-LMETA: https://www.fedlex.admin.ch/eli/cc/2023/682/fr#art_10 
-Masterplan OGD 2024-27 : https://www.bfs.admin.ch/bfs/en/home/services/ogd/masterplan.html
-National data management program (NaDB) : https://www.bfs.admin.ch/bfs/en/home/nadb/nadb.html 
-various other programs""";;;;;;
P27;"Are there any activities in place to assist data holders with publishing their data as open data (i.e. to help them with the data opening process)?

For Explanation:
* If yes, please describe/provide examples of these activities.";new question;new question;Change;Yes;"The OGD Office
 - Supporting administrative units and data providers in referencing open datasets on opendata.swiss
- Promotion of (OGD) data competence through theoretical and practical training in the management of (meta)data within and outside the federal administration.
URL: https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/ogd/geschaeftsstelle.html
Handbook: https://handbook.opendata.swiss/fr/";;;;;;
P28;"Is there a professional development or training plan for civil servants working with data in your country? 

For Explanation:
* If yes, please briefly describe these training activities.";yes;"There are different activites in place. In particular we organise an official course on the topic ""open data & data management""";Complement;Yes;https://www.bfh.ch/de/aktuell/fachveranstaltungen/weiterbildung-data-management-open-government-data/;;;;;;
P29;"Are there annually held national, regional or local events (e.g. hackathons, courses, conferences, users meet-ups, summer/winter schools) to promote open data and open data literacy in your country beyond the target group of public servants? 
 
For Explanation:
* If yes, please provide examples (e.g. title, date, location of the event and URL).";yes, >9;https://opendata.ch/events, opendatabeer.ch, ;Complement;Yes, >9;"Hackathons: https://opendata.ch/projects/hackathons/ ; https://www.bk.admin.ch/bk/en/home/digitale-transformation-ikt-lenkung/bundesarchitektur/api-architektur-bund/govtech-hackathon24.html
Lecture: https://www.digitale-nachhaltigkeit.unibe.ch/studium/open_data_veranstaltung/fruehjahrssemester_2024/index_ger.html
";;;;;;
