;4.2 Measuring reuse;;;;;;;;
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";yes;N/A;Confirm;Yes;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I8-a;Automated feedback mechanisms tracking users´ access to datasets;new question;new question;Change;Yes;"Most open data portals have analytics mechanisms in place. In the case of datos.gob.es,automated tracking of user access to datasets is performed at several levels:
1.- Capture: quantitative data on users accessing the portal are analysed and interpreted, as well as the user's channel of origin, and the different segmentations by geographical location, devices used and the flows of pages accessed.
In addition, the queries made by the user to access the portal via search engines are analysed. The tools used are GA4 and Google Search Console. This analysis seeks to identify quantitative data patterns, most-consumed content and trends.
2.- Interaction: User interactions within the dataset are analysed. In order to know user interactions, interaction elements have been configured in the tag manager tool that transfers the data to the analytics tool. The configured elements provide us with information on user actions, the most consumed formats, interaction times and conversions.
3.- Qualitative data: Qualitative tools such as Hotjar or Clarity are used to automate the collection of data on user behaviour within a page. Data on scrolling, clicks and heat maps are also extracted for each page. Analysis of this data allows modifications to be made to optimise the user experience.
4.- Visualisation: the above points are transferred to an automated visualisation tool integrated with the above tools, which provides real-time data capture and interaction data, facilitating the understanding of the data. 
See information here:
•	https://datos.gob.es/sites/default/files/datosgobes/evidencia_1/evidencia_1.1.png
•	https://datos.gob.es/sites/default/files/datosgobes/evidencia_3/evidencia_3_alternativa.png
";;;
I8-b;Surveys;new question;new question;Change;Yes;"Datos.gob.es carries out an annual survey asking various public bodies how they measure and use open data: https://datos.gob.es/es/evaluacion-del-ecosistema-de-los-datos-publicos-reutilizables-en-espana-2024
The results of this survey allow to identify activities that have been developed to understand which open datasets have been reused and in what way. Most municipalities, for example, have reused open datasets from the National Statistics Institute (https://www.ine.es/dynt3/inebase/es/index.htm?padre=1402&amp;capsel=3909) or the Cadastre (https://www.sedecatastro.gob.es/Accesos/SECAccDescargaDatos.aspx) to improve the quality of citizen services and improve decision-making. Viladecans City Council (Barcelona), for example, has also used open datasets from the 'Portal de Dades Obertes de Catalunya' (https://analisi.transparenciacatalunya.cat/es/) to measure SDG compliance, create more environmentally friendly cities and even create new business opportunities.

On the other hand, within the framework of the III National Open Data Meeting, a self-assessment was developed that allows to know the level of impact that open data has on an organisation: https://docs.google.com/forms/d/e/1FAIpQLSeYilceLbdeKl21rW5T-otxqix5rgBb_CghbrCu8cwZFI1deg/viewform";;;
I8-c;Interviews/workshops with reusers;new question;new question;Change;Yes;"Over the past year, physical and virtual meetings have been held with open data re-users to find out which datasets they are most interested in, how they re-use them and identify possible needs and strategies for improvement in publishing.

Open Data Barcelona Initiative held a workshop for re-users to identify the 50 most important open data sets with social purpose on its portal (https://www.iniciativabarcelonaopendata.cat/es/ranking-50datasets-sociales/). This collaborative action that spread on social networks through the hashtag #50Datasets has resulted in a public and open repository of data, this resource aims to encourage the reuse of open data by facilitating its location: https://docs.google.com/spreadsheets/d/1hhIZTHLREWTvaBVfx2GmH4tT829Phs-MY7qGsFEVyvU/edit#gid=379167220";;;
I8-d;Other;new question;new question;Change;Yes;On the other hand, there are also data competitions that serve to establish partnerships between open data portals and re-users. An example of this is the Open Data Competition of Castilla y León, which this year celebrated its seventh edition: https://datosabiertos.jcyl.es/web/es/concurso-datos-abiertos/concurso-datos-abiertos.html;;;
I9;"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.";Yes;N/A;Confirm;Yes;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I9-a;Regular feedback sessions with portal users ;new question;new question;Change;Yes;From datos.gob.es, feedback meetings have been held with research groups that use open data to develop their work. The aim of these meetings was to learn about the current uses that these reuse communities make of open data and to identify any needs they may have. In addition, all requests from users of the portal, whether via social networks, email or telephone, are dealt with.;;;
I9-b;Social media sentiment analysis ;new question;new question;Change;Yes;To analyse user sentiment, information is collected from social media variables such as mentions, comments, shares and likes. Such interactions help to understand how users feel about open data reuse utilities and publications. The information is collected, on the one hand, automatically through the Metricool tool that integrates all the sentiment variables of each social network. On the other hand, a manual analysis is carried out by classifying mentions and comments by category for further analysis.;;;
I9-c;Other;new question;new question;Change;Yes;"Some agencies organised workshops on data mining and visualisation with re-users to understand their needs and seek solutions to boost the re-use of open data. One example is the meeting of the Open Data and Transparency Observatory of the Polytechnic University of Valencia:
https://www.youtube.com/watch?v=JxgmJr91yKo";;;
I10;"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen? ";yes;"The various state, regional, and local open data initiatives have implemented improvements in their strategies for collecting cases of reuse. 

The different state, regional, and local open data initiatives carry out various mechanisms to collect cases of reuse: 

Tracking of applications and companies: through observation and active search actions, as well as the availability of forms for companies or applications that wish to register their information. 

Quantitative analysis: using web analysis tools or conducting periodic surveys and studies. 

Participation in data communities: to stay informed of developments in the field of reuse and exchange knowledge and experiences that allow aligning the data publication strategy with the needs of reusers. 

As a result of these efforts, many initiatives display a gallery of examples of applications made with the open data they publish on their websites. These sections serve as a reference and inspiration for the creation of new value-added services. Some examples are: 
- Junta de Aragón: https://opendata.aragon.es/informacion/aplicaciones-hechas-con-datos-abiertos-en-aragon-open-data 
- Junta de Andalucía: https://www.juntadeandalucia.es/datosabiertos/portal/aplicaciones/buscador-apps 
- Govern Illes Balears: https://www.caib.es/sites/opendatacaib/ca/casos_de_re/ 
- Ayuntamiento de Barcelona: https://opendata-ajuntament.barcelona.cat/es/aplicacions 
- Ayuntamiento de Cáceres: http://opendata.ayto-caceres.es/aplicaciones 
- Junta de Castilla y León: https://datosabiertos.jcyl.es/web/es/aplicaciones.html 
- Gobierno de Euskadi: https://www.opendata.euskadi.eus/ideas-ejemplos/ 
- Ayuntamiento de Madrid: https://datos.madrid.es/portal/site/egob/menuitem.400a817358ce98c34e937436a8a409a0/?page=3&vgnextoid=994612b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default&vgnextchannel=994612b9ace9f310VgnVCM100000171f5a0aRCRD 
- Ayuntamiento de Málaga: https://datosabiertos.malaga.eu/aplicaciones 
- Ayuntamiento de Santander: http://datos.santander.es/applications/ 
- Concello de Vigo: https://datos.vigo.org/es/aplicaciones-visualizadores/ 

In addition to these repositories of use cases, as mentioned in question 30, the datos.gob.es platform has two catalogs that reference and detail examples of reuse. One of them, aimed at collecting applications, includes 425 examples. The second, referring to companies, documents in detail 87 companies that develop solutions based on these. 
- Applications: https://datos.gob.es/en/aplicaciones 
- Companies: https://datos.gob.es/en/casos-exito 

";Complement;Yes;"The identification of use cases is a continuous activity over time. Over the last year, the number of applications, services and business models that use open data has continued to grow and as such has been reflected in the repositories of applications and companies reusing data.gob.es:
•	Companies: 452
•	Aplicaciones: 90
All this is the result of continuous work in:
•	Quantitative analysis, visits to datos.gob.es datasets have grown by 48% over the last year.
In addition, public bodies together with universities have developed a systematic methodology to identify and classify use cases of open data reuse:
https://encuentrosdatosabiertos.es/wp-content/uploads/2024/05/Reto-3-%E2%80%93-Metodologias-para-medir-el-impacto-del-dato.pdf";;;
I11;"Are there any public bodies in your country that have developed a systematic ways of classifying the gathered reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: According to which categories are reuse cases classified (e.g. by policy field)?";yes;"The classification of use cases, as with datasets, is based on different criteria. In the case of the national platform, datos.gob.es, which brings together a large part of the applications published by other data portals, different criteria are followed. These are: 

- Categories/themes related to the documented solution. These categories are included in the Technical Interoperability Standard for Information Resource Reuse, which establishes the reference for the categories of datasets collected: https://datos.gob.es/sites/default/files/doc/file/boe-a-2013-2380.pdf 

- Platform for which the solution is developed 

- Publication date 

- Aspects covered by the application (tags) ";Complement;Yes;"Over the last year, the national catalogue of open data has been enriched following the classification of the TSI (Technical Standard for Interoperability).

At the regional level, many portals have developed strategies to classify use cases according to sectors as determined by NTI. Examples include the Andalusian open data portal (https://www.juntadeandalucia.es/datosabiertos/portal/) or the Canary Islands open data portal (https://datos.canarias.es/portal/impacto/aplicaciones/).

But the main progress we have identified this year has been at the local level, many city councils have started to identify and classify use cases of open data at the political level, as in Bilbao (https://www.bilbao.eus/opendata/es/aplicaciones) or the City Council of Malaga, which this year has opted for open data(https://datosabiertos.malaga.eu/).";;;
;4.3 Created impact;;;;;;;;
;4.3a Governmental impact;;;;;;;;
