;4.2 Measuring reuse;;;;;;;;
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";yes;N/A;Change;Yes;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I8-a;Automated feedback mechanisms tracking users´ access to datasets;new question;new question;Change;Yes;"In 2023, the data.gouv.fr team conducted an extensive survey on the impact of open data.

This survey is based on the French methodology for impact measurement and is inspired by European work, particularly the ""Indicators for an Open Data Impact Assessment.""

The study outlines the outputs, outcomes, and impacts for the four dimensions of impact (governmental, environmental, social, economic).

Regarding the outputs, a selection of indicators among those identified by the Commission were selected, including:
- Number of datasets on the theme
- Number of new datasets on the theme in 2023
- Number of views on these datasets in 2023
- Downloads of these datasets in 2023
- Number of discussions
- Number of reuses on the theme
- Number of new reuses on the theme in 2023
- Reuses by type
- Number of views on the reuses in 2023
- Discussions on the reuses

Regarding the outcomes and impacts, the use cases examined were selected from three main sources:
- The reuse catalog of the data.gouv.fr platform;
- The catalog of digital public services developed within beta.gouv.fr;
- The catalog of research publications on scanr.

And according to three criteria:
- High potential impact;
- Availability of resources and information;
- A balanced distribution in the four impact categories defined by the Open Data Maturity Report.

For each use case, a literature search was conducted and interviews were sometimes conducted with their designers to document the services, the data used, and the impacts created.

The results of this study will be published in 2024 in the form of six articles on data.gouv.fr and consolidated into a more comprehensive paper.

This is not the only study; we can notably mention the work of OpenDataFrance (DataImpact: new edition of the study on the reuse cases of environmental data - Open data france https://opendatafrance.fr/dataimpact-publication/) as well as the book by Dr. in Sociology Samuel Goëta “Les données de la démocratie: open data, pouvoirs et contre-pouvoirs” (https://cfeditions.com/donnees-democratie/) which provides a critical assessment of the impact of open data.";;;
I8-b;Surveys;new question;new question;Change;Yes;See previous answer;;;
I8-c;Interviews/workshops with reusers;new question;new question;Change;Yes;See previous answer;;;
I8-d;Other;new question;new question;Change;Yes;See previous answer;;;
I9;"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.";yes;N/A;Change;Yes;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I9-a;Regular feedback sessions with portal users ;new question;new question;Change;Yes;We have a pool of beta testers, carry out regular test and interview and organize public meetup every 3-6 month;;;
I9-b;Social media sentiment analysis ;new question;new question;Change;Yes;Social media (Twitter, Linkedin, Mastodon) are in center of our editorial strategy we track engagements and reactions and establish KPI;;;
I9-c;Other;new question;new question;Change;Yes;We developed our own impact indicators acording to our goals : https://www.data.gouv.fr/fr/datasets/indicateurs-dimpact-de-data-gouv-fr/;;;
I10;"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen? ";yes;"The national open data portal data.gouv.fr allows anyone to publish reuses linked to datasets on the portal ([https://www.data.gouv.fr/fr/pages/onboarding/reutilisateurs/#referencer)](https://www.data.gouv.fr/fr/pages/onboarding/reutilisateurs/#referencer)) and the team behind the platform does its best to give incentives for them to do so, as a way to systematically gather re-use cases in one consolidated catalogue. To this day, more than 3000 reuses have been published on the portal and we are working on engaging more reusers to publish their projects, for example with a custom user flow : [https://www.data.gouv.fr/fr/pages/onboarding/reutilisateurs/](https://www.data.gouv.fr/fr/pages/onboarding/reutilisateurs/)

On some thematics, there are more restrictive licence where we track reuse more systematically (i.e. mobility data  : [https://doc.transport.data.gouv.fr/reutilisateurs/utilisation-par-les-reutilisateurs-de-donnees](https://doc.transport.data.gouv.fr/reutilisateurs/utilisation-par-les-reutilisateurs-de-donnees))

From April 18th 2023 to May 15th 2023, OpenDataFrance has launched a national survey to identify open data reuses deployed by local authorities : [https://www.opendatafrance.net/2023/04/12/data-impact-identifions-ensemble-les-cas-dusages-territoriaux-de-donnees/](https://www.opendatafrance.net/2023/04/12/data-impact-identifions-ensemble-les-cas-dusages-territoriaux-de-donnees/).";Confirm;;;;;
I11;"Are there any public bodies in your country that have developed a systematic ways of classifying the gathered reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: According to which categories are reuse cases classified (e.g. by policy field)?";yes;"The catalogue of +3000 reuses available on the open data portal data.gouv.fr has been and is now classified according to a taxonomy inspired by other national open data portals’ classifications and by Wikipedia ([https://www.data.gouv.fr/fr/reuses/)](https://www.data.gouv.fr/fr/reuses/))  :

- Health
- Mobility and transportation
- Urban planning and housing
- Food and agriculture
- Culture and leisure
- Economy and businesses
- Environment and energy
- Employment and training
- Politics and public life
- Security
- Education and research
- Society and demography
- Law and justice
- Open data tools";Confirm;;;;;
;4.3 Created impact;;;;;;;;
;4.3a Governmental impact;;;;;;;;
I12;"Is any data on the impact created by open data on governmental challenges (e.g. efficiency, effectiveness, transparency, decision-making capacity) available in your country such as from research studies, impact assessments, or other systematic investigations that quantify the results or broader effects of open data being reused?

For Explanation:
* If yes, please (1) specify what kind of data source proves this impact and (2) provide the URLs to this data.

";yes;"In 2022, Etalab has conducted a thorough study to measure the impact of open data in France. In this study, we carried out the methodology described in question 34 of this questionnaire : we combined quantitative and qualitative approaches by both analysing data.gouv.fr metrics and interviewing with data producers and reusers. Impactful use cases on different impact areas have been identified, reviewed and researched, among which governmental impact. Data on the impact created by open data on governmental challenges is available in this working paper (p.29-30 ; p.40) : : [https://www.data.gouv.fr/fr/datasets/r/a61e1fcc-cd61-46bd-a6c5-af94cb9f8459](https://www.data.gouv.fr/fr/datasets/r/a61e1fcc-cd61-46bd-a6c5-af94cb9f8459).

The FING has also led an impact study on open data. Impact created by open data on governmental challenges is analysed here (from p.18 to p.25) : [https://fing.org/wp-content/uploads/2020/02/Open-Data-impact-bilan-2010-2018-de-l-open-data.pdf#page=18](https://fing.org/wp-content/uploads/2020/02/Open-Data-impact-bilan-2010-2018-de-l-open-data.pdf#page=18).";Complement;Yes;"In 2023, the data.gouv.fr team conducted an extensive survey on the impact of open data.

This survey is based on the French methodology for impact measurement and is inspired by European work, particularly the ""Indicators for an Open Data Impact Assessment.""

The study outlines the outputs, outcomes, and impacts for the four dimensions of impact (governmental, environmental, social, economic).

Regarding the outputs, a selection of indicators among those identified by the Commission were selected, including:
- Number of datasets on the theme
- Number of new datasets on the theme in 2023
- Number of views on these datasets in 2023
- Downloads of these datasets in 2023
- Number of discussions
- Number of reuses on the theme
- Number of new reuses on the theme in 2023
- Reuses by type
- Number of views on the reuses in 2023
- Discussions on the reuses

Regarding the outcomes and impacts, the use cases examined were selected from three main sources:
- The reuse catalog of the data.gouv.fr platform;
- The catalog of digital public services developed within beta.gouv.fr;
- The catalog of research publications on scanr.

And according to three criteria:
- High potential impact;
- Availability of resources and information;
- A balanced distribution in the four impact categories defined by the Open Data Maturity Report.

For each use case, a literature search was conducted and interviews were sometimes conducted with their designers to document the services, the data used, and the impacts created.

The results of this study will be published in 2024 in the form of six articles on data.gouv.fr and consolidated into a more comprehensive paper.

This is not the only study; we can notably mention the work of OpenDataFrance (DataImpact: new edition of the study on the reuse cases of environmental data - Open data france https://opendatafrance.fr/dataimpact-publication/) as well as the book by Dr. in Sociology Samuel Goëta “Les données de la démocratie: open data, pouvoirs et contre-pouvoirs” (https://cfeditions.com/donnees-democratie/) which provides a critical assessment of the impact of open data.";;;
I13;"Is the use of open data in your country having an impact on the efficiency and effectiveness of the government (at any level) in delivering public services? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"We focused on two applications that converge towards more effective and efficient public action:

Zero Vacant Housing

Developed by the Ministry of Ecological Transition, Zero Vacant Housing (ZLV) is a tool that helps local authorities identify vacant housing in their territories and then mobilize owners to put these properties back on the market. It was built using the National Buildings Database and the National Condominium Registration Registry. Since its launch, ZLV has facilitated the return of vacant housing to the market with:

- 7,605 housing units that are in the process of being vacated or have already been reoccupied;
- 7,570 municipalities using the solution, with 27,655 updates to files already carried out.

This return to the market helps create an affordable housing supply, boosts local economic activity related to the construction industry, and reduces the need for new construction.

Go Rénove Bailleurs

Go Rénove Bailleurs is a public service that assists with the energy renovation of buildings for social landlords. It provides them with:

- An overview of their building portfolio and its energy performance;
- Indicators to assess the opportunity and impact of renovations.

The solution relies heavily on the National Buildings Database. It promotes more renovations, a key public policy priority of the Government (Climate Resilience Law).

Link to the report : https://www.data.gouv.fr/fr/datasets/r/b647386b-b143-4fa3-891e-1ad9d31a19ab";;;
I14;"Is the use of open data in your country having an impact on transparency and accountability of public administrations?

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"On the transparency and accountability of public administrations, we focused on three uses:

Barometer of the Application of Laws

The Barometer of the Application of Laws, designed within the National Assembly, formats open data such as ""Laws and Decrees of the Official Journal"" to make them more accessible. This service promotes greater transparency regarding the application of laws by allowing measurement of the proportion and timeliness with which the decrees required by a law are published. In 2024, the service recorded:

- 145,538 views of the application rate of a law from its legislative file;
- 4,188 unique visits to the list of laws.

Camerci

For Camerci, the ""Video Surveillance – Camera Placement"" data was used by a citizen to create a map that allows individuals to request a copy of the surveillance footage in which they appear. This use facilitates the exercise of one's rights and awareness of current legislative provisions.

Responsible Public Procurement and Local Purchasing: Lessons from French Open Data

In this research work, open data from public procurement was utilized to analyze local public purchasing. The results suggest that local purchasing may have protectionist foundations and may not necessarily be the result of environmental concerns. Such analyses align with the issue of citizen oversight of administrative actions enabled by open data.

Link to the report : https://www.data.gouv.fr/fr/datasets/r/b647386b-b143-4fa3-891e-1ad9d31a19ab";;;
I15;"Is the use of open data in your country having an impact on policy-making processes (i.e. are public administrations making use of the data as evidence for the problem identification and policy formulation)? 

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"Examples abound regarding the use of open data in the development of public policies. We have selected three to be examined:

Cartofriches

Developed by Cerema, Cartofriches helps local authorities and other project leaders locate and characterize brownfield sites for reuse. Its features include:

- Visualization of brownfield sites in the territory;
- Detailed information about each site.

Cerema uses BASIAS and BASOL data to pre-identify brownfield sites. The tool facilitates the reuse of brownfields and thus contributes to reducing land artificialization, with 10,385 brownfields identified.

Banning Cars to Promote Bikes? A Study on the City of Tours

This research article on mobility in the city of Tours uses daily bicycle counter data and climate data to study the effect of closing a bridge to cars on bicycle traffic. The result provides a diagnosis that the local government can use to adapt its mobility policies: the closure is associated with a 7.23% increase in bicycle traffic.

A History of Political Conflict – Elections and Inequalities in France (1789-2022)

The work of two economists (Thomas Piketty and Julia Cagé) combines data on election results (legislative, presidential elections, and referendums for the 36,000 French communes from 1789 to 2022) with socio-demographic indicators to propose an analysis of the social structure of the electorates of different political currents. The reflections developed have greatly contributed to public debate: who votes for whom and why? What are the consequences for democracy?

Link to the report : https://www.data.gouv.fr/fr/datasets/r/b647386b-b143-4fa3-891e-1ad9d31a19ab";;;
I16;"Is the use of open data in your country having an impact on decision-making processes (i.e. are public administrations making use of the data as evidence to be included in their daily operations)?

For Explanation:
* If yes, please provide an example of one reuse case. For this reuse case, please provide (1) a URL to the reuse case, (2) a URL to the open dataset used by the reuse case, and (3) a description of the reuse case and its impact in this sub-domain. ";new question;new question;Change;Yes;"They are many examples, for instance : 

Bilan de mon territoireThrough Bilan de mon territoire, Enedis offers local authorities the ability to create a report on the production and consumption of energy in their territory (by sector of activity and production channel). The service is built from its open data. It serves as an interesting decision-making tool, allowing local authorities to adapt their energy transition policies (for example, by targeting buildings for renovation).

Link to the report : https://www.data.gouv.fr/fr/datasets/r/b647386b-b143-4fa3-891e-1ad9d31a19ab";;;
;4.3b Social impact;;;;;;;;
