ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;In general, closed data is not being published via data.gv.at. However, the possibility to provide asset lists (of data that falls e.g. under the scope of the Data Governance Act) via data.gv.at is given. Effectively, this depends on the willingness of the data holders to provide this information. Data screening and monitoring by public sector bodies is encouraged, but it is not an obligation.;Confirm;;;;;;;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Yes;The relevant data holders have been informed. The implementation process has been ongoing since the announcement and adoption of the delegated regulation. Where applicable, necessary budgetary and structural adaptations are ongoing due to lost income.;;;;;;
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;Yes. High value datasets have been tagged accordingly. The list entails 186 datasets (and more). You can follow the current implementation status here (https://www.data.gv.at/suche/?documentFilter%5B0%5D=HighValueDataset). A particular challenge for Austria is the federal structure and informing various bodies across several layers of administration.;;;;;;
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;Yes;"o The Cooperation OGD Austria represents the essential governance structure in Austria, including the federal level, states, cities and municipalities. 
o The open data portal data.gv.at is a cooperation project of the Federal Chancellery of Austria (BKA) and the nine federal states with a steering committee and an expert group (cooperation agreement: https://www.data.gv.at/wp-content/uploads/2021/09/data.gv_.at_Kooperationsvereinbarung.pdf)
o The Federal Ministry of Labour and Economy is responsible for the implementation of the Federal Law on the Re-Use of Information (IWG), including the Implementing Regulation (EU) 2023/138 on high value datasets.";;;;;;
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";hybrid;"o We follow a hybrid approach, combining top-down management with bottom-up initiatives of the community.
o Top-down steering from the federal level or the Cooperation OGD safeguards coordinated developments.
o Bottom-up participation amplifies activities from various actors and provides new impetus.";Confirm;;;;;;;;
P15;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";new question;new question;Change;Yes;Austria has a federal system. Thus, the coordination or support of open data initiatives greatly relies upon the activities of the various Länder or municipalities. The Cooperation Open Government Data Austria, however, has been established to allow for cooperation between the federal level, the Länder, regions, cities and municipalities. There are regular meetings of the Cooperation for, among others, raising awareness on certain initiatives, presenting or discussing best practices. In general, initiatives rely upon voluntary actions of the participants (generally there is no top-down support for actions).;;;;;;
P16;"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.";the majority of public bodies;All metadata of regional / local public bodies are published on data.gv.at > more than 1,400 organizations;Confirm;;;;;;;;
P17;"Is a document describing the responsibilities and governance structure of the national (and/or regional/local) open data team publicly available?

For Explanation:
* If yes, please provide the URL where this information is published. ";yes;cooperation agreement for data.gv.at: https://www.data.gv.at/wp-content/uploads/2021/09/data.gv_.at_Kooperationsvereinbarung.pdf;Confirm;;;;;;;;
P18;"Is there a regular exchange of knowledge or experiences between the national open data team and the team maintaining the national portal? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;"The Cooperation OGD meets twice a year and discusses strategic and policy issues of OGD in Austria

The Fachgruppe data.gv.at (experts group) holds quarterly meetings. This group includes members from municipal, regional and national level who discuss the further development of the national open data portal.";Confirm;;;;;;;;
P19;"Does the governance model include the appointment of official roles in civil services that are dedicated to open data (e.g. open data officers)?

For Explanation:
* If yes, please describe how this task is fulfilled at public body level.";yes;The Task Force on PSI and Open Data and Cooperation OGD Austria encourage public sector bodies to implement the concept of data officers. Effectively, this depends on the willingness of public sector bodies.;Confirm;;;;;;;;
P20;"Is there a regular exchange of knowledge or experiences between the national open data team and the wider network of open data officers in your country? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;The Cooperation OGD meets twice a year and discusses strategic and policy issues of OGD in Austria. Participants belong to local, regional and federal organisations, universities, research centres, geo and meteorological organisations, federal computing center and open data associations;Confirm;;;;;;;;
P21;"Is there a regular exchange of knowledge or experiences between public sector bodies (i.e. the providers) and open data reusers (e.g. academia, citizens, businesses)?

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;Examples: There are regular Meet-Ups, conferences, or other events organised by the Federal Ministry of Finance (BMF), the Federal Ministry of Federal Ministry of Labour and Economy (BMAW), the City of Vienna, the City of Salzburg, the Austrian Umbrella Organization for Geographic Information (AGEO), Austrian Digital Value (ADV), etc.;Complement;Yes;"Examples: There are regular Meet-Ups, conferences, or other events organised by the Federal Chancellery (BKA), the City of Vienna, the City of Salzburg, the Austrian Umbrella Organization for Geographic Information (AGEO), Austrian Digital Value (ADV), etc.
Weblinks: 
o City of Vienna Meetups: https://digitales.wien.gv.at/tag/meetup/
o ADV e-Government Konferenz 2024: https://www.adv.at/events/e-government-konferenz-2024/
o Open Data Days Vienna 2024: https://www.data.gv.at/2024/03/13/das-waren-die-open-data-days-vienna-2024/
o GovCamp Vienna 2024: https://barcamps.eu/govcamp-vienna-2024/";;;;;;
P22;"Do data publication plans exist at public body level?

For Explanation:
* If yes, please provide the URL and briefly highlight the key aspects covered. ";yes;"o The City of Vienna has an offical publication plan. Open government data is published quarterly and presented at OGD meet-up events (https://digitales.wien.gv.at/wp-content/uploads/sites/47/2023/04/50-Programm-Open-Data-MeetUp-Wien.pdf)
o The Federal Act on the Re-Use of Public Sector Information stipulates that each public sector body or public undertaking at federal level needs to nominate an Open Data Coordinator. The coordinators have to implement screenings or publication plans.
o At federal level a screening of data has been performed in 2017 (OGD-Screening im Bund), checking existing government data regarding its suitability for open government data. As a whole, more than 700 datasets have been identified, many of them having been published soon thereafter. (https://www.data.gv.at/2017/11/03/open-government-data-screening-im-bund-bericht-zu-potentiell-ogd-faehigen-datensaetzen-publiziert/)";Confirm;;;;;;;;
P23;"Are there processes to ensure that the open data policies/strategy previously mentioned are implemented (e.g. monitoring)?

For Explanation:
* If yes, please specify the process(es).";yes;o Open Data Coordinators are overseeing open data policies and strategies within their remit. The Chief Digital Officers (CDO) of the minstries hold regular meetings in the formation of a dedicated open government data working group.;Complement;Yes;o Open Data Coordinators are overseeing open data policies and strategies within their remit. The Chief Digital Officers (CDO) of the ministries hold regular meetings in the formation of a data working group.;;;;;;
P24;"Do you update your policy/strategy as appropriate to ensure its success, such as based on data collected for monitoring?

For explanation:
* If yes, please describe the process and any recent updates made to strategy/policy";new question;new question;Change;Yes;Upon initiative of the State Secretary for Digitalisation in 2023, the decision has been made to elaborate a first national data strategy for Austria. From 2023 until 2024 expert interviews, and discussions with relevant stakeholders and institutions have been performed. The elaboration process also included accompanying research. The draft of the strategy was circulated among ministries for feedback. In May 2024, a public consultation was performed on the draft of the strategy allowing for public feedback. In the aftermath, the data strategy has been finalised according to the feedback provided. The data strategy should be published in 2024 as an adaptive strategy with the possibility of amending it whenever necessary. The data strategy will contain about 45 measures to be addressed. A key element will be the establishment of regular discussion fora on measures of the strategy and further necessary improvements (e.g. an administrative forum and a public forum for stakeholders).;;;;;;
P25;"Are there any processes in place to assess if public sector bodies are charging for data above marginal cost? (please see directive (EU) 2019/1024 on open data and the reuse of public sector information).

For Explanation:
* If yes, please specify the process(es).";yes;The Federal Act on the Re-Use of Public Sector Information stipulates that charging needs to be made transparent. General information by the Federal Ministry of Labour and Economy and the States demand notifying public sector bodies that need to generate income or claim to fall under an exception to the ministry and states.;Confirm;;;;;;;;
P26-a;"What are the top 3 challenges that your country is facing in the implementation of the mentioned open data policies/strategy?

For Explanation:
* Please briefly describe.";N/A;"o Federal structure of Austria and different speeds of implementation
o Curation of data
o Incentivising different players to provide more open data";Confirm;N/A;;;;;;;
P26-b;"Are there activities in place to address these challenges in your country (e.g. with specific national/regional/local plans or initiatives)?

For Explanation:
* If yes, please briefly describe the measures that you have adopted or plan to adopt to address these challenges. 
* If no, please specifiy what is hampering finding a strategic approach to solve these challenges.";yes;"o Cooperation OGD Austria as a forum for dialogue across different levels of government (federal provinces, cities, regions and municipalities)
o Assistance offered by the data.gv.at team
o Ongoing efforts by open data officers, the Cooperation OGD Austria, the data.gv.at team to encourage the opening-up of data";Confirm;;;;;;;;
P27;"Are there any activities in place to assist data holders with publishing their data as open data (i.e. to help them with the data opening process)?

For Explanation:
* If yes, please describe/provide examples of these activities.";new question;new question;Change;Yes;Yes. Assistance is provided by the data.gv.at team and (open) data coordinators. Example: A member of the data.gv.at team actively approaches a public sector body concerning the possible opening-up of data. During this process, general first guidannce is offered by the data.gv.at team member, e.g. by referring to beginners guides or through individual assistance (scope of the relevant publication, data formats, metadata, API standards, etc.).;;;;;;
P28;"Is there a professional development or training plan for civil servants working with data in your country? 

For Explanation:
* If yes, please briefly describe these training activities.";yes;"o School of Data of the Administrative Academy of the Federal Government (Verwaltungsakademie des Bundes):
https://www.vab.gv.at/vab/bildungsprogramm/public-management-und-governance.html
Link to the curriculum: https://www.vab.gv.at/vab_dokumente/2023/OT-PM_217.pdf?91ojdn
o The ""KDZ - Zentrum für Verwaltungsforschung"" offers open data trainings for civil servants all across Austria, in particular for regional and local civil servants. (https://www.kdz.eu/de/seminare/21938o1ew23)";Confirm;;;;;;;;
P29;"Are there annually held national, regional or local events (e.g. hackathons, courses, conferences, users meet-ups, summer/winter schools) to promote open data and open data literacy in your country beyond the target group of public servants? 
 
For Explanation:
* If yes, please provide examples (e.g. title, date, location of the event and URL).";yes, 3-5;"o Open Data MeetUp Wien, 30.3.2023
o Open Data Days Vienna 2023, 2./3.3.2023
o Kulturhackathon 2023, 1.-3.6.2023
o KDZ-Seminar Open Data Basics 24.5.2023";Complement;Yes, 3-5;"o Seminar Federal Academy of Public Administration: Open Data und Informationsweiterverwendung, 17.10.2023 (https://www.vab.gv.at/bildungsprogramm/fachbereiche/public-management-und-governance/digital-government/kurs.html?vid=19338&tid=98504)
o Open Data MeetUp Wien, 21.3.2024 (https://digitales.wien.gv.at/open-data-meetup-wien-wein/)
o Open Data Days Vienna 2023, 6.3.2024 (https://www.data.gv.at/2024/03/13/das-waren-die-open-data-days-vienna-2024/)
o Kulturhackathon 2023 (#GLAMhack23), 1.-3.6.2023 (https://www.data.gv.at/2023/02/28/kunst-und-kultur-neu-denken-der-kulturhackathon-2023-laedt-ein-glamhack23/)";;;;;;
PT1;"Is there a national portal in your country for that enables users to search for open datasets and find where to download open data? 

For Explanation:
* If yes, please provide the URL of the national portal.";yes;https://www.data.gv.at;Confirm;;;;;;;;
PT2;"For Explanation:
* What is the technology stack of your portal (e.g. based on uData, CKAN, etc.)";new question;new question;Change;Yes;Data.gv.at is based on CKAN and Wordpress as main components;;;;;;
PT3;"Does the national portal offer to its users a way to programmatically query the metadata via an API?

For Explanation:
* If yes, please provide the direct-URL to this feature.";new question;new question;Change;Yes;Yes, an API query is possible via (https://www.data.gv.at/katalog/api/3);;;;;;
PT4;"Does the national portal offer to its users a way to programmatically query the metadata via a SPARQL access point?

For Explanation:
* If yes, please provide the direct-URL to this feature.";new question;new question;Change;No;;;;;;;
PT5;"Does the national portal offer/link to documentation on the use of APIs?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";new question;new question;Change;Yes;We provide an OpenAPI documentation (https://www.data.gv.at/api-hub/?schema=https://www.data.gv.at/katalog/schema.yml);;;;;;
PT6;"Does the national portal offer/link to documentation on the use of SPARQL? 

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";new question;new question;Change;No;;;;;;;
PT7;"Does the national portal provide functionality for users to contribute datasets they have produced or enriched? 

For explanation:
* If yes, please (1) explain how  the portal facilitate the linking of documentation and supporting materials to these user-contributed datasets and (2) provide the direct-URL to this feature.";new question;new question;Change;Yes;"Users (developers) are able to report applications that they have created on the basis of public open data from the national data portal. Developers can use the following weblink (https://www.data.gv.at/anwendungen/anwendung-einreichen/) for submissions. We gather this feeedback on developed applications and list these applications accordingly at each dataset. Please find a full list of developed apps here (https://www.data.gv.at/anwendungen). Since the purpose of the public open data portal ""data.gv.at"" is the public sector, this portal is not intended for the content of private users. Private users (the civil sector, researchers, companies) can upload data via their user account to our sister portal ""OpenData Portal Österreich (opendataportal.at)"" (https://www.opendataportal.at/katalog/user/login). ";;;;;;
PT8;"Does the national portal offer a mechanism for users to provide general feedback, such  a 'Contact us' or 'Feedback' button that is placed in a visible spot and would allows users to send a general comment concerning the portal?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;"We offer several general feedback channels.
1) Contact form at https://www.data.gv.at/suche/kontaktformular/, 
2) email to info@data.gv.at ,
3) or feedback via social media channels, such as Twitter (@datagvat) or Facebook (Open Data Austria Group) or Mastodon";Confirm;;;;;;;;
PT9;"Does the national portal offer a mechanism for users to provide feedback on specific datasets, such as a 'feedback button' or a comment/discussion section under the dataset?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;We are using Disqus as feedback and commenting feature. This feature appears at the bottom of the dataset page when a contact e-mail address is provided for a dataset, e.g. https://www.data.gv.at/katalog/dataset/2c54f4d6-5712-4e5a-a025-b7f7a396c39b. If no e-mail is given, feedback can be provided to the organizational level, which is forwarded to data maintainers.;Confirm;;;;;;;;
PT10;"Does the national portal provide a mechanism for users to rate datasets?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";No;"Written rating is possible in the comment/ discussion section

response to reviewers:
The national portal does not currently offer a formal rating mechanism, such as a star system or likes/dislikes, that would provide a summarized user quality rating for datasets. While there is a comment/discussion section where users can provide written feedback, this does not serve as a rating mechanism in the way that the reviewers have defined it.";Confirm;;;;;;;;
PT11;"Does the national portal enable users to find information and news on relevant open data topics in the country?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";yes;https://www.data.gv.at/news/;Confirm;;;;;;;;
PT12;"Does the national portal offer the possibility for users to receive notifications when new datasets are available on the national portal (RSS, ATOM feeds, email notifications etc.)?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";yes;RSS: https://www.data.gv.at/infos/rss-feeds/;Confirm;;;;;;;;
PT13;"Does the national portal enable users to request datasets, such as through a ""request data"" button? 

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;"Access rights for specific datasets or the granting of re-use depend on a case-by-case decision of the respective public sector body. On the national portal, data requests are possible via contact form, email and social media channels (requests are being forwarded to the respective public sector body). According to the Informationsweiterverwendungsgesetz (IWG), a formal request can be placed to the competent public sector body. Data requests (according to the Auskunftspflichtgesetz, Freedom of Information) can also easily be placed via the portal ""Frag den Staat"": https://fragdenstaat.at/ ";Confirm;;;;;;;;
PT14;"Are requests for datasets and their progress status presented in a transparent manner on the national portal? 

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";yes;"Please see the portal ""Frag den Staat"": https://fragdenstaat.at/";Confirm;;;;;;;;
PT15;"Does the team monitor the extent to which requests (either via the portal or otherwise) result in the publication of the requested data?

For Explanation:
* If yes, please describe how this monitoring is conducted.";yes;The operational team of data.gv.at manages requiests and keeps track of the requests;Confirm;;;;;;;;
PT16;"Does the national portal offer a mechanism for users to exchange with others, such as a discussion forum?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;Yes, data.gv.at uses Disqus for comments and as discussion feature below each dataset to engage users. See e.g. an example under any dataset as here: https://www.data.gv.at/katalog/dataset/69a06550-1ede-4f50-9c36-e7fb5cf6e7e8 or https://disqus.com/;Confirm;;;;;;;;
PT17;"Does the national portal showcase reuse cases, such as in a designated section of the portal?

For Explanation:
* If yes, please provide the direct-URL to this feature. ";yes;URL: https://www.data.gv.at/application/;Confirm;;;;;;;;
PT18;"Does the national portal reference the datasets that the showcased reuse cases are based on (i.e. there is a link between the reuse case in the showcase and the underlying dataset on the portal)?

For Explanation:
* If yes, please provide the URL to this feature/to an example documenting this feature.";yes;"Each use case references the datasets it is based on.
Application: Water in Vienna
URL: https://www.data.gv.at/application/wasser-in-wien/
Description: Find the nearest public water points, swimming pools, bathing places, toilets, drinking fountains, spray showers and dog drinking fountains in Vienna
Datasets: datasets are listed at the bottom of the page
This application uses the following datasets/services:
Drinking fountain locations Vienna (Stadt Wien)
bathing places locations Vienna (City of Vienna)
Swimming pools locations Vienna (City of Vienna)
Public toilets locations Vienna (City of Vienna)
basemap.at Administrative Base Map Vector Austria (Geoland.at)";Confirm;;;;;;;;
PT19;"Does the national portal provide the possibility for users to submit their own reuse cases?

For Explanation:
* If yes, please provide the direct-URL to this feature. ";yes;https://www.data.gv.at/anwendung-einreichen/;Confirm;;;;;;;;
PT20;"Does the national portal offer a preview function for tabular data?

For Explanation:
* If yes, please provide the URL to an example documenting this feature.";No;"Example: Migration flows in Vienna by nationality and gender since 2002 https://www.data.gv.at/katalog/dataset/3b1a5a2b-72fb-430d-bd82-14bcfc3338a1

response to reviewers:
The national portal typically offers a preview function for tabular data, which allows users to interact with the data before downloading it. However, this feature is currently under maintenance due to a technical issue. We expect this functionality to be restored soon. The feature is part of our commitment to provide a user-friendly experience and facilitate the effective utilization of open data.";Confirm;;;;;;;;
PT21;"Does the national portal offer a preview function for geospatial data?

For Explanation:
* If yes, please provide the URL to an example documenting this feature.";no;;Confirm;;;;;;;;
PT22;"Do you promote high-value datastes on your national portal (e.g. use filtering features for reusers to easily find such datasets, use editorial features to promote the datasets, etc.))?

For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;All HVD are highlighted via special tag and can be filtered accordingly. Please find the list of HVD here (https://www.data.gv.at/suche/?searchterm=&documentFilter%5B0%5D=HighValueDataset&nr=1);;;;;;
PT23;"Do you monitor the portal's traffic (e.g. in terms of number of unique visitors, visitor profiles, percentage of machine traffic, number of downloads according to the number of datasets etc.)? 

For Explanation:
* If yes, which tool(s) do you use?";yes;"o For web analysis, we use the tool Matomo, publicly accessible via https://www.data.gv.at/stats
o In 2021, an online survey among users of the national portal has been performed: https://www.data.gv.at/2021/01/20/umfrage-gestartet/";Confirm;;;;;;;;
PT24;"Do you run analytics on API usage?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal";Yes;N/A;Change;No;;;;;;;
PT25;"Besides monitoring portal traffic, do you perform any further activities to better understand the behaviour and needs of users of your portal (e.g. web analytics, surveys, or analysis of social media feeds)?

For Explanation:
* If yes, please (1) specify the activities and explain (2) how they help you understand user needs";yes;We use the Matomo analytics with custom notifications to trigger email notifications when threshold values are passed;Confirm;;;;;;;;
PT26;"Do you used the insights about portal usage and about the behaviour and needs of portal users to improve the portal accordingly?

For Explanation:
* If yes, please explain your process for improving the portal based on user insights and feedback
* If relevant, kindly highlight some improvements made in the past year";new question;new question;Change;Yes;Insights about the portal usage do have an impact on improving the national data portal. As the open data web presence of the City of Vienna (https://www.data.gv.at/auftritte/?organisation=stadt-wien) insights gathered have an impact on the Digital Strategy of the City of Vienna. For example, please find the results of the recent (2024) evaluation of the Open Data Strategy of Vienna here: https://www.wien.gv.at/data/pdf/evaluation-opendata-strategie.pdf Necessary improvements of the data portal are discussed within the Cooperation OGD. Usage statistics (e.g. portal traffic and API usage collected via https://www.data.gv.at/stats) are a relevant indicator for the further development of the portal. In 2023, a dedicated working group has been installed on data quality standards and feedback loops.;;;;;;
PT27;"Do you undertake any activities to promote the portal and attract new users or new audiences?

For explanation:
* If yes, please (1) explain what activities your perform, and (2) mention if these activities are directed at any specific target audience (e.g. business, public sector, academia, etc.)";new question;new question;Change;Yes;Please find herewith our recent publications in order to attract new audiences: Open Data Flyer (https://www.data.gv.at/flyer/) and Open Data Guidelines (https://www.data.gv.at/2023/07/04/neuer-open-data-leitfaden-erschienen/). These have been promted at events (Open Data Expo) and by our Cooperation OGD members.;;;;;;
PT28;"Do you monitor what keywords are used to search for data and content on the portal?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal";new question;new question;Change;Yes;The search optimisation research partnership has used collected data for training AI models. Please find the monitoring via (https://www.data.gv.at/stats);;;;;;
PT29;"Do you monitor the most and least consulted pages?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal
* For informational purposes, kindly provide the URLs to the five most popular datasets on the portal";new question;new question;Change;Yes;"o The reuse of open government data is  systematically monitored by using the web analytics tool Matomo: https://www.data.gv.at/stats/
o  Most visited datasets: Orthofoto Österreich, Digitales Geländemodell, Digitale Bodenkarte, Basemap.at Verwaltungsgrundkarte, Baumkataster der Stadt Wien
o Additionally, applications developed by the use of open data: https://www.data.gv.at/katalog/datasets_with_application_count";;;;;;
