ID;Answer;Weight;Score;;;
91;Select answer for Q91;15;0;;;
92a;Select answer for Q92a;10;0;;;
92b;Select answer for Q92b;10;0;;;
93a;Select answer for Q93a;N/A;N/A;;;
93b;Select answer for Q93b;10;0;;;
93c;Select answer for Q93c;15;0;;;
94a;Select answer for Q94a;10;0;;;
94b;Select answer for Q94b;N/A;N/A;;;
95;Select answer for Q95;10;0;;;
96;Select answer for Q96;10;0;;;
97;Select answer for Q97;10;0;;;
98;Select answer for Q98;30;0;;;
99;Select answer for Q99;10;0;;;
100;Select answer for Q100;10;0;;;
101;Select answer for Q101;15;0;;;
102;Select answer for Q102;10;0;;;
103;Select answer for Q103;10;0;;;
104a;Select answer for Q104a;15;0;;;
104b;Select answer for Q104b;N/A;N/A;;;
104c;Select answer for Q104c;10;0;;;
105a;Select answer for Q105a;15;0;;;
105b;Select answer for Q105b;15;0;;;
106;Select answer for Q106;20;0;;;
107;Select answer for Q107;20;0;;;
108;Select answer for Q108;40;0;;;
109;Select answer for Q109;30;0;;;
110;Select answer for Q110;20;0;;;
111a;Select answer for Q111a;20;0;;;
111b;Select answer for Q111b;15;0;;;
112;Select answer for Q112;20;0;;;
113;Select answer for Q113;10;0;;;
114;Select answer for Q114;10;0;;;
115;Select answer for Q115;20;0;;;
116;Select answer for Q116;10;0;;;
117;Select answer for Q117;10;0;;;
118;Select answer for Q118;15;0;;;
119a;Select answer for Q119a;15;0;;;
119b;Select answer for Q119b;15;0;;;
120;Select answer for Q120;25;0;;;
121;Select answer for Q121;25;0;;;
122a;Select answer for Q122a;20;0;;;
122b;Select answer for Q122b;20;0;;;
123;Select answer for Q123;5;0;;;
124a;Select answer for Q124a;25;0;;;
124b;Select answer for Q124b;15;0;;;
125a;Select answer for Q125a;20;0;;;
125b;Select answer for Q125b;25;0;;;
126;Select answer for Q126;15;0;;;
127;Select answer for Q127;30;0;;;
128a;Select answer for Q128a;20;0;;;
128b;Select answer for Q128b;25;0;;;
128c;Select answer for Q128c;25;0;;;
128d;Select answer for Q128d;25;0;;;
128e;Select answer for Q128e;25;0;;;
129;Select answer for Q129;15;0;;;
