;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q79;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q80a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q80b;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q81a;Mostly businesses;Mostly public sector;Mostly citizens;A bit of everything, no clear dominant group;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q81b;Yes, entirely;Yes, but only partially;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q82;See answer box;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q83;See answer box;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q84;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q85;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q86;See answer box;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q87;See answer box;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q88;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q89;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q90a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q90b;See answer box;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q91;All public sector data providers;The majority of public sector data providers;Approximately half of the public sector data providers;Few public sector data providers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q92a;Yes, or all public sector data providers already publish data;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q92b;Yes, or all public sector data providers already publish data;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q93a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q93b;Yes;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q93c;All datasets;The majority of datasets;Approximately half of the datasets;Few datasets;None of the datasets;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q94a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q94b;>30%;21-30%;11-20%;1-10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q95;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q96;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q97;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q98;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q99;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q100;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q101;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q102;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q103;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q104a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q104b;Quarterly;Bi-annually;Annually;Less frequently;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q104c;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q105a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q105b;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q106;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q107;100%;90-99%;70-89%;50-69%;30-49%;<30%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q108;Within one day;Within one week;Within one month;Longer than one month or I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q109;All datasets;The majority of datasets;Approximately half of the datasets;Few datasets;None of the datasets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q110;Yes;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q111a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q111b;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q112;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q113;Yes;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q114;Yes, CC licences;Yes, own licences;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q115;>90%;71-90%;51-70%;31-50%;10-30%;<10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q116;Increased, or already >90%;Remained the same;Decreased;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q117;1-4;5-10;>10;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q118;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q119a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q119b;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q120;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q121;>90%;71-90%;51-70%;31-50%;10-30%;<10%;No priority;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q122a;>90%;71-90%;51-70%;31-50%;10-30%;<10%;No priority;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q122b;>90%;71-90%;51-70%;31-50%;10-30%;<10%;No priority;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q123;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q124a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q124b;See answer box;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q125a;>90%;71-90%;51-70%;31-50%;10-30%;<10%;0%;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q125b;>90%;71-90%;51-70%;31-50%;10-30%;<10%;0%;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q126;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q127;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q128a;>90%;71-90%;51-70%;31-50%;10-30%;<10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q128b;>90%;71-90%;51-70%;31-50%;10-30%;<10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q128c;>90%;71-90%;51-70%;31-50%;10-30%;<10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q128d;>90%;71-90%;51-70%;31-50%;10-30%;<10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q128e;>90%;71-90%;51-70%;31-50%;10-30%;<10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q129;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for R8;<200.000 EUR;200-400.000 EUR;400-600.000 EUR;600-800.000 EUR;800-1.000.000 EUR;>1.000.000 EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for R9;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for R10;Yes;No;Partially;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
